"","X","ticker","date","name","est","sector","industry","industry_group","marcap","invested_capital","total_equity","total_debt","pretax_income","dividends","roic"
"1",1,"1AG","2015-09-30",NA,NA,"Industrials","Pollution & Treatment Controls",NA,4880,14.16,12.19,2.01,0.09,0,0.00635593220338983
"2",1,"1AL","2015-06-30",NA,NA,NA,NA,NA,121260,21.97,21.97,NA,0,0,0
"3",1,"1ST","2016-06-30",NA,NA,"Technology","Health Information Services",NA,4950,12.14,12.14,NA,-5.02,0,-0.413509060955519
"4",1,"3DP","2016-06-30",NA,NA,NA,NA,NA,2620,4.32,4.28,0.05,-2.76,0,-0.638888888888889
"5",1,"3PL","2016-06-30",NA,NA,"Consumer Defensive","Education & Training Services",NA,155100,54.99,43.55,11.51,3.63,-2.4,0.022367703218767
"6",1,"4DS","2016-06-30",NA,NA,NA,NA,NA,11200,1.29,1.29,NA,-11.74,0,-9.10077519379845
"7",1,"8CO","2016-06-30",NA,NA,"Technology","Software - Application",NA,7970,7.16,5.92,1.24,-1.35,0,-0.18854748603352
"8",1,"8IH","2016-03-31",NA,NA,NA,NA,NA,535670,49.71,51.87,0.26,17.96,-5.18,0.257091128545564
"9",1,"AAI","2015-12-31",NA,NA,"Basic Materials","Aluminum",NA,15863400,21091,14131,9103,-322,-223,-0.0258404058603196
"10",1,"AAJ","2015-06-30",NA,NA,NA,NA,NA,1680,1.01,1.01,NA,-1.82,0,-1.8019801980198
"11",1,"AAL","2015-06-30",NA,NA,"Basic Materials","Coal",NA,1250,1.66,1.66,NA,-0.22,0,-0.132530120481928
"12",1,"AAP","2016-06-30",NA,NA,"Consumer Defensive","Food Distribution",NA,4570,10.2,5.44,4.76,0.38,0,0.0372549019607843
"13",1,"AAU","2016-06-30",NA,NA,"Consumer Cyclical","Advertising Agencies",NA,4400,2.1,2.15,NA,-0.62,0,-0.295238095238095
"14",1,"AB1","2015-12-31",NA,NA,NA,NA,NA,21450,1.77,1.77,NA,-2.93,0,-1.65536723163842
"15",1,"ABA","2016-06-30",NA,NA,NA,NA,NA,193080,858.48,216.65,641.82,11.7,-9.85,0.00215497157767216
"16",1,"ABC","2015-12-31",NA,NA,"Basic Materials","Building Materials",NA,3483420,1533.5,1207.3,330.5,207.9,-139.5,0.0446038474078905
"17",1,"ABL","2015-06-30",NA,NA,NA,NA,NA,1220,4.79,4.79,NA,-6.63,0,-1.38413361169102
"18",1,"ABU","2016-06-30",NA,NA,"Basic Materials","Gold",NA,26110,21.62,21.62,NA,-21.62,0,-1
"19",1,"ABX","2015-12-31",NA,NA,"Basic Materials","Aluminum",NA,31020,16.96,16.96,NA,-1.04,0,-0.0613207547169811
"20",1,"ACG","2016-06-30",NA,NA,"Healthcare","Medical Devices",NA,18660,3.14,3.14,NA,-4.81,0,-1.53184713375796
"21",1,"ACK","2016-06-30",NA,NA,"Financial Services","Asset Management",NA,45400,8.55,8.55,NA,2.14,-2.06,0.00935672514619884
