"","ticker","date","variable","value"
"1","AAC","31 March 2016","Address","Level 1, Tower A Gasworks Plaza  76 Skyring Terrace, 4006"
"2","AAC","31 March 2016","City/Country:","Newstead, Australia"
"3","AAC","31 March 2016","Company sector name:","Consumer Defensive"
"4","AAC","31 March 2016","End of fiscal year:","31 March 2016"
"5","AAC","31 March 2016","Industry group name","Consumer Packaged Goods"
"6","AAC","31 March 2016","Industry name:","Farm Products"
"7","AAC","31 March 2016","Web address:","http://www.aaco.com.au"
"8","AAC","31 March 2016","AAC KEY FIGURES (at previous day's close)",NA
"9","AAC","31 March 2016","Assets Turnover","-"
"10","AAC","31 March 2016","Book-Value pS","-"
"11","AAC","31 March 2016","Cash Flow pS","-"
"12","AAC","31 March 2016","Cash pS","-"
"13","AAC","31 March 2016","Current Ratio","6.25"
"14","AAC","31 March 2016","Dividend pS (DPS)","-"
"15","AAC","31 March 2016","Dividend Yield","-"
"16","AAC","31 March 2016","Domestic Sales","-"
"17","AAC","31 March 2016","Earnings pS (EPS)","-"
"18","AAC","31 March 2016","EBITDA Margin","-"
"19","AAC","31 March 2016","Effective Tax Rate","-"
"20","AAC","31 March 2016","Foreign Sales","-"
"21","AAC","31 March 2016","Free Cash Flow pS","-"
"22","AAC","31 March 2016","Gross gearing","-"
"23","AAC","31 March 2016","Gross Profit Margin","-"
"24","AAC","31 March 2016","Interest Cover","-"
"25","AAC","31 March 2016","Latest Shares Outstanding","533.03"
"26","AAC","31 March 2016","Leverage Ratio (Assets/Equity)","1.56"
"27","AAC","31 March 2016","LT Debt/Total Capital","0.29"
"28","AAC","31 March 2016","Market Capitalisation","890.16"
"29","AAC","31 March 2016","Net Debt","-"
"30","AAC","31 March 2016","PE Ratio","-"
"31","AAC","31 March 2016","Pre-Tax Profit Margin","-"
"32","AAC","31 March 2016","Research & Devlopment (R&D) as ...","-"
"33","AAC","31 March 2016","Return on Assets (ROA)","0.05"
"34","AAC","31 March 2016","Return on Capital Invested (ROC...","0.07"
"35","AAC","31 March 2016","Return on Equity (ROE)","0.08"
"36","AAC","31 March 2016","Sales per Employee","-"
"37","AAC","31 March 2016","Selling, General & Adm/tive (SG...","-"
"38","AAC","31 March 2016","Spread","0.01"
