"","ticker","date","variable","value"
"1","AAD","30 June 2016","Address","Level 16, 61 Lavender Street, 2061"
"2","AAD","30 June 2016","City/Country:","Milsons Point, Australia"
"3","AAD","30 June 2016","Company sector name:","Consumer Cyclical"
"4","AAD","30 June 2016","End of fiscal year:","30 June 2016"
"5","AAD","30 June 2016","Industry group name","Travel & Leisure"
"6","AAD","30 June 2016","Industry name:","Leisure"
"7","AAD","30 June 2016","Web address:","http://www.ardentleisure.com.au"
"8","AAD","30 June 2016","AAD KEY FIGURES (at previous day's close)",NA
"9","AAD","30 June 2016","Assets Turnover","-"
"10","AAD","30 June 2016","Book-Value pS","-"
"11","AAD","30 June 2016","Cash Flow pS","-"
"12","AAD","30 June 2016","Cash pS","-"
"13","AAD","30 June 2016","Current Ratio","1.28"
"14","AAD","30 June 2016","Dividend pS (DPS)","-"
"15","AAD","30 June 2016","Dividend Yield","-"
"16","AAD","30 June 2016","Domestic Sales","-"
"17","AAD","30 June 2016","Earnings pS (EPS)","-"
"18","AAD","30 June 2016","EBITDA Margin","-"
"19","AAD","30 June 2016","Effective Tax Rate","-"
"20","AAD","30 June 2016","Foreign Sales","-"
"21","AAD","30 June 2016","Free Cash Flow pS","-"
"22","AAD","30 June 2016","Gross gearing","-"
"23","AAD","30 June 2016","Gross Profit Margin","-"
"24","AAD","30 June 2016","Interest Cover","-"
"25","AAD","30 June 2016","Latest Shares Outstanding","468.82"
"26","AAD","30 June 2016","Leverage Ratio (Assets/Equity)","1.87"
"27","AAD","30 June 2016","LT Debt/Total Capital","0.34"
"28","AAD","30 June 2016","Market Capitalisation","1,303.31"
"29","AAD","30 June 2016","Net Debt","-"
"30","AAD","30 June 2016","PE Ratio","-"
"31","AAD","30 June 2016","Pre-Tax Profit Margin","-"
"32","AAD","30 June 2016","Research & Devlopment (R&D) as ...","-"
"33","AAD","30 June 2016","Return on Assets (ROA)","0.04"
"34","AAD","30 June 2016","Return on Capital Invested (ROC...","0.06"
