"","ticker","date","variable","value"
"1","ACK","30 June 2016","Address","Level 12, 15 William Street, 3000"
"2","ACK","30 June 2016","City/Country:","Melbourne, Australia"
"3","ACK","30 June 2016","Company sector name:","Financial Services"
"4","ACK","30 June 2016","End of fiscal year:","30 June 2016"
"5","ACK","30 June 2016","Industry group name","Asset Management"
"6","ACK","30 June 2016","Industry name:","Asset Management"
"7","ACK","30 June 2016","Web address:","http://www.austock.com"
"8","ACK","30 June 2016","ACK KEY FIGURES (at previous day's close)",NA
"9","ACK","30 June 2016","Assets Turnover","-"
"10","ACK","30 June 2016","Book-Value pS","0.08"
"11","ACK","30 June 2016","Cash Flow pS","-0.00"
"12","ACK","30 June 2016","Cash pS","0.03"
"13","ACK","30 June 2016","Current Ratio","-"
"14","ACK","30 June 2016","Dividend pS (DPS)","0.03"
"15","ACK","30 June 2016","Dividend Yield","6.49"
"16","ACK","30 June 2016","Domestic Sales","-"
"17","ACK","30 June 2016","Earnings pS (EPS)","0.02"
"18","ACK","30 June 2016","EBITDA Margin","-"
"19","ACK","30 June 2016","Effective Tax Rate","-"
"20","ACK","30 June 2016","Foreign Sales","-"
"21","ACK","30 June 2016","Free Cash Flow pS","-0.00"
"22","ACK","30 June 2016","Gross gearing","98.70"
"23","ACK","30 June 2016","Gross Profit Margin","0.00"
"24","ACK","30 June 2016","Interest Cover","0.00"
"25","ACK","30 June 2016","Latest Shares Outstanding","103.19"
"26","ACK","30 June 2016","Leverage Ratio (Assets/Equity)","76.72"
"27","ACK","30 June 2016","LT Debt/Total Capital","-"
"28","ACK","30 June 2016","Market Capitalisation","45.40"
"29","ACK","30 June 2016","Net Debt","644.21"
"30","ACK","30 June 2016","PE Ratio","21.26"
"31","ACK","30 June 2016","Pre-Tax Profit Margin","2,862.57"
"32","ACK","30 June 2016","Research & Devlopment (R&D) as ...","0.00"
"33","ACK","30 June 2016","Return on Assets (ROA)","0.00"
"34","ACK","30 June 2016","Return on Capital Invested (ROC...","-"
"35","ACK","30 June 2016","Return on Equity (ROE)","0.25"
"36","ACK","30 June 2016","Sales per Employee","-"
"37","ACK","30 June 2016","Selling, General & Adm/tive (SG...","2,750.80"
"38","ACK","30 June 2016","Spread","0.04"
