"","ticker","date","variable","value"
"1","ADH","30 June 2016","Address","2 International Court, 3179"
"2","ADH","30 June 2016","City/Country:","Scoresby, Australia"
"3","ADH","30 June 2016","Company sector name:","Consumer Cyclical"
"4","ADH","30 June 2016","End of fiscal year:","30 June 2016"
"5","ADH","30 June 2016","Industry group name","Manufacturing - Apparel & Furniture"
"6","ADH","30 June 2016","Industry name:","Home Furnishings & Fixtures"
"7","ADH","30 June 2016","ADH KEY FIGURES (at previous day's close)",NA
"8","ADH","30 June 2016","Assets Turnover","0.68"
"9","ADH","30 June 2016","Book-Value pS","-0.03"
"10","ADH","30 June 2016","Cash Flow pS","0.14"
"11","ADH","30 June 2016","Cash pS","0.09"
"12","ADH","30 June 2016","Current Ratio","1.66"
"13","ADH","30 June 2016","Dividend pS (DPS)","0.07"
"14","ADH","30 June 2016","Dividend Yield","2.82"
"15","ADH","30 June 2016","Domestic Sales","-"
"16","ADH","30 June 2016","Earnings pS (EPS)","0.16"
"17","ADH","30 June 2016","EBITDA Margin","18.21"
"18","ADH","30 June 2016","Effective Tax Rate","-"
"19","ADH","30 June 2016","Foreign Sales","-"
"20","ADH","30 June 2016","Free Cash Flow pS","0.08"
"21","ADH","30 June 2016","Gross gearing","44.19"
"22","ADH","30 June 2016","Gross Profit Margin","60.95"
"23","ADH","30 June 2016","Interest Cover","22.98"
"24","ADH","30 June 2016","Latest Shares Outstanding","165.87"
"25","ADH","30 June 2016","Leverage Ratio (Assets/Equity)","1.79"
"26","ADH","30 June 2016","LT Debt/Total Capital","0.30"
"27","ADH","30 June 2016","Market Capitalisation","419.66"
"28","ADH","30 June 2016","Net Debt","61.02"
"29","ADH","30 June 2016","PE Ratio","15.43"
"30","ADH","30 June 2016","Pre-Tax Profit Margin","15.33"
"31","ADH","30 June 2016","Research & Devlopment (R&D) as ...","0.00"
"32","ADH","30 June 2016","Return on Assets (ROA)","0.17"
"33","ADH","30 June 2016","Return on Capital Invested (ROC...","0.22"
"34","ADH","30 June 2016","Return on Equity (ROE)","0.31"
"35","ADH","30 June 2016","Sales per Employee","-"
"36","ADH","30 June 2016","Selling, General & Adm/tive (SG...","38.99"
"37","ADH","30 June 2016","Spread","0.02"
"38","ADH","30 June 2016","Tangible Book-Value pS","0.14"
"39","ADH","30 June 2016","Total Debt/Equity (Gearing Rati...","0.44"
"40","ADH","30 June 2016","Working Capital pS","0.86"
"41","ADH","30 June 2016","Yesterday's Close","2.53"
"42","ADH","30 June 2016","1 Month","2.69"
"43","ADH","30 June 2016","1 Month","2.50"
"44","ADH","30 June 2016","1 Week","2.69"
"45","ADH","30 June 2016","1 Week","2.29"
"46","ADH","30 June 2016","1 Year","2.76"
"47","ADH","30 June 2016","1 Year","2.71"
"48","ADH","30 June 2016","3 Months","2.75"
"49","ADH","30 June 2016","3 Months","2.43"
"50","ADH","30 June 2016","3 Years","2.95"
"51","ADH","30 June 2016","3 Years","2.60"
"52","ADH","30 June 2016","5 Years","2.95"
"53","ADH","30 June 2016","5 Years","2.60"
"54","ADH","30 June 2016","6 Months","2.75"
"55","ADH","30 June 2016","6 Months","2.28"
"56","ADH","30 June 2016","Period †","High"
"57","ADH","30 June 2016","Period †","Open"
"58","ADH","30 June 2016","","1 year"
