"","ticker","date","variable","value"
"1","AEB","30 June 2016","Address","Unit 2, 100 Railway Road  Subiaco, 6008"
"2","AEB","30 June 2016","City/Country:","Perth, Australia"
"3","AEB","30 June 2016","Company sector name:","Industrials"
"4","AEB","30 June 2016","End of fiscal year:","30 June 2016"
"5","AEB","30 June 2016","Industry group name","Waste Management"
"6","AEB","30 June 2016","Industry name:","Waste Management"
"7","AEB","30 June 2016","Web address:","http://www.algaetec.com.au"
"8","AEB","30 June 2016","AEB KEY FIGURES (at previous day's close)",NA
"9","AEB","30 June 2016","Assets Turnover","-"
"10","AEB","30 June 2016","Book-Value pS","-"
"11","AEB","30 June 2016","Cash Flow pS","-"
"12","AEB","30 June 2016","Cash pS","-"
"13","AEB","30 June 2016","Current Ratio","0.62"
"14","AEB","30 June 2016","Dividend pS (DPS)","-"
"15","AEB","30 June 2016","Dividend Yield","-"
"16","AEB","30 June 2016","Domestic Sales","-"
"17","AEB","30 June 2016","Earnings pS (EPS)","-"
"18","AEB","30 June 2016","EBITDA Margin","-"
"19","AEB","30 June 2016","Effective Tax Rate","-"
"20","AEB","30 June 2016","Foreign Sales","-"
"21","AEB","30 June 2016","Free Cash Flow pS","-"
"22","AEB","30 June 2016","Gross gearing","-"
"23","AEB","30 June 2016","Gross Profit Margin","-"
"24","AEB","30 June 2016","Interest Cover","-"
"25","AEB","30 June 2016","Latest Shares Outstanding","341.93"
"26","AEB","30 June 2016","Leverage Ratio (Assets/Equity)","-"
"27","AEB","30 June 2016","LT Debt/Total Capital","-"
"28","AEB","30 June 2016","Market Capitalisation","17.44"
"29","AEB","30 June 2016","Net Debt","-"
"30","AEB","30 June 2016","PE Ratio","-"
"31","AEB","30 June 2016","Pre-Tax Profit Margin","-"
"32","AEB","30 June 2016","Research & Devlopment (R&D) as ...","-"
"33","AEB","30 June 2016","Return on Assets (ROA)","-0.70"
"34","AEB","30 June 2016","Return on Capital Invested (ROC...","-0.79"
"35","AEB","30 June 2016","Return on Equity (ROE)","-4.74"
"36","AEB","30 June 2016","Sales per Employee","-"
"37","AEB","30 June 2016","Selling, General & Adm/tive (SG...","-"
"38","AEB","30 June 2016","Spread","0.00"
"39","AEB","30 June 2016","Tangible Book-Value pS","-"
"40","AEB","30 June 2016","Total Debt/Equity (Gearing Rati...","-"
"41","AEB","30 June 2016","Working Capital pS","-"
