"","ticker","date","variable","value"
"1","AEE","30 June 2015","Address","34-36 Punt Road  Level 1, 3181"
"2","AEE","30 June 2015","Auditor:","Bentleys Audit & Corporate (WA) Pty Ltd"
"3","AEE","30 June 2015","City/Country:","Windsor, Australia"
"4","AEE","30 June 2015","Company sector name:","Basic Materials"
"5","AEE","30 June 2015","End of fiscal year:","30 June 2015"
"6","AEE","30 June 2015","Industry group name","Metals & Mining"
"7","AEE","30 June 2015","Industry name:","Industrial Metals & Minerals"
"8","AEE","30 June 2015","Web address:","http://www.auraenergy.com.au"
"9","AEE","30 June 2015","AEE KEY FIGURES (at previous day's close)",NA
"10","AEE","30 June 2015","Assets Turnover","-"
"11","AEE","30 June 2015","Book-Value pS","-"
"12","AEE","30 June 2015","Cash Flow pS","-"
"13","AEE","30 June 2015","Cash pS","-"
"14","AEE","30 June 2015","Current Ratio","1.86"
"15","AEE","30 June 2015","Dividend pS (DPS)","-"
"16","AEE","30 June 2015","Dividend Yield","-"
"17","AEE","30 June 2015","Domestic Sales","-"
"18","AEE","30 June 2015","Earnings pS (EPS)","-"
"19","AEE","30 June 2015","EBITDA Margin","-"
"20","AEE","30 June 2015","Effective Tax Rate","-"
"21","AEE","30 June 2015","Foreign Sales","-"
"22","AEE","30 June 2015","Free Cash Flow pS","-"
"23","AEE","30 June 2015","Gross gearing","-"
"24","AEE","30 June 2015","Gross Profit Margin","-"
"25","AEE","30 June 2015","Interest Cover","-"
"26","AEE","30 June 2015","Latest Shares Outstanding","711.32"
"27","AEE","30 June 2015","Leverage Ratio (Assets/Equity)","1.04"
"28","AEE","30 June 2015","LT Debt/Total Capital","-"
"29","AEE","30 June 2015","Market Capitalisation","22.05"
"30","AEE","30 June 2015","Net Debt","-"
"31","AEE","30 June 2015","PE Ratio","-"
"32","AEE","30 June 2015","Pre-Tax Profit Margin","-"
"33","AEE","30 June 2015","Research & Devlopment (R&D) as ...","-"
"34","AEE","30 June 2015","Return on Assets (ROA)","-0.18"
"35","AEE","30 June 2015","Return on Capital Invested (ROC...","-0.18"
"36","AEE","30 June 2015","Return on Equity (ROE)","-0.19"
"37","AEE","30 June 2015","Sales per Employee","-"
"38","AEE","30 June 2015","Selling, General & Adm/tive (SG...","-"
"39","AEE","30 June 2015","Spread","0.00"
"40","AEE","30 June 2015","Tangible Book-Value pS","-"
"41","AEE","30 June 2015","Total Debt/Equity (Gearing Rati...","0.00"
