"","ticker","date","variable","value"
"1","AFY","30 June 2016","Doing business in:","Australia (AU)"
"2","AFY","30 June 2016","End of fiscal year:","30 June 2016"
"3","AFY","30 June 2016","Place of incorporation:","Australia (AU)"
"4","AFY","30 June 2016","Tel.:","+61 392867500"
"5","AFY","30 June 2016","Trading currency:","AUD"
"6","AFY","30 June 2016","Web address:","https://www.afterpay.com.au"
"7","AFY","30 June 2016","Year established:","2015"
"8","AFY","30 June 2016","AFY KEY FIGURES (at previous day's close)",NA
"9","AFY","30 June 2016","Assets Turnover","-"
"10","AFY","30 June 2016","Book-Value pS","-"
"11","AFY","30 June 2016","Cash Flow pS","-"
"12","AFY","30 June 2016","Cash pS","-"
"13","AFY","30 June 2016","Current Ratio","29.64"
"14","AFY","30 June 2016","Dividend pS (DPS)","-"
"15","AFY","30 June 2016","Dividend Yield","-"
"16","AFY","30 June 2016","Domestic Sales","-"
"17","AFY","30 June 2016","Earnings pS (EPS)","-"
"18","AFY","30 June 2016","EBITDA Margin","-"
"19","AFY","30 June 2016","Effective Tax Rate","-"
"20","AFY","30 June 2016","Foreign Sales","-"
"21","AFY","30 June 2016","Free Cash Flow pS","-"
"22","AFY","30 June 2016","Gross gearing","-"
"23","AFY","30 June 2016","Gross Profit Margin","-"
"24","AFY","30 June 2016","Interest Cover","-"
"25","AFY","30 June 2016","Latest Shares Outstanding","165.00"
"26","AFY","30 June 2016","Leverage Ratio (Assets/Equity)","1.02"
"27","AFY","30 June 2016","LT Debt/Total Capital","-"
"28","AFY","30 June 2016","Market Capitalisation","437.25"
"29","AFY","30 June 2016","Net Debt","-"
"30","AFY","30 June 2016","PE Ratio","-"
"31","AFY","30 June 2016","Pre-Tax Profit Margin","-"
"32","AFY","30 June 2016","Research & Devlopment (R&D) as ...","-"
"33","AFY","30 June 2016","Return on Assets (ROA)","-0.09"
"34","AFY","30 June 2016","Return on Capital Invested (ROC...","-0.10"
"35","AFY","30 June 2016","Return on Equity (ROE)","-0.09"
"36","AFY","30 June 2016","Sales per Employee","-"
"37","AFY","30 June 2016","Selling, General & Adm/tive (SG...","-"
"38","AFY","30 June 2016","Spread","0.07"
"39","AFY","30 June 2016","Tangible Book-Value pS","-"
"40","AFY","30 June 2016","Total Debt/Equity (Gearing Rati...","-"
"41","AFY","30 June 2016","Working Capital pS","-"
"42","AFY","30 June 2016","Yesterday's Close","2.65"
"43","AFY","30 June 2016","1 Month","3.14"
"44","AFY","30 June 2016","1 Month","2.63"
"45","AFY","30 June 2016","1 Week","2.78"
"46","AFY","30 June 2016","1 Week","2.77"
"47","AFY","30 June 2016","1 Year","3.14"
"48","AFY","30 June 2016","1 Year","1.10"
"49","AFY","30 June 2016","3 Months","3.14"
"50","AFY","30 June 2016","3 Months","1.57"
"51","AFY","30 June 2016","3 Years","3.14"
"52","AFY","30 June 2016","3 Years","1.10"
"53","AFY","30 June 2016","5 Years","3.14"
"54","AFY","30 June 2016","5 Years","1.10"
"55","AFY","30 June 2016","6 Months","3.14"
"56","AFY","30 June 2016","6 Months","1.10"
"57","AFY","30 June 2016","Period †","High"
"58","AFY","30 June 2016","Period †","Open"
"59","AFY","30 June 2016","","1 year"
"60","AFY","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"61","AFY","30 June 2016","AFY Growth Ratios (30 June 2016)",NA
"62","AFY","30 June 2016","CFO growth","-"
"63","AFY","30 June 2016","Diluted continuous EPS growth","-"
"64","AFY","30 June 2016","Diluted EPS growth","-"
"65","AFY","30 June 2016","Dividend growth","-"
"66","AFY","30 June 2016","Equity per share growth","-0.96"
"67","AFY","30 June 2016","FCF growth","-"
"68","AFY","30 June 2016","Net income cont growth","-"
"69","AFY","30 June 2016","Net income growth","-"
"70","AFY","30 June 2016","Operating income growth","-"
"71","AFY","30 June 2016","Operating revenue growth","-"
"72","AFY","30 June 2016","Revenue growth","-"
"73","AFY","30 June 2016","AFY Efficency Ratios (30 June 2016)",NA
"74","AFY","30 June 2016","Assets turnover","0.04"
"75","AFY","30 June 2016","Capital expenditure sales ratio","2.19"
"76","AFY","30 June 2016","Cash conversion cycle","-"
"77","AFY","30 June 2016","Days in inventory","-"
"78","AFY","30 June 2016","Days in payment","954.12"
"79","AFY","30 June 2016","Days in sales","2,055.18"
"80","AFY","30 June 2016","FCF net income ratio","-"
"81","AFY","30 June 2016","FCF sales ratio","-"
"82","AFY","30 June 2016","Fixed assets turnover","49.06"
"83","AFY","30 June 2016","Inventory turnover","-"
"84","AFY","30 June 2016","Payable turnover","0.38"
"85","AFY","30 June 2016","Receivable turnover","0.18"
"86","AFY","30 June 2016","ROA","-0.09"
"87","AFY","30 June 2016","ROE","-0.09"
"88","AFY","30 June 2016","ROIC","-0.10"
"89","AFY","30 June 2016","AFY Financial Health Ratios (30 June 2016)",NA
"90","AFY","30 June 2016","Current ratio","29.64"
"91","AFY","30 June 2016","Debt equity ratio","-"
"92","AFY","30 June 2016","Debt total capital ratio","-"
"93","AFY","30 June 2016","Financial leverage","1.02"
"94","AFY","30 June 2016","Quick ratio","29.63"
"95","AFY","30 June 2016","Total debt to equity","-"
"96","AFY","30 June 2016","AFY Avearge Growth Ratios Over 5 Years (30 June 2016)",NA
"97","AFY","30 June 2016","Avg gross margin","-"
"98","AFY","30 June 2016","Avg net profit","-"
"99","AFY","30 June 2016","Avg post tax margin","-"
"100","AFY","30 June 2016","Avg pre tax marginr","-"
"101","AFY","30 June 2016","Avg ret assets","-"
"102","AFY","30 June 2016","Avg ret commonr","-"
"103","AFY","30 June 2016","Avg ret invested capital","-"
"104","AFY","30 June 2016","Growth ann capital spending","-"
"105","AFY","30 June 2016","Growth ann gross profit","-"
"106","AFY","30 June 2016","AFY Profitability Ratios (30 June 2016)",NA
"107","AFY","30 June 2016","EBIT margin","-3.00"
"108","AFY","30 June 2016","EBITDA margin","-1.43"
"109","AFY","30 June 2016","EBT margin","-2.67"
"110","AFY","30 June 2016","Gross margin","0.81"
"111","AFY","30 June 2016","Inc per employee tot ops","-"
"112","AFY","30 June 2016","Interest coverage","-"
"113","AFY","30 June 2016","Net margin","-2.57"
"114","AFY","30 June 2016","Normalized net profit margin","-2.57"
"115","AFY","30 June 2016","Operating margin","-3.00"
"116","AFY","30 June 2016","Sales per employee","-"
"117","AFY","30 June 2016","Tax rate","-"
"118","AFY","30 June 2016","AFY Valuation Ratios (30 June 2016)",NA
"119","AFY","30 June 2016","Book value per share","0.24"
"120","AFY","30 June 2016","Cash return","0.00"
"121","AFY","30 June 2016","CF per share","0.00"
"122","AFY","30 June 2016","Div payout 5 year","-"
"123","AFY","30 June 2016","Div payout tot ops","-"
"124","AFY","30 June 2016","Div rate","-"
"125","AFY","30 June 2016","Dividend yield","-"
"126","AFY","30 June 2016","Growth ann sales per share 5 ye...","-"
"127","AFY","30 June 2016","Payout ratio","-"
"128","AFY","30 June 2016","Price to book","5.96"
"129","AFY","30 June 2016","Price to cash flow","-"
"130","AFY","30 June 2016","Price to EPS","-"
"131","AFY","30 June 2016","Price to free cash flow","-"
"132","AFY","30 June 2016","Price to sales","-"
"133","AFY","30 June 2016","Ratio PE 5 year high","-"
"134","AFY","30 June 2016","Ratio PE 5 year low","-"
"135","AFY","30 June 2016","Sales per share","-"
"136","AFY","30 June 2016","Sustainable growth rate","-"
"137","AFY","30 June 2016","FTSE",NA
"138","AFY","30 June 2016","FTSE 100",NA
"139","AFY","30 June 2016","FX",NA
"140","AFY","30 June 2016","GBPUSD",NA
"141","AFY","30 June 2016","GKP",NA
"142","AFY","30 June 2016","Gulf Keyst..",NA
"143","AFY","30 June 2016","IOF",NA
"144","AFY","30 June 2016","Iofina",NA
"145","AFY","30 June 2016","LSE",NA
"146","AFY","30 June 2016","LSE",NA
"147","AFY","30 June 2016","LSE",NA
"148","AFY","30 June 2016","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"149","AFY","30 June 2016","QPP",NA
"150","AFY","30 June 2016","Quindell",NA
"151","AFY","30 June 2016","UK Sterlin..",NA
"152","AFY","30 June 2016","UKX",NA
