"","ticker","date","variable","value"
"1","AGX","30 June 2016","Address","156 Collins Street, Ground Floor"
"2","AGX","30 June 2016","City/Country:","Melbourne, Australia"
"3","AGX","30 June 2016","Company sector name:","Healthcare"
"4","AGX","30 June 2016","End of fiscal year:","30 June 2016"
"5","AGX","30 June 2016","Industry group name","Biotechnology"
"6","AGX","30 June 2016","Industry name:","Biotechnology"
"7","AGX","30 June 2016","Web address:","http://www.agenix.com"
"8","AGX","30 June 2016","AGX KEY FIGURES (at previous day's close)",NA
"9","AGX","30 June 2016","Assets Turnover","-"
"10","AGX","30 June 2016","Book-Value pS","-"
"11","AGX","30 June 2016","Cash Flow pS","-"
"12","AGX","30 June 2016","Cash pS","-"
"13","AGX","30 June 2016","Current Ratio","2.41"
"14","AGX","30 June 2016","Dividend pS (DPS)","-"
"15","AGX","30 June 2016","Dividend Yield","-"
"16","AGX","30 June 2016","Domestic Sales","-"
"17","AGX","30 June 2016","Earnings pS (EPS)","-"
"18","AGX","30 June 2016","EBITDA Margin","-"
"19","AGX","30 June 2016","Effective Tax Rate","-"
"20","AGX","30 June 2016","Foreign Sales","-"
"21","AGX","30 June 2016","Free Cash Flow pS","-"
"22","AGX","30 June 2016","Gross gearing","-"
"23","AGX","30 June 2016","Gross Profit Margin","-"
"24","AGX","30 June 2016","Interest Cover","-"
"25","AGX","30 June 2016","Latest Shares Outstanding","262.76"
"26","AGX","30 June 2016","Leverage Ratio (Assets/Equity)","1.30"
"27","AGX","30 June 2016","LT Debt/Total Capital","-"
"28","AGX","30 June 2016","Market Capitalisation","12.88"
"29","AGX","30 June 2016","Net Debt","-"
"30","AGX","30 June 2016","PE Ratio","-"
"31","AGX","30 June 2016","Pre-Tax Profit Margin","-"
"32","AGX","30 June 2016","Research & Devlopment (R&D) as ...","-"
"33","AGX","30 June 2016","Return on Assets (ROA)","-0.33"
"34","AGX","30 June 2016","Return on Capital Invested (ROC...","-0.54"
"35","AGX","30 June 2016","Return on Equity (ROE)","-0.59"
"36","AGX","30 June 2016","Sales per Employee","-"
"37","AGX","30 June 2016","Selling, General & Adm/tive (SG...","-"
"38","AGX","30 June 2016","Spread","0.01"
"39","AGX","30 June 2016","Tangible Book-Value pS","-"
"40","AGX","30 June 2016","Total Debt/Equity (Gearing Rati...","-"
"41","AGX","30 June 2016","Working Capital pS","-"
"42","AGX","30 June 2016","Yesterday's Close","0.05"
"43","AGX","30 June 2016","1 Month","0.06"
"44","AGX","30 June 2016","1 Week","0.05"
"45","AGX","30 June 2016","1 Year","0.01"
"46","AGX","30 June 2016","1 Year","0.06"
"47","AGX","30 June 2016","3 Months","0.01"
"48","AGX","30 June 2016","3 Months","0.06"
"49","AGX","30 June 2016","3 Years","0.06"
"50","AGX","30 June 2016","3 Years","0.02"
"51","AGX","30 June 2016","5 Years","0.06"
"52","AGX","30 June 2016","5 Years","0.02"
"53","AGX","30 June 2016","6 Months","0.01"
"54","AGX","30 June 2016","6 Months","0.06"
"55","AGX","30 June 2016","Period †","High"
"56","AGX","30 June 2016","Period †","Open"
"57","AGX","30 June 2016","","1 year"
"58","AGX","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"59","AGX","30 June 2016","AGX Growth Ratios (30 June 2016)",NA
"60","AGX","30 June 2016","CFO growth","-"
"61","AGX","30 June 2016","Diluted continuous EPS growth","-"
"62","AGX","30 June 2016","Diluted EPS growth","-"
"63","AGX","30 June 2016","Dividend growth","-"
"64","AGX","30 June 2016","Equity per share growth","-0.51"
"65","AGX","30 June 2016","FCF growth","-"
"66","AGX","30 June 2016","Net income cont growth","-"
"67","AGX","30 June 2016","Net income growth","-"
"68","AGX","30 June 2016","Operating income growth","-"
"69","AGX","30 June 2016","Operating revenue growth","-"
"70","AGX","30 June 2016","Revenue growth","-"
"71","AGX","30 June 2016","AGX Efficency Ratios (30 June 2016)",NA
"72","AGX","30 June 2016","Assets turnover","0.03"
"73","AGX","30 June 2016","Capital expenditure sales ratio","-"
"74","AGX","30 June 2016","Cash conversion cycle","-"
"75","AGX","30 June 2016","Days in inventory","-"
"76","AGX","30 June 2016","Days in payment","-"
"77","AGX","30 June 2016","Days in sales","147.07"
"78","AGX","30 June 2016","FCF net income ratio","-"
"79","AGX","30 June 2016","FCF sales ratio","-"
"80","AGX","30 June 2016","Fixed assets turnover","-"
"81","AGX","30 June 2016","Inventory turnover","-"
"82","AGX","30 June 2016","Payable turnover","-"
"83","AGX","30 June 2016","Receivable turnover","2.48"
"84","AGX","30 June 2016","ROA","-0.33"
"85","AGX","30 June 2016","ROE","-0.59"
"86","AGX","30 June 2016","ROIC","-0.54"
"87","AGX","30 June 2016","AGX Financial Health Ratios (30 June 2016)",NA
"88","AGX","30 June 2016","Current ratio","2.41"
"89","AGX","30 June 2016","Debt equity ratio","-"
"90","AGX","30 June 2016","Debt total capital ratio","-"
"91","AGX","30 June 2016","Financial leverage","1.30"
"92","AGX","30 June 2016","Quick ratio","0.32"
"93","AGX","30 June 2016","Total debt to equity","-"
"94","AGX","30 June 2016","AGX Avearge Growth Ratios Over 5 Years (30 June 2016)",NA
"95","AGX","30 June 2016","Avg gross margin","-"
"96","AGX","30 June 2016","Avg net profit","-"
"97","AGX","30 June 2016","Avg post tax margin","-"
"98","AGX","30 June 2016","Avg pre tax marginr","-"
"99","AGX","30 June 2016","Avg ret assets","-0.88"
"100","AGX","30 June 2016","Avg ret commonr","-1.34"
"101","AGX","30 June 2016","Avg ret invested capital","-1.32"
"102","AGX","30 June 2016","Growth ann capital spending","-"
"103","AGX","30 June 2016","Growth ann gross profit","-"
"104","AGX","30 June 2016","AGX Profitability Ratios (30 June 2016)",NA
"105","AGX","30 June 2016","EBIT margin","-8.01"
"106","AGX","30 June 2016","EBITDA margin","-8.01"
"107","AGX","30 June 2016","EBT margin","-8.92"
"108","AGX","30 June 2016","Gross margin","-"
"109","AGX","30 June 2016","Inc per employee tot ops","-"
"110","AGX","30 June 2016","Interest coverage","-8.85"
"111","AGX","30 June 2016","Net margin","-12.38"
"112","AGX","30 June 2016","Normalized net profit margin","-8.92"
"113","AGX","30 June 2016","Operating margin","-13.99"
"114","AGX","30 June 2016","Sales per employee","-"
"115","AGX","30 June 2016","Tax rate","-"
"116","AGX","30 June 2016","AGX Valuation Ratios (30 June 2016)",NA
"117","AGX","30 June 2016","Book value per share","0.03"
"118","AGX","30 June 2016","Cash return","-3.30"
"119","AGX","30 June 2016","CF per share","-0.03"
"120","AGX","30 June 2016","Div payout 5 year","-"
"121","AGX","30 June 2016","Div payout tot ops","-"
"122","AGX","30 June 2016","Div rate","-"
"123","AGX","30 June 2016","Dividend yield","-"
"124","AGX","30 June 2016","Growth ann sales per share 5 ye...","-"
"125","AGX","30 June 2016","Payout ratio","0.00"
"126","AGX","30 June 2016","Price to book","1.48"
"127","AGX","30 June 2016","Price to cash flow","-1.16"
"128","AGX","30 June 2016","Price to EPS","-1.39"
"129","AGX","30 June 2016","Price to free cash flow","-1.16"
"130","AGX","30 June 2016","Price to sales","-"
"131","AGX","30 June 2016","Ratio PE 5 year high","-84.25"
"132","AGX","30 June 2016","Ratio PE 5 year low","-1.22"
"133","AGX","30 June 2016","Sales per share","0.00"
"134","AGX","30 June 2016","Sustainable growth rate","-0.97"
"135","AGX","30 June 2016","FTSE",NA
"136","AGX","30 June 2016","FTSE 100",NA
"137","AGX","30 June 2016","FX",NA
"138","AGX","30 June 2016","GBPUSD",NA
"139","AGX","30 June 2016","GKP",NA
"140","AGX","30 June 2016","Gulf Keyst..",NA
"141","AGX","30 June 2016","IOF",NA
"142","AGX","30 June 2016","Iofina",NA
"143","AGX","30 June 2016","LSE",NA
"144","AGX","30 June 2016","LSE",NA
"145","AGX","30 June 2016","LSE",NA
