"","ticker","date","variable","value"
"1","AHZ","30 June 2016","Address","26 Harris Road, 6090"
"2","AHZ","30 June 2016","City/Country:","Malaga, Australia"
"3","AHZ","30 June 2016","Company sector name:","Healthcare"
"4","AHZ","30 June 2016","End of fiscal year:","30 June 2016"
"5","AHZ","30 June 2016","Industry group name","Biotechnology"
"6","AHZ","30 June 2016","Industry name:","Biotechnology"
"7","AHZ","30 June 2016","Web address:","http://www.alliedhealthcaregroup.com.au"
"8","AHZ","30 June 2016","AHZ KEY FIGURES (at previous day's close)",NA
"9","AHZ","30 June 2016","Assets Turnover","-"
"10","AHZ","30 June 2016","Book-Value pS","-"
"11","AHZ","30 June 2016","Cash Flow pS","-"
"12","AHZ","30 June 2016","Cash pS","-"
"13","AHZ","30 June 2016","Current Ratio","4.53"
"14","AHZ","30 June 2016","Dividend pS (DPS)","-"
"15","AHZ","30 June 2016","Dividend Yield","-"
"16","AHZ","30 June 2016","Domestic Sales","-"
"17","AHZ","30 June 2016","Earnings pS (EPS)","-"
"18","AHZ","30 June 2016","EBITDA Margin","-"
"19","AHZ","30 June 2016","Effective Tax Rate","-"
"20","AHZ","30 June 2016","Foreign Sales","-"
"21","AHZ","30 June 2016","Free Cash Flow pS","-"
"22","AHZ","30 June 2016","Gross gearing","-"
"23","AHZ","30 June 2016","Gross Profit Margin","-"
"24","AHZ","30 June 2016","Interest Cover","-"
"25","AHZ","30 June 2016","Latest Shares Outstanding","251.73"
"26","AHZ","30 June 2016","Leverage Ratio (Assets/Equity)","1.29"
"27","AHZ","30 June 2016","LT Debt/Total Capital","-"
"28","AHZ","30 June 2016","Market Capitalisation","83.07"
"29","AHZ","30 June 2016","Net Debt","-"
"30","AHZ","30 June 2016","PE Ratio","-"
"31","AHZ","30 June 2016","Pre-Tax Profit Margin","-"
"32","AHZ","30 June 2016","Research & Devlopment (R&D) as ...","-"
"33","AHZ","30 June 2016","Return on Assets (ROA)","-0.71"
"34","AHZ","30 June 2016","Return on Capital Invested (ROC...","-0.85"
"35","AHZ","30 June 2016","Return on Equity (ROE)","-0.84"
"36","AHZ","30 June 2016","Sales per Employee","-"
