"","ticker","date","variable","value"
"1","AKG","30 June 2016","Address","Level 6  505 George Street, 2000"
"2","AKG","30 June 2016","Auditor:","PILOT PARTNERS"
"3","AKG","30 June 2016","City/Country:","Sydney, Australia"
"4","AKG","30 June 2016","Company sector name:","Consumer Defensive"
"5","AKG","30 June 2016","End of fiscal year:","30 June 2016"
"6","AKG","30 June 2016","Industry group name","Education"
"7","AKG","30 June 2016","Industry name:","Education & Training Services"
"8","AKG","30 June 2016","Web address:","http://www.aca.nsw.edu.au"
"9","AKG","30 June 2016","AKG KEY FIGURES (at previous day's close)",NA
"10","AKG","30 June 2016","Assets Turnover","-"
"11","AKG","30 June 2016","Book-Value pS","-"
"12","AKG","30 June 2016","Cash Flow pS","-"
"13","AKG","30 June 2016","Cash pS","-"
"14","AKG","30 June 2016","Current Ratio","0.60"
"15","AKG","30 June 2016","Dividend pS (DPS)","-"
"16","AKG","30 June 2016","Dividend Yield","-"
"17","AKG","30 June 2016","Domestic Sales","-"
"18","AKG","30 June 2016","Earnings pS (EPS)","-"
"19","AKG","30 June 2016","EBITDA Margin","-"
"20","AKG","30 June 2016","Effective Tax Rate","-"
"21","AKG","30 June 2016","Foreign Sales","-"
"22","AKG","30 June 2016","Free Cash Flow pS","-"
"23","AKG","30 June 2016","Gross gearing","-"
"24","AKG","30 June 2016","Gross Profit Margin","-"
"25","AKG","30 June 2016","Interest Cover","-"
"26","AKG","30 June 2016","Latest Shares Outstanding","76.16"
"27","AKG","30 June 2016","Leverage Ratio (Assets/Equity)","2.77"
"28","AKG","30 June 2016","LT Debt/Total Capital","-"
"29","AKG","30 June 2016","Market Capitalisation","12.57"
"30","AKG","30 June 2016","Net Debt","-"
"31","AKG","30 June 2016","PE Ratio","-"
"32","AKG","30 June 2016","Pre-Tax Profit Margin","-"
"33","AKG","30 June 2016","Research & Devlopment (R&D) as ...","-"
"34","AKG","30 June 2016","Return on Assets (ROA)","-0.06"
"35","AKG","30 June 2016","Return on Capital Invested (ROC...","-0.10"
"36","AKG","30 June 2016","Return on Equity (ROE)","-0.17"
"37","AKG","30 June 2016","Sales per Employee","-"
"38","AKG","30 June 2016","Selling, General & Adm/tive (SG...","-"
"39","AKG","30 June 2016","Spread","0.04"
"40","AKG","30 June 2016","Tangible Book-Value pS","-"
"41","AKG","30 June 2016","Total Debt/Equity (Gearing Rati...","0.56"
"42","AKG","30 June 2016","Working Capital pS","-"
"43","AKG","30 June 2016","Yesterday's Close","0.17"
"44","AKG","30 June 2016","1 Month","0.19"
"45","AKG","30 June 2016","1 Month","0.18"
"46","AKG","30 June 2016","1 Week","0.17"
"47","AKG","30 June 2016","1 Year","0.48"
"48","AKG","30 June 2016","1 Year","0.34"
"49","AKG","30 June 2016","3 Months","0.26"
"50","AKG","30 June 2016","3 Months","0.24"
"51","AKG","30 June 2016","3 Years","1.40"
"52","AKG","30 June 2016","3 Years","0.98"
"53","AKG","30 June 2016","5 Years","1.40"
"54","AKG","30 June 2016","5 Years","0.55"
"55","AKG","30 June 2016","6 Months","0.26"
"56","AKG","30 June 2016","6 Months","0.20"
"57","AKG","30 June 2016","Period †","High"
"58","AKG","30 June 2016","Period †","Open"
"59","AKG","30 June 2016","","1 year"
"60","AKG","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"61","AKG","30 June 2016","AKG Growth Ratios (30 June 2016)",NA
"62","AKG","30 June 2016","CFO growth","0.73"
"63","AKG","30 June 2016","Diluted continuous EPS growth","-"
"64","AKG","30 June 2016","Diluted EPS growth","-"
"65","AKG","30 June 2016","Dividend growth","-"
"66","AKG","30 June 2016","Equity per share growth","-0.14"
"67","AKG","30 June 2016","FCF growth","-"
"68","AKG","30 June 2016","Net income cont growth","-"
"69","AKG","30 June 2016","Net income growth","-"
"70","AKG","30 June 2016","Operating income growth","-"
"71","AKG","30 June 2016","Operating revenue growth","-0.03"
"72","AKG","30 June 2016","Revenue growth","-0.03"
"73","AKG","30 June 2016","AKG Efficency Ratios (30 June 2016)",NA
"74","AKG","30 June 2016","Assets turnover","0.79"
"75","AKG","30 June 2016","Capital expenditure sales ratio","0.02"
"76","AKG","30 June 2016","Cash conversion cycle","-"
"77","AKG","30 June 2016","Days in inventory","-"
"78","AKG","30 June 2016","Days in payment","-"
"79","AKG","30 June 2016","Days in sales","58.47"
"80","AKG","30 June 2016","FCF net income ratio","-"
"81","AKG","30 June 2016","FCF sales ratio","0.00"
"82","AKG","30 June 2016","Fixed assets turnover","8.41"
"83","AKG","30 June 2016","Inventory turnover","-"
"84","AKG","30 June 2016","Payable turnover","-"
