"","ticker","date","variable","value"
"1","AQJ","30 June 2015","City/Country:","Nedlands, Australia"
"2","AQJ","30 June 2015","Doing business in:","Australia (AU)"
"3","AQJ","30 June 2015","End of fiscal year:","30 June 2015"
"4","AQJ","30 June 2015","Place of incorporation:","Australia (AU)"
"5","AQJ","30 June 2015","Trading currency:","AUD"
"6","AQJ","30 June 2015","Year established:","2006"
"7","AQJ","30 June 2015","AQJ KEY FIGURES (at previous day's close)",NA
"8","AQJ","30 June 2015","Assets Turnover","-"
"9","AQJ","30 June 2015","Book-Value pS","-0.01"
"10","AQJ","30 June 2015","Cash Flow pS","-0.00"
"11","AQJ","30 June 2015","Cash pS","0.00"
"12","AQJ","30 June 2015","Current Ratio","0.18"
"13","AQJ","30 June 2015","Dividend pS (DPS)","-"
"14","AQJ","30 June 2015","Dividend Yield","-"
"15","AQJ","30 June 2015","Domestic Sales","-"
"16","AQJ","30 June 2015","Earnings pS (EPS)","-0.03"
"17","AQJ","30 June 2015","EBITDA Margin","-"
"18","AQJ","30 June 2015","Effective Tax Rate","-"
"19","AQJ","30 June 2015","Foreign Sales","-"
"20","AQJ","30 June 2015","Free Cash Flow pS","-0.00"
"21","AQJ","30 June 2015","Gross gearing","174.58"
"22","AQJ","30 June 2015","Gross Profit Margin","-"
"23","AQJ","30 June 2015","Interest Cover","-"
"24","AQJ","30 June 2015","Latest Shares Outstanding","765.72"
"25","AQJ","30 June 2015","Leverage Ratio (Assets/Equity)","-"
"26","AQJ","30 June 2015","LT Debt/Total Capital","-"
"27","AQJ","30 June 2015","Market Capitalisation","0.50"
"28","AQJ","30 June 2015","Net Debt","6.75"
"29","AQJ","30 June 2015","PE Ratio","-0.04"
"30","AQJ","30 June 2015","Pre-Tax Profit Margin","-"
"31","AQJ","30 June 2015","Research & Devlopment (R&D) as ...","-"
"32","AQJ","30 June 2015","Return on Assets (ROA)","-5.99"
"33","AQJ","30 June 2015","Return on Capital Invested (ROC...","-"
"34","AQJ","30 June 2015","Return on Equity (ROE)","-"
"35","AQJ","30 June 2015","Sales per Employee","-"
"36","AQJ","30 June 2015","Selling, General & Adm/tive (SG...","-"
"37","AQJ","30 June 2015","Spread","0.00"
"38","AQJ","30 June 2015","Tangible Book-Value pS","0.01"
"39","AQJ","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
"40","AQJ","30 June 2015","Working Capital pS","-0.00"
"41","AQJ","30 June 2015","Yesterday's Close","0.00"
"42","AQJ","30 June 2015","1 Month","0.00"
"43","AQJ","30 June 2015","1 Week","0.00"
"44","AQJ","30 June 2015","1 Year","0.00"
"45","AQJ","30 June 2015","3 Months","0.00"
"46","AQJ","30 June 2015","3 Years","0.01"
"47","AQJ","30 June 2015","5 Years","0.01"
"48","AQJ","30 June 2015","6 Months","0.00"
"49","AQJ","30 June 2015","Period †","High"
"50","AQJ","30 June 2015","Period †","Open"
"51","AQJ","30 June 2015","","1 year"
"52","AQJ","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"53","AQJ","30 June 2015","AQJ Growth Ratios (30 June 2015)",NA
"54","AQJ","30 June 2015","CFO growth","-"
"55","AQJ","30 June 2015","Diluted continuous EPS growth","-"
"56","AQJ","30 June 2015","Diluted EPS growth","-"
"57","AQJ","30 June 2015","Dividend growth","-"
"58","AQJ","30 June 2015","Equity per share growth","-"
"59","AQJ","30 June 2015","FCF growth","-"
"60","AQJ","30 June 2015","Net income cont growth","-"
"61","AQJ","30 June 2015","Net income growth","-"
"62","AQJ","30 June 2015","Operating income growth","-"
"63","AQJ","30 June 2015","Operating revenue growth","0.00"
"64","AQJ","30 June 2015","Revenue growth","0.00"
"65","AQJ","30 June 2015","AQJ Income Statement 30 June 2015 (AUD)",NA
"66","AQJ","30 June 2015","Basic EPS","-0.03"
"67","AQJ","30 June 2015","Basic EPS from Continuing Ope...","-0.03"
"68","AQJ","30 June 2015","Basic EPS from Discontinued O...","0.00"
"69","AQJ","30 June 2015","Basic EPS,Continuing and Disc...","-0.03"
"70","AQJ","30 June 2015","Basic Weighted Average Shares...","500.85"
"71","AQJ","30 June 2015","Calculated Tax Effect Of Unus...","0.00"
"72","AQJ","30 June 2015","Commission Expenses","1.26"
"73","AQJ","30 June 2015","Depreciation","1,673.00"
"74","AQJ","30 June 2015","Depreciation and Amortization","1,673.00"
"75","AQJ","30 June 2015","Depreciation,Reconciled","1,673.00"
"76","AQJ","30 June 2015","Diluted EPS","-0.03"
"77","AQJ","30 June 2015","Diluted EPS from Continuing O...","-0.03"
"78","AQJ","30 June 2015","Diluted EPS from Discontinued...","0.00"
"79","AQJ","30 June 2015","Diluted EPS,Continuing and Di...","-0.03"
"80","AQJ","30 June 2015","Diluted Weighted Average Shar...","500.85"
"81","AQJ","30 June 2015","Discontinued Operations","0.00"
"82","AQJ","30 June 2015","Earning Before Interest and T...","-13.23"
"83","AQJ","30 June 2015","Earning Before Interest Tax D...","-13.23"
"84","AQJ","30 June 2015","General and Administrative Ex...","10.74"
"85","AQJ","30 June 2015","Interest and Dividend Income","0.00"
"86","AQJ","30 June 2015","Minority Interest","2,195.00"
"87","AQJ","30 June 2015","Net Income","-13.16"
"88","AQJ","30 June 2015","Net Income Available to Commo...","-13.16"
"89","AQJ","30 June 2015","Net Income from Continuing an...","-13.16"
"90","AQJ","30 June 2015","Net Income from Continuing Op...","-13.16"
"91","AQJ","30 June 2015","Net Income from Continuing Op...","-13.16"
"92","AQJ","30 June 2015","Net Income Including Noncontr...","-13.16"
"93","AQJ","30 June 2015","Non Operating Income","0.07"
"94","AQJ","30 June 2015","Normalized Basic EPS","-0.03"
"95","AQJ","30 June 2015","Normalized Diluted EPS","-0.03"
"96","AQJ","30 June 2015","Normalized Income","-13.16"
"97","AQJ","30 June 2015","Operating Expenses","13.23"
"98","AQJ","30 June 2015","Operating Income","-13.23"
"99","AQJ","30 June 2015","Operating Revenue","0.00"
"100","AQJ","30 June 2015","Other Income/Expense,Net","0.07"
"101","AQJ","30 June 2015","Preferred Stock Dividends","0.00"
"102","AQJ","30 June 2015","Pretax Income","-13.16"
"103","AQJ","30 June 2015","Provision for Doubtful Accoun...","0.12"
"104","AQJ","30 June 2015","Provision for Income Tax","0.00"
"105","AQJ","30 June 2015","Salary and Benefit","10.12"
"106","AQJ","30 June 2015","Selling and Marketing Expense","1.26"
"107","AQJ","30 June 2015","Selling,General and Administr...","12.00"
"108","AQJ","30 June 2015","Tax rate for calculations","0.00"
"109","AQJ","30 June 2015","Total Revenue","0.00"
"110","AQJ","30 June 2015","AQJ Efficency Ratios (30 June 2015)",NA
"111","AQJ","30 June 2015","Assets turnover","-"
"112","AQJ","30 June 2015","Capital expenditure sales ratio","-"
"113","AQJ","30 June 2015","Cash conversion cycle","-"
"114","AQJ","30 June 2015","Days in inventory","-"
"115","AQJ","30 June 2015","Days in payment","-"
"116","AQJ","30 June 2015","Days in sales","-"
"117","AQJ","30 June 2015","FCF net income ratio","-"
"118","AQJ","30 June 2015","FCF sales ratio","-"
"119","AQJ","30 June 2015","Fixed assets turnover","-"
"120","AQJ","30 June 2015","Inventory turnover","-"
"121","AQJ","30 June 2015","Payable turnover","-"
"122","AQJ","30 June 2015","Receivable turnover","-"
"123","AQJ","30 June 2015","ROA","-5.99"
"124","AQJ","30 June 2015","ROE","-"
"125","AQJ","30 June 2015","ROIC","-"
"126","AQJ","30 June 2015","AQJ Financial Health Ratios (30 June 2015)",NA
"127","AQJ","30 June 2015","Current ratio","0.18"
"128","AQJ","30 June 2015","Debt equity ratio","-"
"129","AQJ","30 June 2015","Debt total capital ratio","-"
"130","AQJ","30 June 2015","Financial leverage","-"
