"","ticker","date","variable","value"
"1","AQQ","30 June 2015","Address","45 Ventnor Avenue, 6005"
"2","AQQ","30 June 2015","City/Country:","West Perth, Australia"
"3","AQQ","30 June 2015","Company sector name:","Basic Materials"
"4","AQQ","30 June 2015","End of fiscal year:","30 June 2015"
"5","AQQ","30 June 2015","Industry group name","Metals & Mining"
"6","AQQ","30 June 2015","Industry name:","Gold"
"7","AQQ","30 June 2015","Web address:","http://www.aphroditegold.com.au"
"8","AQQ","30 June 2015","AQQ KEY FIGURES (at previous day's close)",NA
"9","AQQ","30 June 2015","Assets Turnover","-"
"10","AQQ","30 June 2015","Book-Value pS","-"
"11","AQQ","30 June 2015","Cash Flow pS","-"
"12","AQQ","30 June 2015","Cash pS","-"
"13","AQQ","30 June 2015","Current Ratio","2.62"
"14","AQQ","30 June 2015","Dividend pS (DPS)","-"
"15","AQQ","30 June 2015","Dividend Yield","-"
"16","AQQ","30 June 2015","Domestic Sales","-"
"17","AQQ","30 June 2015","Earnings pS (EPS)","-"
"18","AQQ","30 June 2015","EBITDA Margin","-"
"19","AQQ","30 June 2015","Effective Tax Rate","-"
"20","AQQ","30 June 2015","Foreign Sales","-"
"21","AQQ","30 June 2015","Free Cash Flow pS","-"
"22","AQQ","30 June 2015","Gross gearing","-"
"23","AQQ","30 June 2015","Gross Profit Margin","-"
"24","AQQ","30 June 2015","Interest Cover","-"
"25","AQQ","30 June 2015","Latest Shares Outstanding","708.78"
"26","AQQ","30 June 2015","Leverage Ratio (Assets/Equity)","1.12"
"27","AQQ","30 June 2015","LT Debt/Total Capital","0.10"
"28","AQQ","30 June 2015","Market Capitalisation","21.97"
"29","AQQ","30 June 2015","Net Debt","-"
"30","AQQ","30 June 2015","PE Ratio","-"
"31","AQQ","30 June 2015","Pre-Tax Profit Margin","-"
"32","AQQ","30 June 2015","Research & Devlopment (R&D) as ...","-"
"33","AQQ","30 June 2015","Return on Assets (ROA)","-0.03"
"34","AQQ","30 June 2015","Return on Capital Invested (ROC...","-0.02"
"35","AQQ","30 June 2015","Return on Equity (ROE)","-0.04"
"36","AQQ","30 June 2015","Sales per Employee","-"
"37","AQQ","30 June 2015","Selling, General & Adm/tive (SG...","-"
"38","AQQ","30 June 2015","Spread","0.00"
"39","AQQ","30 June 2015","Tangible Book-Value pS","-"
"40","AQQ","30 June 2015","Total Debt/Equity (Gearing Rati...","0.11"
"41","AQQ","30 June 2015","Working Capital pS","-"
"42","AQQ","30 June 2015","Yesterday's Close","0.03"
"43","AQQ","30 June 2015","1 Month","0.03"
"44","AQQ","30 June 2015","1 Week","0.03"
"45","AQQ","30 June 2015","1 Year","0.05"
"46","AQQ","30 June 2015","1 Year","0.01"
"47","AQQ","30 June 2015","3 Months","0.03"
"48","AQQ","30 June 2015","3 Months","0.05"
"49","AQQ","30 June 2015","3 Years","0.03"
"50","AQQ","30 June 2015","3 Years","0.05"
"51","AQQ","30 June 2015","5 Years","0.10"
"52","AQQ","30 June 2015","5 Years","0.13"
"53","AQQ","30 June 2015","6 Months","0.03"
