"","ticker","date","variable","value"
"1","AQZ","30 June 2016","Address","81 Pandanus Avenue  Eagle Farm, 4009"
"2","AQZ","30 June 2016","Auditor:","PricewaterhouseCoopers"
"3","AQZ","30 June 2016","City/Country:","Brisbane, Australia"
"4","AQZ","30 June 2016","Company sector name:","Industrials"
"5","AQZ","30 June 2016","End of fiscal year:","30 June 2016"
"6","AQZ","30 June 2016","Industry group name","Airlines"
"7","AQZ","30 June 2016","Industry name:","Airlines"
"8","AQZ","30 June 2016","Web address:","http://www.allianceairlines.com.au"
"9","AQZ","30 June 2016","AQZ KEY FIGURES (at previous day's close)",NA
"10","AQZ","30 June 2016","Assets Turnover","1.32"
"11","AQZ","30 June 2016","Book-Value pS","1.11"
"12","AQZ","30 June 2016","Cash Flow pS","0.22"
"13","AQZ","30 June 2016","Cash pS","0.02"
"14","AQZ","30 June 2016","Current Ratio","1.72"
"15","AQZ","30 June 2016","Dividend pS (DPS)","0.00"
"16","AQZ","30 June 2016","Dividend Yield","-"
"17","AQZ","30 June 2016","Domestic Sales","-"
"18","AQZ","30 June 2016","Earnings pS (EPS)","0.12"
"19","AQZ","30 June 2016","EBITDA Margin","23.16"
"20","AQZ","30 June 2016","Effective Tax Rate","-"
"21","AQZ","30 June 2016","Foreign Sales","-"
"22","AQZ","30 June 2016","Free Cash Flow pS","0.06"
"23","AQZ","30 June 2016","Gross gearing","46.29"
"24","AQZ","30 June 2016","Gross Profit Margin","61.48"
"25","AQZ","30 June 2016","Interest Cover","8.43"
"26","AQZ","30 June 2016","Latest Shares Outstanding","120.99"
"27","AQZ","30 June 2016","Leverage Ratio (Assets/Equity)","1.86"
"28","AQZ","30 June 2016","LT Debt/Total Capital","0.35"
"29","AQZ","30 June 2016","Market Capitalisation","93.01"
"30","AQZ","30 June 2016","Net Debt","107.37"
"31","AQZ","30 June 2016","PE Ratio","6.89"
"32","AQZ","30 June 2016","Pre-Tax Profit Margin","7.56"
"33","AQZ","30 June 2016","Research & Devlopment (R&D) as ...","0.00"
"34","AQZ","30 June 2016","Return on Assets (ROA)","0.06"
"35","AQZ","30 June 2016","Return on Capital Invested (ROC...","0.09"
"36","AQZ","30 June 2016","Return on Equity (ROE)","0.12"
"37","AQZ","30 June 2016","Sales per Employee","0.42"
"38","AQZ","30 June 2016","Selling, General & Adm/tive (SG...","33.68"
"39","AQZ","30 June 2016","Spread","0.01"
"40","AQZ","30 June 2016","Tangible Book-Value pS","1.47"
"41","AQZ","30 June 2016","Total Debt/Equity (Gearing Rati...","0.63"
"42","AQZ","30 June 2016","Working Capital pS","1.72"
"43","AQZ","30 June 2016","Yesterday's Close","0.81"
"44","AQZ","30 June 2016","1 Month","0.81"
"45","AQZ","30 June 2016","1 Month","0.88"
"46","AQZ","30 June 2016","1 Week","0.82"
"47","AQZ","30 June 2016","1 Week","0.78"
"48","AQZ","30 June 2016","1 Year","0.88"
"49","AQZ","30 June 2016","1 Year","0.50"
"50","AQZ","30 June 2016","3 Months","0.88"
"51","AQZ","30 June 2016","3 Months","0.50"
"52","AQZ","30 June 2016","3 Years","1.78"
"53","AQZ","30 June 2016","3 Years","1.55"
"54","AQZ","30 June 2016","5 Years","2.36"
"55","AQZ","30 June 2016","5 Years","1.70"
"56","AQZ","30 June 2016","6 Months","0.88"
"57","AQZ","30 June 2016","6 Months","0.47"
"58","AQZ","30 June 2016","Period †","High"
"59","AQZ","30 June 2016","Period †","Open"
"60","AQZ","30 June 2016","","1 year"
