"","ticker","date","variable","value"
"1","ATU","30 June 2015","Address","510 Hay Street  ACN 153 876 861, 6008"
"2","ATU","30 June 2015","Auditor:","BDO (Australia) Limited"
"3","ATU","30 June 2015","City/Country:","Subiaco , Australia"
"4","ATU","30 June 2015","Company sector name:","Basic Materials"
"5","ATU","30 June 2015","End of fiscal year:","30 June 2015"
"6","ATU","30 June 2015","Industry group name","Coal"
"7","ATU","30 June 2015","Industry name:","Coal"
"8","ATU","30 June 2015","Assets Turnover","-"
"9","ATU","30 June 2015","ATU KEY FIGURES (at previous day's close)",NA
"10","ATU","30 June 2015","Book-Value pS","-"
"11","ATU","30 June 2015","Cash Flow pS","-"
"12","ATU","30 June 2015","Cash pS","-"
"13","ATU","30 June 2015","Current Ratio","0.48"
"14","ATU","30 June 2015","Dividend pS (DPS)","-"
"15","ATU","30 June 2015","Dividend Yield","-"
"16","ATU","30 June 2015","Domestic Sales","-"
"17","ATU","30 June 2015","Earnings pS (EPS)","-"
"18","ATU","30 June 2015","EBITDA Margin","-"
"19","ATU","30 June 2015","Effective Tax Rate","-"
"20","ATU","30 June 2015","Foreign Sales","-"
"21","ATU","30 June 2015","Free Cash Flow pS","-"
"22","ATU","30 June 2015","Gross gearing","-"
"23","ATU","30 June 2015","Gross Profit Margin","-"
"24","ATU","30 June 2015","Interest Cover","-"
"25","ATU","30 June 2015","Latest Shares Outstanding","202.77"
"26","ATU","30 June 2015","Leverage Ratio (Assets/Equity)","8.67"
"27","ATU","30 June 2015","LT Debt/Total Capital","0.62"
"28","ATU","30 June 2015","Market Capitalisation","172.35"
"29","ATU","30 June 2015","Net Debt","-"
"30","ATU","30 June 2015","PE Ratio","-"
"31","ATU","30 June 2015","Pre-Tax Profit Margin","-"
"32","ATU","30 June 2015","Research & Devlopment (R&D) as ...","-"
"33","ATU","30 June 2015","Return on Assets (ROA)","-1.43"
"34","ATU","30 June 2015","Return on Capital Invested (ROC...","-1.77"
"35","ATU","30 June 2015","Return on Equity (ROE)","-3.38"
"36","ATU","30 June 2015","Sales per Employee","-"
"37","ATU","30 June 2015","Selling, General & Adm/tive (SG...","-"
"38","ATU","30 June 2015","Spread","0.06"
"39","ATU","30 June 2015","Tangible Book-Value pS","-"
"40","ATU","30 June 2015","Total Debt/Equity (Gearing Rati...","4.03"
"41","ATU","30 June 2015","Working Capital pS","-"
"42","ATU","30 June 2015","Yesterday's Close","0.85"
"43","ATU","30 June 2015","1 Month","0.93"
"44","ATU","30 June 2015","1 Month","0.90"
"45","ATU","30 June 2015","1 Week","0.89"
"46","ATU","30 June 2015","1 Week","0.81"
"47","ATU","30 June 2015","1 Year","1.07"
"48","ATU","30 June 2015","1 Year","0.58"
"49","ATU","30 June 2015","3 Months","1.07"
"50","ATU","30 June 2015","3 Months","0.53"
