"","ticker","date","variable","value"
"1","AVI","30 June 2016","Auditor:","KPMG"
"2","AVI","30 June 2016","Doing business in:","Australia (AU)"
"3","AVI","30 June 2016","End of fiscal year:","30 June 2016"
"4","AVI","30 June 2016","Fax:","+61 73368 9899"
"5","AVI","30 June 2016","Place of incorporation:","Australia (AU)"
"6","AVI","30 June 2016","Tel.:","+61 73368 9888"
"7","AVI","30 June 2016","Trading currency:","AUD"
"8","AVI","30 June 2016","Assets Turnover","-"
"9","AVI","30 June 2016","AVI KEY FIGURES (at previous day's close)",NA
"10","AVI","30 June 2016","Book-Value pS","-"
"11","AVI","30 June 2016","Cash Flow pS","-"
"12","AVI","30 June 2016","Cash pS","-"
"13","AVI","30 June 2016","Current Ratio","2.36"
"14","AVI","30 June 2016","Dividend pS (DPS)","-"
"15","AVI","30 June 2016","Dividend Yield","-"
"16","AVI","30 June 2016","Domestic Sales","-"
"17","AVI","30 June 2016","Earnings pS (EPS)","-"
"18","AVI","30 June 2016","EBITDA Margin","-"
"19","AVI","30 June 2016","Effective Tax Rate","-"
"20","AVI","30 June 2016","Foreign Sales","-"
"21","AVI","30 June 2016","Free Cash Flow pS","-"
"22","AVI","30 June 2016","Gross gearing","-"
"23","AVI","30 June 2016","Gross Profit Margin","-"
"24","AVI","30 June 2016","Interest Cover","-"
"25","AVI","30 June 2016","Latest Shares Outstanding","520.44"
"26","AVI","30 June 2016","Leverage Ratio (Assets/Equity)","1.01"
"27","AVI","30 June 2016","LT Debt/Total Capital","-"
"28","AVI","30 June 2016","Market Capitalisation","14.05"
"29","AVI","30 June 2016","Net Debt","-"
"30","AVI","30 June 2016","PE Ratio","-"
"31","AVI","30 June 2016","Pre-Tax Profit Margin","-"
"32","AVI","30 June 2016","Research & Devlopment (R&D) as ...","-"
"33","AVI","30 June 2016","Return on Assets (ROA)","-0.08"
"34","AVI","30 June 2016","Return on Capital Invested (ROC...","-0.08"
"35","AVI","30 June 2016","Return on Equity (ROE)","-0.08"
"36","AVI","30 June 2016","Sales per Employee","-"
"37","AVI","30 June 2016","Selling, General & Adm/tive (SG...","-"
"38","AVI","30 June 2016","Spread","0.00"
"39","AVI","30 June 2016","Tangible Book-Value pS","-"
"40","AVI","30 June 2016","Total Debt/Equity (Gearing Rati...","-"
"41","AVI","30 June 2016","Working Capital pS","-"
"42","AVI","30 June 2016","Yesterday's Close","0.03"
"43","AVI","30 June 2016","1 Month","0.04"
"44","AVI","30 June 2016","1 Month","0.06"
"45","AVI","30 June 2016","1 Week","0.04"
"46","AVI","30 June 2016","1 Year","0.03"
"47","AVI","30 June 2016","1 Year","0.06"
"48","AVI","30 June 2016","3 Months","0.06"
"49","AVI","30 June 2016","3 Months","0.02"
"50","AVI","30 June 2016","3 Years","0.06"
"51","AVI","30 June 2016","3 Years","0.01"
"52","AVI","30 June 2016","5 Years","0.17"
"53","AVI","30 June 2016","5 Years","0.07"
"54","AVI","30 June 2016","6 Months","0.06"
"55","AVI","30 June 2016","6 Months","0.01"
"56","AVI","30 June 2016","Period †","High"
"57","AVI","30 June 2016","Period †","Open"
"58","AVI","30 June 2016","","1 year"
"59","AVI","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"60","AVI","30 June 2016","AVI Growth Ratios (30 June 2016)",NA
"61","AVI","30 June 2016","CFO growth","-"
"62","AVI","30 June 2016","Diluted continuous EPS growth","-"
"63","AVI","30 June 2016","Diluted EPS growth","-"
"64","AVI","30 June 2016","Dividend growth","-"
"65","AVI","30 June 2016","Equity per share growth","-0.37"
"66","AVI","30 June 2016","FCF growth","-"
"67","AVI","30 June 2016","Net income cont growth","-"
"68","AVI","30 June 2016","Net income growth","-"
"69","AVI","30 June 2016","Operating income growth","-"
"70","AVI","30 June 2016","Operating revenue growth","0.00"
"71","AVI","30 June 2016","Revenue growth","0.00"
"72","AVI","30 June 2016","Assets turnover","-"
"73","AVI","30 June 2016","AVI Efficency Ratios (30 June 2016)",NA
"74","AVI","30 June 2016","Capital expenditure sales ratio","-"
"75","AVI","30 June 2016","Cash conversion cycle","-"
"76","AVI","30 June 2016","Days in inventory","-"
"77","AVI","30 June 2016","Days in payment","-"
"78","AVI","30 June 2016","Days in sales","-"
"79","AVI","30 June 2016","FCF net income ratio","-"
"80","AVI","30 June 2016","FCF sales ratio","-"
"81","AVI","30 June 2016","Fixed assets turnover","-"
"82","AVI","30 June 2016","Inventory turnover","-"
"83","AVI","30 June 2016","Payable turnover","-"
"84","AVI","30 June 2016","Receivable turnover","-"
"85","AVI","30 June 2016","ROA","-0.08"
"86","AVI","30 June 2016","ROE","-0.08"
"87","AVI","30 June 2016","ROIC","-0.08"
"88","AVI","30 June 2016","AVI Financial Health Ratios (30 June 2016)",NA
"89","AVI","30 June 2016","Current ratio","2.36"
"90","AVI","30 June 2016","Debt equity ratio","-"
"91","AVI","30 June 2016","Debt total capital ratio","-"
"92","AVI","30 June 2016","Financial leverage","1.01"
"93","AVI","30 June 2016","Quick ratio","2.36"
"94","AVI","30 June 2016","Total debt to equity","-"
"95","AVI","30 June 2016","Avg gross margin","-"
"96","AVI","30 June 2016","Avg net profit","-"
"97","AVI","30 June 2016","Avg post tax margin","-"
"98","AVI","30 June 2016","Avg pre tax marginr","-"
"99","AVI","30 June 2016","Avg ret assets","-0.13"
"100","AVI","30 June 2016","Avg ret commonr","-0.13"
"101","AVI","30 June 2016","Avg ret invested capital","-0.13"
"102","AVI","30 June 2016","AVI Avearge Growth Ratios Over 5 Years (30 June 2016)",NA
"103","AVI","30 June 2016","Growth ann capital spending","-0.20"
"104","AVI","30 June 2016","Growth ann gross profit","-"
"105","AVI","30 June 2016","AVI Profitability Ratios (30 June 2016)",NA
"106","AVI","30 June 2016","EBIT margin","-"
"107","AVI","30 June 2016","EBITDA margin","-"
"108","AVI","30 June 2016","EBT margin","-"
"109","AVI","30 June 2016","Gross margin","-"
"110","AVI","30 June 2016","Inc per employee tot ops","-"
"111","AVI","30 June 2016","Interest coverage","-911.88"
"112","AVI","30 June 2016","Net margin","-"
"113","AVI","30 June 2016","Normalized net profit margin","-"
"114","AVI","30 June 2016","Operating margin","-"
"115","AVI","30 June 2016","Sales per employee","-"
"116","AVI","30 June 2016","Tax rate","-"
"117","AVI","30 June 2016","AVI Valuation Ratios (30 June 2016)",NA
"118","AVI","30 June 2016","Book value per share","0.10"
"119","AVI","30 June 2016","Cash return","-0.61"
"120","AVI","30 June 2016","CF per share","-0.01"
"121","AVI","30 June 2016","Div payout 5 year","-"
"122","AVI","30 June 2016","Div payout tot ops","-"
"123","AVI","30 June 2016","Div rate","-"
"124","AVI","30 June 2016","Dividend yield","-"
"125","AVI","30 June 2016","Growth ann sales per share 5 ye...","-"
"126","AVI","30 June 2016","Payout ratio","0.00"
"127","AVI","30 June 2016","Price to book","0.15"
"128","AVI","30 June 2016","Price to cash flow","-1.49"
"129","AVI","30 June 2016","Price to EPS","-1.31"
"130","AVI","30 June 2016","Price to free cash flow","-1.44"
"131","AVI","30 June 2016","Price to sales","-"
"132","AVI","30 June 2016","Ratio PE 5 year high","-130.27"
"133","AVI","30 June 2016","Ratio PE 5 year low","-0.82"
"134","AVI","30 June 2016","Sales per share","0.00"
"135","AVI","30 June 2016","Sustainable growth rate","-0.05"
"136","AVI","30 June 2016","FTSE",NA
"137","AVI","30 June 2016","FTSE 100",NA
"138","AVI","30 June 2016","FX",NA
"139","AVI","30 June 2016","GBPUSD",NA
"140","AVI","30 June 2016","GKP",NA
"141","AVI","30 June 2016","Gulf Keyst..",NA
"142","AVI","30 June 2016","IOF",NA
"143","AVI","30 June 2016","Iofina",NA
"144","AVI","30 June 2016","LSE",NA
"145","AVI","30 June 2016","LSE",NA
"146","AVI","30 June 2016","LSE",NA
"147","AVI","30 June 2016","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"148","AVI","30 June 2016","QPP",NA
"149","AVI","30 June 2016","Quindell",NA
"150","AVI","30 June 2016","UK Sterlin..",NA
"151","AVI","30 June 2016","UKX",NA
