"","ticker","date","variable","value"
"1","AXT","30 June 2016","Address","Level 4  100 Albert Road, 3205"
"2","AXT","30 June 2016","City/Country:","South Melbourne, Australia"
"3","AXT","30 June 2016","Company sector name:","Basic Materials"
"4","AXT","30 June 2016","End of fiscal year:","30 June 2016"
"5","AXT","30 June 2016","Industry group name","Metals & Mining"
"6","AXT","30 June 2016","Industry name:","Copper"
"7","AXT","30 June 2016","Web address:","http://www.argoexploration.com.au"
"8","AXT","30 June 2016","Assets Turnover","-"
"9","AXT","30 June 2016","AXT KEY FIGURES (at previous day's close)",NA
"10","AXT","30 June 2016","Book-Value pS","0.10"
"11","AXT","30 June 2016","Cash Flow pS","-0.00"
"12","AXT","30 June 2016","Cash pS","0.00"
"13","AXT","30 June 2016","Current Ratio","92.84"
"14","AXT","30 June 2016","Dividend pS (DPS)","-"
"15","AXT","30 June 2016","Dividend Yield","-"
"16","AXT","30 June 2016","Domestic Sales","-"
"17","AXT","30 June 2016","Earnings pS (EPS)","0.08"
"18","AXT","30 June 2016","EBITDA Margin","-"
"19","AXT","30 June 2016","Effective Tax Rate","-"
"20","AXT","30 June 2016","Foreign Sales","-"
"21","AXT","30 June 2016","Free Cash Flow pS","-0.00"
"22","AXT","30 June 2016","Gross gearing","23.77"
"23","AXT","30 June 2016","Gross Profit Margin","-"
"24","AXT","30 June 2016","Interest Cover","-"
"25","AXT","30 June 2016","Latest Shares Outstanding","182.97"
"26","AXT","30 June 2016","Leverage Ratio (Assets/Equity)","1.31"
"27","AXT","30 June 2016","LT Debt/Total Capital","-"
"28","AXT","30 June 2016","Market Capitalisation","9.58"
"29","AXT","30 June 2016","Net Debt","4.82"
"30","AXT","30 June 2016","PE Ratio","0.75"
"31","AXT","30 June 2016","Pre-Tax Profit Margin","-"
"32","AXT","30 June 2016","Research & Devlopment (R&D) as ...","-"
"33","AXT","30 June 2016","Return on Assets (ROA)","1.01"
"34","AXT","30 June 2016","Return on Capital Invested (ROC...","1.30"
"35","AXT","30 June 2016","Return on Equity (ROE)","1.30"
"36","AXT","30 June 2016","Sales per Employee","-"
"37","AXT","30 June 2016","Selling, General & Adm/tive (SG...","-"
"38","AXT","30 June 2016","Spread","0.00"
"39","AXT","30 June 2016","Tangible Book-Value pS","0.02"
"40","AXT","30 June 2016","Total Debt/Equity (Gearing Rati...","-"
"41","AXT","30 June 2016","Working Capital pS","0.14"
"42","AXT","30 June 2016","Yesterday's Close","0.06"
"43","AXT","30 June 2016","1 Month","0.08"
"44","AXT","30 June 2016","1 Week","0.06"
"45","AXT","30 June 2016","1 Year","0.12"
"46","AXT","30 June 2016","1 Year","0.03"
"47","AXT","30 June 2016","3 Months","0.08"
"48","AXT","30 June 2016","3 Months","0.09"
"49","AXT","30 June 2016","3 Years","0.02"
"50","AXT","30 June 2016","3 Years","0.12"
"51","AXT","30 June 2016","5 Years","0.12"
"52","AXT","30 June 2016","5 Years","0.04"
"53","AXT","30 June 2016","6 Months","0.09"
"54","AXT","30 June 2016","6 Months","0.07"
"55","AXT","30 June 2016","Period †","High"
"56","AXT","30 June 2016","Period †","Open"
"57","AXT","30 June 2016","","1 year"
