"","ticker","date","variable","value"
"1","AZS","30 June 2015","Address","Level 1, 30 Richardson Street, 6005"
"2","AZS","30 June 2015","City/Country:","West Perth, Australia"
"3","AZS","30 June 2015","Company sector name:","Basic Materials"
"4","AZS","30 June 2015","End of fiscal year:","30 June 2015"
"5","AZS","30 June 2015","Industry group name","Metals & Mining"
"6","AZS","30 June 2015","Industry name:","Copper"
"7","AZS","30 June 2015","Web address:","http://www.azureminerals.com.au"
"8","AZS","30 June 2015","Assets Turnover","-"
"9","AZS","30 June 2015","AZS KEY FIGURES (at previous day's close)",NA
"10","AZS","30 June 2015","Book-Value pS","-"
"11","AZS","30 June 2015","Cash Flow pS","-"
"12","AZS","30 June 2015","Cash pS","-"
"13","AZS","30 June 2015","Current Ratio","8.62"
"14","AZS","30 June 2015","Dividend pS (DPS)","-"
"15","AZS","30 June 2015","Dividend Yield","-"
"16","AZS","30 June 2015","Domestic Sales","-"
"17","AZS","30 June 2015","Earnings pS (EPS)","-"
"18","AZS","30 June 2015","EBITDA Margin","-"
"19","AZS","30 June 2015","Effective Tax Rate","-"
"20","AZS","30 June 2015","Foreign Sales","-"
"21","AZS","30 June 2015","Free Cash Flow pS","-"
"22","AZS","30 June 2015","Gross gearing","-"
"23","AZS","30 June 2015","Gross Profit Margin","-"
"24","AZS","30 June 2015","Interest Cover","-"
"25","AZS","30 June 2015","Latest Shares Outstanding","1,672.25"
"26","AZS","30 June 2015","Leverage Ratio (Assets/Equity)","1.05"
"27","AZS","30 June 2015","LT Debt/Total Capital","-"
"28","AZS","30 June 2015","Market Capitalisation","55.18"
"29","AZS","30 June 2015","Net Debt","-"
"30","AZS","30 June 2015","PE Ratio","-"
"31","AZS","30 June 2015","Pre-Tax Profit Margin","-"
"32","AZS","30 June 2015","Research & Devlopment (R&D) as ...","-"
"33","AZS","30 June 2015","Return on Assets (ROA)","-0.17"
"34","AZS","30 June 2015","Return on Capital Invested (ROC...","-0.21"
"35","AZS","30 June 2015","Return on Equity (ROE)","-0.18"
"36","AZS","30 June 2015","Sales per Employee","-"
"37","AZS","30 June 2015","Selling, General & Adm/tive (SG...","-"
"38","AZS","30 June 2015","Spread","0.00"
"39","AZS","30 June 2015","Tangible Book-Value pS","-"
"40","AZS","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
"41","AZS","30 June 2015","Working Capital pS","-"
