"","ticker","date","variable","value"
"1","BGL","30 June 2016","Address","Level 1, 59 Buckingham Street, 2010"
"2","BGL","30 June 2016","City/Country:","Surry Hills, Australia"
"3","BGL","30 June 2016","Company sector name:","Communication Services"
"4","BGL","30 June 2016","End of fiscal year:","30 June 2016"
"5","BGL","30 June 2016","Industry group name","Communication Services"
"6","BGL","30 June 2016","Industry name:","Telecom Services"
"7","BGL","30 June 2016","Web address:","http://www.bigair.com.au"
"8","BGL","30 June 2016","Assets Turnover","-"
"9","BGL","30 June 2016","BGL KEY FIGURES (at previous day's close)",NA
"10","BGL","30 June 2016","Book-Value pS","-"
"11","BGL","30 June 2016","Cash Flow pS","-"
"12","BGL","30 June 2016","Cash pS","-"
"13","BGL","30 June 2016","Current Ratio","0.69"
"14","BGL","30 June 2016","Dividend pS (DPS)","-"
"15","BGL","30 June 2016","Dividend Yield","-"
"16","BGL","30 June 2016","Domestic Sales","-"
"17","BGL","30 June 2016","Earnings pS (EPS)","-"
"18","BGL","30 June 2016","EBITDA Margin","-"
"19","BGL","30 June 2016","Effective Tax Rate","-"
"20","BGL","30 June 2016","Foreign Sales","-"
"21","BGL","30 June 2016","Free Cash Flow pS","-"
"22","BGL","30 June 2016","Gross gearing","-"
"23","BGL","30 June 2016","Gross Profit Margin","-"
"24","BGL","30 June 2016","Interest Cover","-"
"25","BGL","30 June 2016","Latest Shares Outstanding","183.02"
"26","BGL","30 June 2016","Leverage Ratio (Assets/Equity)","1.82"
"27","BGL","30 June 2016","LT Debt/Total Capital","0.31"
"28","BGL","30 June 2016","Market Capitalisation","196.75"
"29","BGL","30 June 2016","Net Debt","-"
"30","BGL","30 June 2016","PE Ratio","-"
"31","BGL","30 June 2016","Pre-Tax Profit Margin","-"
"32","BGL","30 June 2016","Research & Devlopment (R&D) as ...","-"
"33","BGL","30 June 2016","Return on Assets (ROA)","0.11"
"34","BGL","30 June 2016","Return on Capital Invested (ROC...","0.15"
"35","BGL","30 June 2016","Return on Equity (ROE)","0.20"
"36","BGL","30 June 2016","Sales per Employee","-"
"37","BGL","30 June 2016","Selling, General & Adm/tive (SG...","-"
"38","BGL","30 June 2016","Spread","0.03"
"39","BGL","30 June 2016","Tangible Book-Value pS","-"
"40","BGL","30 June 2016","Total Debt/Equity (Gearing Rati...","0.53"
"41","BGL","30 June 2016","Working Capital pS","-"
"42","BGL","30 June 2016","Yesterday's Close","1.08"
"43","BGL","30 June 2016","1 Month","1.10"
"44","BGL","30 June 2016","1 Month","0.78"
"45","BGL","30 June 2016","1 Week","1.10"
"46","BGL","30 June 2016","1 Week","1.04"
"47","BGL","30 June 2016","1 Year","1.10"
"48","BGL","30 June 2016","1 Year","0.86"
"49","BGL","30 June 2016","3 Months","1.10"
"50","BGL","30 June 2016","3 Months","0.68"
"51","BGL","30 June 2016","3 Years","1.10"
"52","BGL","30 June 2016","3 Years","0.84"
"53","BGL","30 June 2016","5 Years","1.10"
"54","BGL","30 June 2016","5 Years","0.27"
"55","BGL","30 June 2016","6 Months","1.10"
"56","BGL","30 June 2016","6 Months","0.68"
"57","BGL","30 June 2016","Period †","High"
"58","BGL","30 June 2016","Period †","Open"
"59","BGL","30 June 2016","","1 year"
