"","ticker","date","variable","value"
"1","BGS","30 June 2015","Auditor:","Grant Thornton"
"2","BGS","30 June 2015","Doing business in:","Australia (AU)"
"3","BGS","30 June 2015","End of fiscal year:","30 June 2015"
"4","BGS","30 June 2015","Fax:","+61 892262027"
"5","BGS","30 June 2015","Place of incorporation:","Australia (AU)"
"6","BGS","30 June 2015","Tel.:","+61 892863045"
"7","BGS","30 June 2015","Trading currency:","AUD"
"8","BGS","30 June 2015","Assets Turnover","-"
"9","BGS","30 June 2015","BGS KEY FIGURES (at previous day's close)",NA
"10","BGS","30 June 2015","Book-Value pS","-"
"11","BGS","30 June 2015","Cash Flow pS","-"
"12","BGS","30 June 2015","Cash pS","-"
"13","BGS","30 June 2015","Current Ratio","3.38"
"14","BGS","30 June 2015","Dividend pS (DPS)","-"
"15","BGS","30 June 2015","Dividend Yield","-"
"16","BGS","30 June 2015","Domestic Sales","-"
"17","BGS","30 June 2015","Earnings pS (EPS)","-"
"18","BGS","30 June 2015","EBITDA Margin","-"
"19","BGS","30 June 2015","Effective Tax Rate","-"
"20","BGS","30 June 2015","Foreign Sales","-"
"21","BGS","30 June 2015","Free Cash Flow pS","-"
"22","BGS","30 June 2015","Gross gearing","-"
"23","BGS","30 June 2015","Gross Profit Margin","-"
"24","BGS","30 June 2015","Interest Cover","-"
"25","BGS","30 June 2015","Latest Shares Outstanding","178.20"
"26","BGS","30 June 2015","Leverage Ratio (Assets/Equity)","1.09"
"27","BGS","30 June 2015","LT Debt/Total Capital","-"
"28","BGS","30 June 2015","Market Capitalisation","87.67"
"29","BGS","30 June 2015","Net Debt","-"
"30","BGS","30 June 2015","PE Ratio","-"
"31","BGS","30 June 2015","Pre-Tax Profit Margin","-"
"32","BGS","30 June 2015","Research & Devlopment (R&D) as ...","-"
"33","BGS","30 June 2015","Return on Assets (ROA)","-0.94"
"34","BGS","30 June 2015","Return on Capital Invested (ROC...","-1.01"
"35","BGS","30 June 2015","Return on Equity (ROE)","-1.01"
"36","BGS","30 June 2015","Sales per Employee","-"
"37","BGS","30 June 2015","Selling, General & Adm/tive (SG...","-"
"38","BGS","30 June 2015","Spread","0.01"
"39","BGS","30 June 2015","Tangible Book-Value pS","-"
"40","BGS","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
"41","BGS","30 June 2015","Working Capital pS","-"
"42","BGS","30 June 2015","Yesterday's Close","0.49"
"43","BGS","30 June 2015","1 Month","0.53"
"44","BGS","30 June 2015","1 Month","0.30"
"45","BGS","30 June 2015","1 Week","0.53"
"46","BGS","30 June 2015","1 Week","0.39"
"47","BGS","30 June 2015","1 Year","0.01"
"48","BGS","30 June 2015","1 Year","0.53"
"49","BGS","30 June 2015","3 Months","0.53"
"50","BGS","30 June 2015","3 Months","0.31"
"51","BGS","30 June 2015","3 Years","0.53"
"52","BGS","30 June 2015","3 Years","0.02"
"53","BGS","30 June 2015","5 Years","0.53"
"54","BGS","30 June 2015","5 Years","0.04"
"55","BGS","30 June 2015","6 Months","0.53"
"56","BGS","30 June 2015","6 Months","0.14"
"57","BGS","30 June 2015","Period †","High"
"58","BGS","30 June 2015","Period †","Open"
"59","BGS","30 June 2015","","1 year"
"60","BGS","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"61","BGS","30 June 2015","BGS Growth Ratios (30 June 2015)",NA
"62","BGS","30 June 2015","CFO growth","-"
"63","BGS","30 June 2015","Diluted continuous EPS growth","-"
"64","BGS","30 June 2015","Diluted EPS growth","-"
"65","BGS","30 June 2015","Dividend growth","-"
"66","BGS","30 June 2015","Equity per share growth","-0.59"
"67","BGS","30 June 2015","FCF growth","-"
"68","BGS","30 June 2015","Net income cont growth","-"
"69","BGS","30 June 2015","Net income growth","-"
"70","BGS","30 June 2015","Operating income growth","-"
"71","BGS","30 June 2015","Operating revenue growth","0.00"
"72","BGS","30 June 2015","Revenue growth","0.00"
"73","BGS","30 June 2015","Assets turnover","-"
"74","BGS","30 June 2015","BGS Efficency Ratios (30 June 2015)",NA
"75","BGS","30 June 2015","Capital expenditure sales ratio","-"
"76","BGS","30 June 2015","Cash conversion cycle","-"
"77","BGS","30 June 2015","Days in inventory","-"
"78","BGS","30 June 2015","Days in payment","-"
"79","BGS","30 June 2015","Days in sales","-"
"80","BGS","30 June 2015","FCF net income ratio","-"
"81","BGS","30 June 2015","FCF sales ratio","-"
"82","BGS","30 June 2015","Fixed assets turnover","-"
"83","BGS","30 June 2015","Inventory turnover","-"
"84","BGS","30 June 2015","Payable turnover","-"
"85","BGS","30 June 2015","Receivable turnover","-"
"86","BGS","30 June 2015","ROA","-0.94"
"87","BGS","30 June 2015","ROE","-1.01"
"88","BGS","30 June 2015","ROIC","-1.01"
"89","BGS","30 June 2015","BGS Financial Health Ratios (30 June 2015)",NA
"90","BGS","30 June 2015","Current ratio","3.38"
"91","BGS","30 June 2015","Debt equity ratio","-"
"92","BGS","30 June 2015","Debt total capital ratio","-"
"93","BGS","30 June 2015","Financial leverage","1.09"
"94","BGS","30 June 2015","Quick ratio","3.33"
"95","BGS","30 June 2015","Total debt to equity","-"
"96","BGS","30 June 2015","Avg gross margin","-"
"97","BGS","30 June 2015","Avg net profit","-"
"98","BGS","30 June 2015","Avg post tax margin","-"
"99","BGS","30 June 2015","Avg pre tax marginr","-"
"100","BGS","30 June 2015","Avg ret assets","-0.35"
"101","BGS","30 June 2015","Avg ret commonr","-0.38"
"102","BGS","30 June 2015","Avg ret invested capital","-0.39"
"103","BGS","30 June 2015","BGS Avearge Growth Ratios Over 5 Years (30 June 2015)",NA
"104","BGS","30 June 2015","Growth ann capital spending","0.27"
"105","BGS","30 June 2015","Growth ann gross profit","-"
"106","BGS","30 June 2015","BGS Profitability Ratios (-)",NA
"107","BGS","30 June 2015","EBIT margin","-"
"108","BGS","30 June 2015","EBITDA margin","-"
"109","BGS","30 June 2015","EBT margin","-"
"110","BGS","30 June 2015","Gross margin","-"
"111","BGS","30 June 2015","Inc per employee tot ops","-"
"112","BGS","30 June 2015","Interest coverage","-"
"113","BGS","30 June 2015","Net margin","-"
"114","BGS","30 June 2015","Normalized net profit margin","-"
"115","BGS","30 June 2015","Operating margin","-"
"116","BGS","30 June 2015","Sales per employee","-"
"117","BGS","30 June 2015","Tax rate","-"
"118","BGS","30 June 2015","BGS Valuation Ratios (30 June 2015)",NA
"119","BGS","30 June 2015","Book value per share","0.09"
"120","BGS","30 June 2015","Cash return","-0.50"
"121","BGS","30 June 2015","CF per share","-0.01"
"122","BGS","30 June 2015","Div payout 5 year","-"
"123","BGS","30 June 2015","Div payout tot ops","-"
"124","BGS","30 June 2015","Div rate","-"
"125","BGS","30 June 2015","Dividend yield","-"
"126","BGS","30 June 2015","Growth ann sales per share 5 ye...","-"
"127","BGS","30 June 2015","Payout ratio","0.00"
"128","BGS","30 June 2015","Price to book","0.71"
"129","BGS","30 June 2015","Price to cash flow","-10.26"
"130","BGS","30 June 2015","Price to EPS","-2.85"
"131","BGS","30 June 2015","Price to free cash flow","-2.34"
"132","BGS","30 June 2015","Price to sales","-"
"133","BGS","30 June 2015","Ratio PE 5 year high","-83.55"
"134","BGS","30 June 2015","Ratio PE 5 year low","-1.78"
"135","BGS","30 June 2015","Sales per share","0.00"
"136","BGS","30 June 2015","Sustainable growth rate","-0.20"
"137","BGS","30 June 2015","FTSE",NA
"138","BGS","30 June 2015","FTSE 100",NA
"139","BGS","30 June 2015","FX",NA
"140","BGS","30 June 2015","GBPUSD",NA
"141","BGS","30 June 2015","GKP",NA
"142","BGS","30 June 2015","Gulf Keyst..",NA
"143","BGS","30 June 2015","IOF",NA
"144","BGS","30 June 2015","Iofina",NA
"145","BGS","30 June 2015","LSE",NA
"146","BGS","30 June 2015","LSE",NA
"147","BGS","30 June 2015","LSE",NA
"148","BGS","30 June 2015","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"149","BGS","30 June 2015","QPP",NA
"150","BGS","30 June 2015","Quindell",NA
"151","BGS","30 June 2015","UK Sterlin..",NA
"152","BGS","30 June 2015","UKX",NA
