"","ticker","date","variable","value"
"1","BHP","30 June 2016","Address","171 Collins Street  BHP Billiton Centre, 3000"
"2","BHP","30 June 2016","Auditor:","KPMG"
"3","BHP","30 June 2016","City/Country:","Melbourne, Australia"
"4","BHP","30 June 2016","Company sector name:","Basic Materials"
"5","BHP","30 June 2016","End of fiscal year:","30 June 2016"
"6","BHP","30 June 2016","Industry group name","Metals & Mining"
"7","BHP","30 June 2016","Industry name:","Industrial Metals & Minerals"
"8","BHP","30 June 2016","Web address:","http://www.bhpbilliton.com"
"9","BHP","30 June 2016","Assets Turnover","-"
"10","BHP","30 June 2016","BHP KEY FIGURES (at previous day's close)",NA
"11","BHP","30 June 2016","Book-Value pS","-"
"12","BHP","30 June 2016","Cash Flow pS","-"
"13","BHP","30 June 2016","Cash pS","-"
"14","BHP","30 June 2016","Current Ratio","1.44"
"15","BHP","30 June 2016","Dividend pS (DPS)","-"
"16","BHP","30 June 2016","Dividend Yield","-"
"17","BHP","30 June 2016","Domestic Sales","-"
"18","BHP","30 June 2016","Domestic Sales","2,205.00"
"19","BHP","30 June 2016","Earnings pS (EPS)","-"
"20","BHP","30 June 2016","EBITDA Margin","-"
"21","BHP","30 June 2016","Effective Tax Rate","-"
"22","BHP","30 June 2016","Foreign Sales","-"
"23","BHP","30 June 2016","Foreign Sales","42,431.00"
"24","BHP","30 June 2016","Free Cash Flow pS","-"
"25","BHP","30 June 2016","Gross gearing","-"
"26","BHP","30 June 2016","Gross Profit Margin","-"
"27","BHP","30 June 2016","Interest Cover","-"
"28","BHP","30 June 2016","Latest Shares Outstanding","5,322.44"
"29","BHP","30 June 2016","Leverage Ratio (Assets/Equity)","2.19"
"30","BHP","30 June 2016","LT Debt/Total Capital","0.37"
"31","BHP","30 June 2016","Market Capitalisation","114,805.09"
"32","BHP","30 June 2016","Net Debt","-"
"33","BHP","30 June 2016","PE Ratio","-"
"34","BHP","30 June 2016","Pre-Tax Profit Margin","-"
"35","BHP","30 June 2016","Research & Devlopment (R&D) as ...","-"
"36","BHP","30 June 2016","Return on Assets (ROA)","-0.05"
"37","BHP","30 June 2016","Return on Capital Invested (ROC...","-0.06"
"38","BHP","30 June 2016","Return on Equity (ROE)","-0.11"
"39","BHP","30 June 2016","Sales per Employee","-"
"40","BHP","30 June 2016","Selling, General & Adm/tive (SG...","-"
"41","BHP","30 June 2016","Spread","0.02"
"42","BHP","30 June 2016","Tangible Book-Value pS","-"
"43","BHP","30 June 2016","Total Debt/Equity (Gearing Rati...","0.67"
"44","BHP","30 June 2016","Working Capital pS","-"
"45","BHP","30 June 2016","Yesterday's Close","21.57"
"46","BHP","30 June 2016","1 Month","21.67"
"47","BHP","30 June 2016","1 Month","21.20"
"48","BHP","30 June 2016","1 Week","21.67"
"49","BHP","30 June 2016","1 Week","20.28"
"50","BHP","30 June 2016","1 Year","25.77"
"51","BHP","30 June 2016","1 Year","22.00"
"52","BHP","30 June 2016","3 Months","21.67"
"53","BHP","30 June 2016","3 Months","19.57"
"54","BHP","30 June 2016","3 Years","39.79"
"55","BHP","30 June 2016","3 Years","35.67"
"56","BHP","30 June 2016","5 Years","39.79"
"57","BHP","30 June 2016","5 Years","33.94"
"58","BHP","30 June 2016","6 Months","21.67"
"59","BHP","30 June 2016","6 Months","17.01"
"60","BHP","30 June 2016","Period †","High"
"61","BHP","30 June 2016","Period †","Open"
"62","BHP","30 June 2016","","1 year"
"63","BHP","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
