"","ticker","date","variable","value"
"1","BKP","30 June 2015","Address","Shop 12 South Shore Piazza  85 South Perth Esplanade, 6151"
"2","BKP","30 June 2015","Auditor:","Rothsay Chartered Accountants"
"3","BKP","30 June 2015","City/Country:","South Perth, Australia"
"4","BKP","30 June 2015","Company sector name:","Energy"
"5","BKP","30 June 2015","End of fiscal year:","30 June 2015"
"6","BKP","30 June 2015","Industry group name","Oil & Gas - E&P"
"7","BKP","30 June 2015","Industry name:","Oil & Gas E&P"
"8","BKP","30 June 2015","Web address:","http://www.barakapetroleum.com"
"9","BKP","30 June 2015","Assets Turnover","-"
"10","BKP","30 June 2015","BKP KEY FIGURES (at previous day's close)",NA
"11","BKP","30 June 2015","Book-Value pS","0.01"
"12","BKP","30 June 2015","Cash Flow pS","0.00"
"13","BKP","30 June 2015","Cash pS","0.00"
"14","BKP","30 June 2015","Current Ratio","81.12"
"15","BKP","30 June 2015","Dividend pS (DPS)","-"
"16","BKP","30 June 2015","Dividend Yield","-"
"17","BKP","30 June 2015","Domestic Sales","-"
"18","BKP","30 June 2015","Earnings pS (EPS)","0.00"
"19","BKP","30 June 2015","EBITDA Margin","-"
"20","BKP","30 June 2015","Effective Tax Rate","-"
"21","BKP","30 June 2015","Foreign Sales","-"
"22","BKP","30 June 2015","Free Cash Flow pS","0.00"
"23","BKP","30 June 2015","Gross gearing","0.55"
"24","BKP","30 June 2015","Gross Profit Margin","-"
"25","BKP","30 June 2015","Interest Cover","98.85"
"26","BKP","30 June 2015","Latest Shares Outstanding","2,225.34"
"27","BKP","30 June 2015","Leverage Ratio (Assets/Equity)","1.01"
"28","BKP","30 June 2015","LT Debt/Total Capital","-"
"29","BKP","30 June 2015","Market Capitalisation","2.23"
"30","BKP","30 June 2015","Net Debt","-0.27"
"31","BKP","30 June 2015","PE Ratio","3.33"
"32","BKP","30 June 2015","Pre-Tax Profit Margin","-"
"33","BKP","30 June 2015","Research & Devlopment (R&D) as ...","-"
"34","BKP","30 June 2015","Return on Assets (ROA)","0.05"
"35","BKP","30 June 2015","Return on Capital Invested (ROC...","0.03"
"36","BKP","30 June 2015","Return on Equity (ROE)","0.05"
"37","BKP","30 June 2015","Sales per Employee","-"
"38","BKP","30 June 2015","Selling, General & Adm/tive (SG...","-"
"39","BKP","30 June 2015","Spread","0.00"
"40","BKP","30 June 2015","Tangible Book-Value pS","0.00"
"41","BKP","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
"42","BKP","30 June 2015","Working Capital pS","0.01"
"43","BKP","30 June 2015","Yesterday's Close","0.00"
"44","BKP","30 June 2015","1 Month","0.00"
"45","BKP","30 June 2015","1 Week","0.00"
"46","BKP","30 June 2015","1 Year","0.00"
"47","BKP","30 June 2015","3 Months","0.00"
"48","BKP","30 June 2015","3 Years","0.01"
"49","BKP","30 June 2015","5 Years","0.02"
"50","BKP","30 June 2015","6 Months","0.00"
"51","BKP","30 June 2015","Period †","High"
"52","BKP","30 June 2015","Period †","Open"
"53","BKP","30 June 2015","","1 year"
"54","BKP","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"55","BKP","30 June 2015","BKP Growth Ratios (30 June 2015)",NA
"56","BKP","30 June 2015","CFO growth","6.30"
"57","BKP","30 June 2015","Diluted continuous EPS growth","-0.70"
"58","BKP","30 June 2015","Diluted EPS growth","-0.63"
"59","BKP","30 June 2015","Dividend growth","-"
"60","BKP","30 June 2015","Equity per share growth","0.05"
"61","BKP","30 June 2015","FCF growth","-"
"62","BKP","30 June 2015","Net income cont growth","-0.69"
"63","BKP","30 June 2015","Net income growth","-0.69"
"64","BKP","30 June 2015","Operating income growth","-"
"65","BKP","30 June 2015","Operating revenue growth","0.00"
"66","BKP","30 June 2015","Revenue growth","0.00"
"67","BKP","30 June 2015","Basic EPS","0.00"
"68","BKP","30 June 2015","Basic EPS from Continuing Ope...","0.00"
"69","BKP","30 June 2015","Basic EPS from Discontinued O...","0.00"
"70","BKP","30 June 2015","Basic EPS,Continuing and Disc...","0.00"
"71","BKP","30 June 2015","Basic Weighted Average Shares...","2,225.33"
"72","BKP","30 June 2015","BKP Income Statement 30 June 2015 (AUD)",NA
"73","BKP","30 June 2015","Calculated Tax Effect Of Unus...","0.00"
"74","BKP","30 June 2015","Commission Expenses","0.25"
"75","BKP","30 June 2015","Depreciation","61.00"
"76","BKP","30 June 2015","Depreciation and Amortization","61.00"
"77","BKP","30 June 2015","Depreciation,Reconciled","61.00"
"78","BKP","30 June 2015","Diluted EPS","0.00"
"79","BKP","30 June 2015","Diluted EPS from Continuing O...","0.00"
"80","BKP","30 June 2015","Diluted EPS from Discontinued...","0.00"
"81","BKP","30 June 2015","Diluted EPS,Continuing and Di...","0.00"
"82","BKP","30 June 2015","Diluted Weighted Average Shar...","2,225.33"
"83","BKP","30 June 2015","Discontinued Operations","0.00"
"84","BKP","30 June 2015","Earning Before Interest and T...","0.56"
"85","BKP","30 June 2015","Earning Before Interest Tax D...","0.56"
"86","BKP","30 June 2015","Gain on Sale of Property,Plan...","-752.00"
"87","BKP","30 June 2015","General and Administrative Ex...","0.27"
"88","BKP","30 June 2015","Interest and Dividend Income","0.21"
"89","BKP","30 June 2015","Interest Expense","5,676.00"
"90","BKP","30 June 2015","Interest Expense-Non Operatin...","5,676.00"
"91","BKP","30 June 2015","Interest Income-Non Operating","0.21"
"92","BKP","30 June 2015","Interest Income/Expense,Net-N...","0.21"
"93","BKP","30 June 2015","Minority Interest","0.00"
"94","BKP","30 June 2015","Net Income","0.56"
"95","BKP","30 June 2015","Net Income Available to Commo...","0.56"
"96","BKP","30 June 2015","Net Income from Continuing an...","0.56"
"97","BKP","30 June 2015","Net Income from Continuing Op...","0.56"
"98","BKP","30 June 2015","Net Income from Continuing Op...","0.56"
"99","BKP","30 June 2015","Net Income Including Noncontr...","0.56"
"100","BKP","30 June 2015","Net Interest Income","0.21"
"101","BKP","30 June 2015","Non Operating Expense","0.21"
"102","BKP","30 June 2015","Non Operating Income","0.93"
"103","BKP","30 June 2015","Normalized Basic EPS","-0.00"
"104","BKP","30 June 2015","Normalized Diluted EPS","-0.00"
"105","BKP","30 June 2015","Normalized Income","-0.37"
"106","BKP","30 June 2015","Operating Expenses","0.58"
"107","BKP","30 June 2015","Operating Income","-0.58"
