"","ticker","date","variable","value"
"1","BLK","30 June 2015","Address","Level 2, 38 Richardson Street  West Perth, 6005"
"2","BLK","30 June 2015","City/Country:","Perth, Australia"
"3","BLK","30 June 2015","Company sector name:","Basic Materials"
"4","BLK","30 June 2015","End of fiscal year:","30 June 2015"
"5","BLK","30 June 2015","Industry group name","Metals & Mining"
"6","BLK","30 June 2015","Industry name:","Gold"
"7","BLK","30 June 2015","Web address:","http://www.blackhamresources.com.au"
"8","BLK","30 June 2015","Assets Turnover","-"
"9","BLK","30 June 2015","BLK KEY FIGURES (at previous day's close)",NA
"10","BLK","30 June 2015","Book-Value pS","-"
"11","BLK","30 June 2015","Cash Flow pS","-"
"12","BLK","30 June 2015","Cash pS","-"
"13","BLK","30 June 2015","Current Ratio","7.81"
"14","BLK","30 June 2015","Dividend pS (DPS)","-"
"15","BLK","30 June 2015","Dividend Yield","-"
"16","BLK","30 June 2015","Domestic Sales","-"
"17","BLK","30 June 2015","Earnings pS (EPS)","-"
"18","BLK","30 June 2015","EBITDA Margin","-"
"19","BLK","30 June 2015","Effective Tax Rate","-"
"20","BLK","30 June 2015","Foreign Sales","-"
"21","BLK","30 June 2015","Free Cash Flow pS","-"
"22","BLK","30 June 2015","Gross gearing","-"
"23","BLK","30 June 2015","Gross Profit Margin","-"
"24","BLK","30 June 2015","Interest Cover","-"
"25","BLK","30 June 2015","Latest Shares Outstanding","282.14"
"26","BLK","30 June 2015","Leverage Ratio (Assets/Equity)","2.50"
"27","BLK","30 June 2015","LT Debt/Total Capital","0.25"
"28","BLK","30 June 2015","Market Capitalisation","239.82"
"29","BLK","30 June 2015","Net Debt","-"
"30","BLK","30 June 2015","PE Ratio","-"
"31","BLK","30 June 2015","Pre-Tax Profit Margin","-"
"32","BLK","30 June 2015","Research & Devlopment (R&D) as ...","-"
"33","BLK","30 June 2015","Return on Assets (ROA)","-0.12"
"34","BLK","30 June 2015","Return on Capital Invested (ROC...","-0.18"
"35","BLK","30 June 2015","Return on Equity (ROE)","-0.29"
"36","BLK","30 June 2015","Sales per Employee","-"
"37","BLK","30 June 2015","Selling, General & Adm/tive (SG...","-"
"38","BLK","30 June 2015","Spread","0.01"
"39","BLK","30 June 2015","Tangible Book-Value pS","-"
"40","BLK","30 June 2015","Total Debt/Equity (Gearing Rati...","0.34"
"41","BLK","30 June 2015","Working Capital pS","-"
"42","BLK","30 June 2015","Yesterday's Close","0.85"
"43","BLK","30 June 2015","1 Month","0.91"
"44","BLK","30 June 2015","1 Month","0.83"
"45","BLK","30 June 2015","1 Week","0.91"
"46","BLK","30 June 2015","1 Week","0.81"
"47","BLK","30 June 2015","1 Year","1.18"
"48","BLK","30 June 2015","1 Year","0.19"
"49","BLK","30 June 2015","3 Months","1.18"
"50","BLK","30 June 2015","3 Months","0.83"
"51","BLK","30 June 2015","3 Years","1.18"
"52","BLK","30 June 2015","3 Years","0.20"
"53","BLK","30 June 2015","5 Years","1.18"
"54","BLK","30 June 2015","5 Years","0.24"
"55","BLK","30 June 2015","6 Months","1.18"
"56","BLK","30 June 2015","6 Months","0.40"
"57","BLK","30 June 2015","Period †","High"
"58","BLK","30 June 2015","Period †","Open"
"59","BLK","30 June 2015","","1 year"
"60","BLK","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"61","BLK","30 June 2015","BLK Growth Ratios (30 June 2015)",NA
"62","BLK","30 June 2015","CFO growth","-"
"63","BLK","30 June 2015","Diluted continuous EPS growth","-"
"64","BLK","30 June 2015","Diluted EPS growth","-"
"65","BLK","30 June 2015","Dividend growth","-"
"66","BLK","30 June 2015","Equity per share growth","-0.24"
"67","BLK","30 June 2015","FCF growth","-"
"68","BLK","30 June 2015","Net income cont growth","-"
"69","BLK","30 June 2015","Net income growth","-"
"70","BLK","30 June 2015","Operating income growth","-"
"71","BLK","30 June 2015","Operating revenue growth","0.00"
"72","BLK","30 June 2015","Revenue growth","0.00"
"73","BLK","30 June 2015","Assets turnover","-"
"74","BLK","30 June 2015","BLK Efficency Ratios (30 June 2015)",NA
"75","BLK","30 June 2015","Capital expenditure sales ratio","-"
"76","BLK","30 June 2015","Cash conversion cycle","-"
"77","BLK","30 June 2015","Days in inventory","-"
"78","BLK","30 June 2015","Days in payment","-"
"79","BLK","30 June 2015","Days in sales","-"
"80","BLK","30 June 2015","FCF net income ratio","-"
"81","BLK","30 June 2015","FCF sales ratio","-"
"82","BLK","30 June 2015","Fixed assets turnover","-"
"83","BLK","30 June 2015","Inventory turnover","-"
"84","BLK","30 June 2015","Payable turnover","-"
"85","BLK","30 June 2015","Receivable turnover","-"
"86","BLK","30 June 2015","ROA","-0.12"
"87","BLK","30 June 2015","ROE","-0.29"
"88","BLK","30 June 2015","ROIC","-0.18"
"89","BLK","30 June 2015","BLK Financial Health Ratios (30 June 2015)",NA
"90","BLK","30 June 2015","Current ratio","7.81"
"91","BLK","30 June 2015","Debt equity ratio","0.34"
"92","BLK","30 June 2015","Debt total capital ratio","0.25"
"93","BLK","30 June 2015","Financial leverage","2.50"
"94","BLK","30 June 2015","Quick ratio","7.81"
"95","BLK","30 June 2015","Total debt to equity","0.34"
