"","ticker","date","variable","value"
"1","BSL","30 June 2016","Address","Level 11, 120 Collins Street, 3000"
"2","BSL","30 June 2016","Auditor:","Ernst & Young"
"3","BSL","30 June 2016","City/Country:","Melbourne, Australia"
"4","BSL","30 June 2016","Company sector name:","Basic Materials"
"5","BSL","30 June 2016","End of fiscal year:","30 June 2016"
"6","BSL","30 June 2016","Industry group name","Steel"
"7","BSL","30 June 2016","Industry name:","Steel"
"8","BSL","30 June 2016","Web address:","http://www.bluescopesteel.com"
"9","BSL","30 June 2016","Assets Turnover","-"
"10","BSL","30 June 2016","Book-Value pS","-"
"11","BSL","30 June 2016","BSL KEY FIGURES (at previous day's close)",NA
"12","BSL","30 June 2016","Cash Flow pS","-"
"13","BSL","30 June 2016","Cash pS","-"
"14","BSL","30 June 2016","Current Ratio","1.40"
"15","BSL","30 June 2016","Dividend pS (DPS)","-"
"16","BSL","30 June 2016","Dividend Yield","-"
"17","BSL","30 June 2016","Domestic Sales","-"
"18","BSL","30 June 2016","Earnings pS (EPS)","-"
"19","BSL","30 June 2016","EBITDA Margin","-"
"20","BSL","30 June 2016","Effective Tax Rate","-"
"21","BSL","30 June 2016","Foreign Sales","-"
"22","BSL","30 June 2016","Free Cash Flow pS","-"
"23","BSL","30 June 2016","Gross gearing","-"
"24","BSL","30 June 2016","Gross Profit Margin","-"
"25","BSL","30 June 2016","Interest Cover","-"
"26","BSL","30 June 2016","Latest Shares Outstanding","573.89"
"27","BSL","30 June 2016","Leverage Ratio (Assets/Equity)","2.03"
"28","BSL","30 June 2016","LT Debt/Total Capital","0.20"
"29","BSL","30 June 2016","Market Capitalisation","4,539.50"
"30","BSL","30 June 2016","Net Debt","-"
"31","BSL","30 June 2016","PE Ratio","-"
"32","BSL","30 June 2016","Pre-Tax Profit Margin","-"
"33","BSL","30 June 2016","Research & Devlopment (R&D) as ...","-"
"34","BSL","30 June 2016","Return on Assets (ROA)","0.04"
"35","BSL","30 June 2016","Return on Capital Invested (ROC...","0.08"
"36","BSL","30 June 2016","Return on Equity (ROE)","0.08"
"37","BSL","30 June 2016","Sales per Employee","-"
"38","BSL","30 June 2016","Selling, General & Adm/tive (SG...","-"
"39","BSL","30 June 2016","Spread","0.01"
"40","BSL","30 June 2016","Tangible Book-Value pS","-"
"41","BSL","30 June 2016","Total Debt/Equity (Gearing Rati...","0.30"
"42","BSL","30 June 2016","Working Capital pS","-"
"43","BSL","30 June 2016","Yesterday's Close","7.91"
"44","BSL","30 June 2016","1 Month","8.98"
"45","BSL","30 June 2016","1 Month","8.94"
"46","BSL","30 June 2016","1 Week","7.99"
"47","BSL","30 June 2016","1 Week","7.70"
"48","BSL","30 June 2016","1 Year","9.25"
"49","BSL","30 June 2016","1 Year","3.66"
"50","BSL","30 June 2016","3 Months","9.25"
"51","BSL","30 June 2016","3 Months","6.85"
"52","BSL","30 June 2016","3 Years","9.25"
"53","BSL","30 June 2016","3 Years","4.68"
"54","BSL","30 June 2016","5 Years","9.25"
"55","BSL","30 June 2016","5 Years","0.69"
"56","BSL","30 June 2016","6 Months","9.25"
"57","BSL","30 June 2016","6 Months","6.06"
"58","BSL","30 June 2016","Period †","High"
"59","BSL","30 June 2016","Period †","Open"
"60","BSL","30 June 2016","","1 year"
"61","BSL","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"62","BSL","30 June 2016","BSL Growth Ratios (30 June 2016)",NA
"63","BSL","30 June 2016","CFO growth","0.77"
"64","BSL","30 June 2016","Diluted continuous EPS growth","1.59"
"65","BSL","30 June 2016","Diluted EPS growth","1.55"
"66","BSL","30 June 2016","Dividend growth","1.00"
"67","BSL","30 June 2016","Equity per share growth","0.04"
"68","BSL","30 June 2016","FCF growth","3.15"
"69","BSL","30 June 2016","Net income cont growth","1.64"
"70","BSL","30 June 2016","Net income growth","1.60"
"71","BSL","30 June 2016","Operating income growth","-"
"72","BSL","30 June 2016","Operating revenue growth","0.08"
"73","BSL","30 June 2016","Revenue growth","0.08"
"74","BSL","30 June 2016","Assets turnover","1.08"
"75","BSL","30 June 2016","BSL Efficency Ratios (30 June 2016)",NA
"76","BSL","30 June 2016","Capital expenditure sales ratio","0.03"
"77","BSL","30 June 2016","Cash conversion cycle","63.84"
"78","BSL","30 June 2016","Days in inventory","105.14"
"79","BSL","30 June 2016","Days in payment","85.93"
"80","BSL","30 June 2016","Days in sales","44.63"
"81","BSL","30 June 2016","FCF net income ratio","1.80"
"82","BSL","30 June 2016","FCF sales ratio","0.07"
"83","BSL","30 June 2016","Fixed assets turnover","2.43"
"84","BSL","30 June 2016","Inventory turnover","3.47"
"85","BSL","30 June 2016","Payable turnover","4.25"
"86","BSL","30 June 2016","Receivable turnover","8.18"
"87","BSL","30 June 2016","ROA","0.04"
"88","BSL","30 June 2016","ROE","0.08"
"89","BSL","30 June 2016","ROIC","0.08"
"90","BSL","30 June 2016","BSL Financial Health Ratios (30 June 2016)",NA
"91","BSL","30 June 2016","Current ratio","1.40"
"92","BSL","30 June 2016","Debt equity ratio","0.24"
"93","BSL","30 June 2016","Debt total capital ratio","0.20"
"94","BSL","30 June 2016","Financial leverage","2.03"
"95","BSL","30 June 2016","Quick ratio","0.75"
"96","BSL","30 June 2016","Total debt to equity","0.30"
"97","BSL","30 June 2016","Avg gross margin","0.42"
"98","BSL","30 June 2016","Avg net profit","-0.02"
"99","BSL","30 June 2016","Avg post tax margin","-0.02"
"100","BSL","30 June 2016","Avg pre tax marginr","-0.01"
"101","BSL","30 June 2016","Avg ret assets","-0.02"
"102","BSL","30 June 2016","Avg ret commonr","-0.04"
"103","BSL","30 June 2016","Avg ret invested capital","-0.02"
"104","BSL","30 June 2016","BSL Avearge Growth Ratios Over 5 Years (30 June 2016)",NA
"105","BSL","30 June 2016","Growth ann capital spending","-0.04"
"106","BSL","30 June 2016","Growth ann gross profit","0.04"
"107","BSL","30 June 2016","BSL Profitability Ratios (30 June 2016)",NA
"108","BSL","30 June 2016","EBIT margin","0.07"
"109","BSL","30 June 2016","EBITDA margin","0.11"
"110","BSL","30 June 2016","EBT margin","0.06"
"111","BSL","30 June 2016","Gross margin","0.45"
"112","BSL","30 June 2016","Inc per employee tot ops","-"
"113","BSL","30 June 2016","Interest coverage","5.75"
"114","BSL","30 June 2016","Net margin","0.04"
"115","BSL","30 June 2016","Normalized net profit margin","-0.03"
"116","BSL","30 June 2016","Operating margin","-0.02"
"117","BSL","30 June 2016","Sales per employee","-"
"118","BSL","30 June 2016","Tax rate","0.20"
"119","BSL","30 June 2016","Book value per share","7.48"
"120","BSL","30 June 2016","BSL Valuation Ratios (30 June 2016)",NA
"121","BSL","30 June 2016","Cash return","0.05"
"122","BSL","30 June 2016","CF per share","0.93"
"123","BSL","30 June 2016","Div payout 5 year","-"
"124","BSL","30 June 2016","Div payout tot ops","0.35"
"125","BSL","30 June 2016","Div rate","0.09"
"126","BSL","30 June 2016","Dividend yield","0.01"
"127","BSL","30 June 2016","Growth ann sales per share 5 ye...","-0.10"
"128","BSL","30 June 2016","Payout ratio","0.18"
"129","BSL","30 June 2016","Price to book","0.85"
"130","BSL","30 June 2016","Price to cash flow","6.83"
"131","BSL","30 June 2016","Price to EPS","27.40"
"132","BSL","30 June 2016","Price to free cash flow","23.92"
"133","BSL","30 June 2016","Price to sales","0.43"
"134","BSL","30 June 2016","Ratio PE 5 year high","31.41"
"135","BSL","30 June 2016","Ratio PE 5 year low","6.33"
"136","BSL","30 June 2016","Sales per share","14.75"
"137","BSL","30 June 2016","Sustainable growth rate","0.03"
"138","BSL","30 June 2016","FTSE",NA
"139","BSL","30 June 2016","FTSE 100",NA
"140","BSL","30 June 2016","FX",NA
"141","BSL","30 June 2016","GBPUSD",NA
"142","BSL","30 June 2016","GKP",NA
"143","BSL","30 June 2016","Gulf Keyst..",NA
"144","BSL","30 June 2016","IOF",NA
"145","BSL","30 June 2016","Iofina",NA
"146","BSL","30 June 2016","LSE",NA
"147","BSL","30 June 2016","LSE",NA
"148","BSL","30 June 2016","LSE",NA
"149","BSL","30 June 2016","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"150","BSL","30 June 2016","QPP",NA
"151","BSL","30 June 2016","Quindell",NA
"152","BSL","30 June 2016","UK Sterlin..",NA
"153","BSL","30 June 2016","UKX",NA
