"","ticker","date","variable","value"
"1","BXB","30 June 2016","Address","Level 40, Gateway Building  1 Macquarie Place, 2000"
"2","BXB","30 June 2016","Auditor:","Gould Ralph Assurance"
"3","BXB","30 June 2016","City/Country:","Sydney, Australia"
"4","BXB","30 June 2016","Company sector name:","Industrials"
"5","BXB","30 June 2016","End of fiscal year:","30 June 2016"
"6","BXB","30 June 2016","Industry group name","Business Services"
"7","BXB","30 June 2016","Industry name:","Business Services"
"8","BXB","30 June 2016","Web address:","http://www.brambles.com"
"9","BXB","30 June 2016","Assets Turnover","-"
"10","BXB","30 June 2016","Book-Value pS","-"
"11","BXB","30 June 2016","BXB KEY FIGURES (at previous day's close)",NA
"12","BXB","30 June 2016","Cash Flow pS","-"
"13","BXB","30 June 2016","Cash pS","-"
"14","BXB","30 June 2016","Current Ratio","0.89"
"15","BXB","30 June 2016","Dividend pS (DPS)","-"
"16","BXB","30 June 2016","Dividend Yield","-"
"17","BXB","30 June 2016","Domestic Sales","-"
"18","BXB","30 June 2016","Earnings pS (EPS)","-"
"19","BXB","30 June 2016","EBITDA Margin","-"
"20","BXB","30 June 2016","Effective Tax Rate","-"
"21","BXB","30 June 2016","Foreign Sales","-"
"22","BXB","30 June 2016","Free Cash Flow pS","-"
"23","BXB","30 June 2016","Gross gearing","-"
"24","BXB","30 June 2016","Gross Profit Margin","-"
"25","BXB","30 June 2016","Interest Cover","-"
"26","BXB","30 June 2016","Latest Shares Outstanding","1,586.13"
"27","BXB","30 June 2016","Leverage Ratio (Assets/Equity)","2.67"
"28","BXB","30 June 2016","LT Debt/Total Capital","0.47"
"29","BXB","30 June 2016","Market Capitalisation","19,081.16"
"30","BXB","30 June 2016","Net Debt","-"
"31","BXB","30 June 2016","PE Ratio","-"
"32","BXB","30 June 2016","Pre-Tax Profit Margin","-"
"33","BXB","30 June 2016","Research & Devlopment (R&D) as ...","-"
"34","BXB","30 June 2016","Return on Assets (ROA)","0.08"
"35","BXB","30 June 2016","Return on Capital Invested (ROC...","0.12"
"36","BXB","30 June 2016","Return on Equity (ROE)","0.21"
"37","BXB","30 June 2016","Sales per Employee","-"
"38","BXB","30 June 2016","Selling, General & Adm/tive (SG...","-"
"39","BXB","30 June 2016","Spread","0.02"
"40","BXB","30 June 2016","Tangible Book-Value pS","-"
"41","BXB","30 June 2016","Total Debt/Equity (Gearing Rati...","0.94"
"42","BXB","30 June 2016","Working Capital pS","-"
"43","BXB","30 June 2016","Yesterday's Close","12.03"
"44","BXB","30 June 2016","1 Month","12.59"
"45","BXB","30 June 2016","1 Month","12.57"
"46","BXB","30 June 2016","1 Week","12.16"
"47","BXB","30 June 2016","1 Week","11.78"
"48","BXB","30 June 2016","1 Year","13.64"
"49","BXB","30 June 2016","1 Year","9.83"
"50","BXB","30 June 2016","3 Months","13.64"
"51","BXB","30 June 2016","3 Months","12.46"
"52","BXB","30 June 2016","3 Years","13.64"
"53","BXB","30 June 2016","3 Years","9.26"
"54","BXB","30 June 2016","5 Years","13.64"
"55","BXB","30 June 2016","5 Years","6.30"
"56","BXB","30 June 2016","6 Months","13.64"
"57","BXB","30 June 2016","6 Months","12.30"
"58","BXB","30 June 2016","Period †","High"
"59","BXB","30 June 2016","Period †","Open"
"60","BXB","30 June 2016","","1 year"
"61","BXB","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"62","BXB","30 June 2016","BXB Growth Ratios (30 June 2016)",NA
"63","BXB","30 June 2016","CFO growth","-0.09"
"64","BXB","30 June 2016","Diluted continuous EPS growth","-0.02"
"65","BXB","30 June 2016","Diluted EPS growth","0.04"
"66","BXB","30 June 2016","Dividend growth","0.03"
"67","BXB","30 June 2016","Equity per share growth","0.14"
"68","BXB","30 June 2016","FCF growth","-0.77"
"69","BXB","30 June 2016","Net income cont growth","-0.02"
"70","BXB","30 June 2016","Net income growth","0.04"
"71","BXB","30 June 2016","Operating income growth","0.03"
"72","BXB","30 June 2016","Operating revenue growth","0.05"
"73","BXB","30 June 2016","Revenue growth","0.05"
"74","BXB","30 June 2016","Assets turnover","0.73"
"75","BXB","30 June 2016","BXB Efficency Ratios (30 June 2016)",NA
"76","BXB","30 June 2016","Capital expenditure sales ratio","0.20"
"77","BXB","30 June 2016","Cash conversion cycle","25.75"
"78","BXB","30 June 2016","Days in inventory","10.52"
"79","BXB","30 June 2016","Days in payment","55.99"
"80","BXB","30 June 2016","Days in sales","71.22"
"81","BXB","30 June 2016","FCF net income ratio","0.12"
"82","BXB","30 June 2016","FCF sales ratio","0.01"
"83","BXB","30 June 2016","Fixed assets turnover","1.23"
"84","BXB","30 June 2016","Inventory turnover","34.69"
"85","BXB","30 June 2016","Payable turnover","6.52"
"86","BXB","30 June 2016","Receivable turnover","5.13"
"87","BXB","30 June 2016","ROA","0.08"
"88","BXB","30 June 2016","ROE","0.21"
"89","BXB","30 June 2016","ROIC","0.12"
"90","BXB","30 June 2016","BXB Financial Health Ratios (30 June 2016)",NA
"91","BXB","30 June 2016","Current ratio","0.89"
"92","BXB","30 June 2016","Debt equity ratio","0.87"
"93","BXB","30 June 2016","Debt total capital ratio","0.47"
"94","BXB","30 June 2016","Financial leverage","2.67"
"95","BXB","30 June 2016","Quick ratio","0.80"
"96","BXB","30 June 2016","Total debt to equity","0.94"
"97","BXB","30 June 2016","Avg gross margin","0.51"
"98","BXB","30 June 2016","Avg net profit","0.13"
"99","BXB","30 June 2016","Avg post tax margin","0.13"
"100","BXB","30 June 2016","Avg pre tax marginr","0.15"
"101","BXB","30 June 2016","Avg ret assets","0.10"
"102","BXB","30 June 2016","Avg ret commonr","0.27"
"103","BXB","30 June 2016","Avg ret invested capital","0.15"
"104","BXB","30 June 2016","BXB Avearge Growth Ratios Over 5 Years (30 June 2016)",NA
"105","BXB","30 June 2016","Growth ann capital spending","0.14"
"106","BXB","30 June 2016","Growth ann gross profit","0.08"
"107","BXB","30 June 2016","BXB Profitability Ratios (30 June 2016)",NA
"108","BXB","30 June 2016","EBIT margin","0.17"
"109","BXB","30 June 2016","EBITDA margin","0.27"
"110","BXB","30 June 2016","EBT margin","0.14"
"111","BXB","30 June 2016","Gross margin","0.48"
"112","BXB","30 June 2016","Inc per employee tot ops","54,317.68"
"113","BXB","30 June 2016","Interest coverage","7.07"
"114","BXB","30 June 2016","Net margin","0.11"
"115","BXB","30 June 2016","Normalized net profit margin","0.09"
"116","BXB","30 June 2016","Operating margin","0.15"
"117","BXB","30 June 2016","Sales per employee","511,604.68"
"118","BXB","30 June 2016","Tax rate","0.30"
"119","BXB","30 June 2016","Book value per share","2.17"
"120","BXB","30 June 2016","BXB Valuation Ratios (30 June 2016)",NA
"121","BXB","30 June 2016","Cash return","0.02"
"122","BXB","30 June 2016","CF per share","1.10"
"123","BXB","30 June 2016","Div payout 5 year","0.68"
"124","BXB","30 June 2016","Div payout tot ops","0.66"
"125","BXB","30 June 2016","Div rate","0.32"
"126","BXB","30 June 2016","Dividend yield","0.03"
"127","BXB","30 June 2016","Growth ann sales per share 5 ye...","0.09"
"128","BXB","30 June 2016","Payout ratio","0.64"
"129","BXB","30 June 2016","Price to book","5.71"
"130","BXB","30 June 2016","Price to cash flow","11.30"
"131","BXB","30 June 2016","Price to EPS","25.51"
"132","BXB","30 June 2016","Price to free cash flow","45.87"
"133","BXB","30 June 2016","Price to sales","2.74"
"134","BXB","30 June 2016","Ratio PE 5 year high","27.31"
"135","BXB","30 June 2016","Ratio PE 5 year low","10.81"
"136","BXB","30 June 2016","Sales per share","4.53"
"137","BXB","30 June 2016","Sustainable growth rate","0.09"
"138","BXB","30 June 2016","FTSE",NA
"139","BXB","30 June 2016","FTSE 100",NA
"140","BXB","30 June 2016","FX",NA
"141","BXB","30 June 2016","GBPUSD",NA
"142","BXB","30 June 2016","GKP",NA
"143","BXB","30 June 2016","Gulf Keyst..",NA
"144","BXB","30 June 2016","IOF",NA
"145","BXB","30 June 2016","Iofina",NA
"146","BXB","30 June 2016","LSE",NA
"147","BXB","30 June 2016","LSE",NA
"148","BXB","30 June 2016","LSE",NA
"149","BXB","30 June 2016","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"150","BXB","30 June 2016","QPP",NA
"151","BXB","30 June 2016","Quindell",NA
"152","BXB","30 June 2016","UK Sterlin..",NA
"153","BXB","30 June 2016","UKX",NA
