"","ticker","date","variable","value"
"1","CDV","30 June 2015","Address","Level 1, 115 Cambridge Street  West Leederville, 6007"
"2","CDV","30 June 2015","City/Country:","Perth, Australia"
"3","CDV","30 June 2015","Company sector name:","Basic Materials"
"4","CDV","30 June 2015","End of fiscal year:","30 June 2015"
"5","CDV","30 June 2015","Industry group name","Metals & Mining"
"6","CDV","30 June 2015","Industry name:","Industrial Metals & Minerals"
"7","CDV","30 June 2015","Web address:","http://www.cardinalresources.com.au"
"8","CDV","30 June 2015","Assets Turnover","-"
"9","CDV","30 June 2015","Book-Value pS","-"
"10","CDV","30 June 2015","Cash Flow pS","-"
"11","CDV","30 June 2015","Cash pS","-"
"12","CDV","30 June 2015","CDV KEY FIGURES (at previous day's close)",NA
"13","CDV","30 June 2015","Current Ratio","2.38"
"14","CDV","30 June 2015","Dividend pS (DPS)","-"
"15","CDV","30 June 2015","Dividend Yield","-"
"16","CDV","30 June 2015","Domestic Sales","-"
"17","CDV","30 June 2015","Earnings pS (EPS)","-"
"18","CDV","30 June 2015","EBITDA Margin","-"
"19","CDV","30 June 2015","Effective Tax Rate","-"
"20","CDV","30 June 2015","Foreign Sales","-"
"21","CDV","30 June 2015","Free Cash Flow pS","-"
"22","CDV","30 June 2015","Gross gearing","-"
"23","CDV","30 June 2015","Gross Profit Margin","-"
"24","CDV","30 June 2015","Interest Cover","-"
"25","CDV","30 June 2015","Latest Shares Outstanding","303.15"
"26","CDV","30 June 2015","Leverage Ratio (Assets/Equity)","1.37"
"27","CDV","30 June 2015","LT Debt/Total Capital","-"
"28","CDV","30 June 2015","Market Capitalisation","212.20"
"29","CDV","30 June 2015","Net Debt","-"
"30","CDV","30 June 2015","PE Ratio","-"
"31","CDV","30 June 2015","Pre-Tax Profit Margin","-"
"32","CDV","30 June 2015","Research & Devlopment (R&D) as ...","-"
"33","CDV","30 June 2015","Return on Assets (ROA)","-1.93"
"34","CDV","30 June 2015","Return on Capital Invested (ROC...","-2.23"
"35","CDV","30 June 2015","Return on Equity (ROE)","-2.23"
