"","ticker","date","variable","value"
"1","COH","30 June 2016","Address","1 University Avenue  Macquarie University, 2109"
"2","COH","30 June 2016","Auditor:","KPMG"
"3","COH","30 June 2016","City/Country:","Sydney, Australia"
"4","COH","30 June 2016","Company sector name:","Healthcare"
"5","COH","30 June 2016","End of fiscal year:","30 June 2016"
"6","COH","30 June 2016","Industry group name","Medical Devices"
"7","COH","30 June 2016","Industry name:","Medical Devices"
"8","COH","30 June 2016","Web address:","http://www.cochlear.com"
"9","COH","30 June 2016","Assets Turnover","-"
"10","COH","30 June 2016","Book-Value pS","-"
"11","COH","30 June 2016","Cash Flow pS","-"
"12","COH","30 June 2016","Cash pS","-"
"13","COH","30 June 2016","COH KEY FIGURES (at previous day's close)",NA
"14","COH","30 June 2016","Current Ratio","2.16"
"15","COH","30 June 2016","Dividend pS (DPS)","-"
"16","COH","30 June 2016","Dividend Yield","-"
"17","COH","30 June 2016","Domestic Sales","-"
"18","COH","30 June 2016","Earnings pS (EPS)","-"
"19","COH","30 June 2016","EBITDA Margin","-"
"20","COH","30 June 2016","Effective Tax Rate","-"
"21","COH","30 June 2016","Foreign Sales","-"
"22","COH","30 June 2016","Free Cash Flow pS","-"
"23","COH","30 June 2016","Gross gearing","-"
"24","COH","30 June 2016","Gross Profit Margin","-"
"25","COH","30 June 2016","Interest Cover","-"
"26","COH","30 June 2016","Latest Shares Outstanding","57.40"
"27","COH","30 June 2016","Leverage Ratio (Assets/Equity)","2.13"
"28","COH","30 June 2016","LT Debt/Total Capital","0.30"
"29","COH","30 June 2016","Market Capitalisation","7,980.15"
"30","COH","30 June 2016","Net Debt","-"
"31","COH","30 June 2016","PE Ratio","-"
"32","COH","30 June 2016","Pre-Tax Profit Margin","-"
"33","COH","30 June 2016","Research & Devlopment (R&D) as ...","-"
"34","COH","30 June 2016","Return on Assets (ROA)","0.21"
"35","COH","30 June 2016","Return on Capital Invested (ROC...","0.32"
"36","COH","30 June 2016","Return on Equity (ROE)","0.47"
"37","COH","30 June 2016","Sales per Employee","-"
"38","COH","30 June 2016","Selling, General & Adm/tive (SG...","-"
"39","COH","30 June 2016","Spread","0.35"
"40","COH","30 June 2016","Tangible Book-Value pS","-"
"41","COH","30 June 2016","Total Debt/Equity (Gearing Rati...","0.43"
"42","COH","30 June 2016","Working Capital pS","-"
"43","COH","30 June 2016","Yesterday's Close","139.02"
"44","COH","30 June 2016","1 Month","143.58"
"45","COH","30 June 2016","1 Month","143.22"
"46","COH","30 June 2016","1 Week","140.61"
"47","COH","30 June 2016","1 Week","137.08"
"48","COH","30 June 2016","1 Year","144.12"
"49","COH","30 June 2016","1 Year","84.57"
"50","COH","30 June 2016","3 Months","144.12"
"51","COH","30 June 2016","3 Months","123.80"
"52","COH","30 June 2016","3 Years","144.12"
"53","COH","30 June 2016","3 Years","60.09"
"54","COH","30 June 2016","5 Years","144.12"
"55","COH","30 June 2016","5 Years","45.99"
"56","COH","30 June 2016","6 Months","144.12"
"57","COH","30 June 2016","6 Months","101.66"
"58","COH","30 June 2016","Period †","High"
"59","COH","30 June 2016","Period †","Open"
"60","COH","30 June 2016","","1 year"
"61","COH","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"62","COH","30 June 2016","CFO growth","-0.02"
"63","COH","30 June 2016","COH Growth Ratios (30 June 2016)",NA
"64","COH","30 June 2016","Diluted continuous EPS growth","0.30"
"65","COH","30 June 2016","Diluted EPS growth","0.30"
"66","COH","30 June 2016","Dividend growth","0.24"
"67","COH","30 June 2016","Equity per share growth","0.26"
"68","COH","30 June 2016","FCF growth","-0.08"
"69","COH","30 June 2016","Net income cont growth","0.30"
"70","COH","30 June 2016","Net income growth","0.30"
"71","COH","30 June 2016","Operating income growth","0.23"
"72","COH","30 June 2016","Operating revenue growth","0.22"
"73","COH","30 June 2016","Revenue growth","0.22"
"74","COH","30 June 2016","Assets turnover","1.24"
"75","COH","30 June 2016","Capital expenditure sales ratio","0.03"
"76","COH","30 June 2016","Cash conversion cycle","134.93"
"77","COH","30 June 2016","COH Efficency Ratios (30 June 2016)",NA
"78","COH","30 June 2016","Days in inventory","164.10"
"79","COH","30 June 2016","Days in payment","115.00"
"80","COH","30 June 2016","Days in sales","85.82"
"81","COH","30 June 2016","FCF net income ratio","0.78"
"82","COH","30 June 2016","FCF sales ratio","0.13"
"83","COH","30 June 2016","Fixed assets turnover","13.48"
"84","COH","30 June 2016","Inventory turnover","2.22"
"85","COH","30 June 2016","Payable turnover","3.17"
"86","COH","30 June 2016","Receivable turnover","4.25"
"87","COH","30 June 2016","ROA","0.21"
"88","COH","30 June 2016","ROE","0.47"
"89","COH","30 June 2016","ROIC","0.32"
"90","COH","30 June 2016","COH Financial Health Ratios (30 June 2016)",NA
"91","COH","30 June 2016","Current ratio","2.16"
"92","COH","30 June 2016","Debt equity ratio","0.42"
"93","COH","30 June 2016","Debt total capital ratio","0.30"
"94","COH","30 June 2016","Financial leverage","2.13"
"95","COH","30 June 2016","Quick ratio","1.47"
"96","COH","30 June 2016","Total debt to equity","0.43"
"97","COH","30 June 2016","Avg gross margin","0.71"
"98","COH","30 June 2016","Avg net profit","0.14"
"99","COH","30 June 2016","Avg post tax margin","0.14"
"100","COH","30 June 2016","Avg pre tax marginr","0.19"
"101","COH","30 June 2016","Avg ret assets","0.15"
"102","COH","30 June 2016","Avg ret commonr","0.33"
"103","COH","30 June 2016","Avg ret invested capital","0.24"
"104","COH","30 June 2016","COH Avearge Growth Ratios Over 5 Years (30 June 2016)",NA
"105","COH","30 June 2016","Growth ann capital spending","-0.16"
"106","COH","30 June 2016","Growth ann gross profit","0.09"
"107","COH","30 June 2016","COH Profitability Ratios (30 June 2016)",NA
"108","COH","30 June 2016","EBIT margin","0.23"
"109","COH","30 June 2016","EBITDA margin","0.26"
"110","COH","30 June 2016","EBT margin","0.22"
"111","COH","30 June 2016","Gross margin","0.70"
"112","COH","30 June 2016","Inc per employee tot ops","64,390.25"
"113","COH","30 June 2016","Interest coverage","29.87"
"114","COH","30 June 2016","Net margin","0.17"
"115","COH","30 June 2016","Normalized net profit margin","0.17"
"116","COH","30 June 2016","Operating margin","0.22"
"117","COH","30 June 2016","Sales per employee","385,327.88"
"118","COH","30 June 2016","Tax rate","0.26"
"119","COH","30 June 2016","Book value per share","6.21"
"120","COH","30 June 2016","Cash return","0.02"
"121","COH","30 June 2016","CF per share","3.30"
"122","COH","30 June 2016","COH Valuation Ratios (30 June 2016)",NA
"123","COH","30 June 2016","Div payout 5 year","1.34"
"124","COH","30 June 2016","Div payout tot ops","1.17"
"125","COH","30 June 2016","Div rate","3.29"
"126","COH","30 June 2016","Dividend yield","0.02"
"127","COH","30 June 2016","Growth ann sales per share 5 ye...","0.05"
"128","COH","30 June 2016","Payout ratio","0.95"
"129","COH","30 June 2016","Price to book","19.53"
"130","COH","30 June 2016","Price to cash flow","36.76"
"131","COH","30 June 2016","Price to EPS","47.62"
"132","COH","30 June 2016","Price to free cash flow","43.29"
"133","COH","30 June 2016","Price to sales","7.50"
"134","COH","30 June 2016","Ratio PE 5 year high","49.04"
"135","COH","30 June 2016","Ratio PE 5 year low","17.70"
"136","COH","30 June 2016","Sales per share","16.17"
"137","COH","30 June 2016","Sustainable growth rate","0.02"
"138","COH","30 June 2016","FTSE",NA
"139","COH","30 June 2016","FTSE 100",NA
"140","COH","30 June 2016","FX",NA
"141","COH","30 June 2016","GBPUSD",NA
"142","COH","30 June 2016","GKP",NA
"143","COH","30 June 2016","Gulf Keyst..",NA
"144","COH","30 June 2016","IOF",NA
"145","COH","30 June 2016","Iofina",NA
"146","COH","30 June 2016","LSE",NA
"147","COH","30 June 2016","LSE",NA
"148","COH","30 June 2016","LSE",NA
"149","COH","30 June 2016","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"150","COH","30 June 2016","QPP",NA
"151","COH","30 June 2016","Quindell",NA
"152","COH","30 June 2016","UK Sterlin..",NA
"153","COH","30 June 2016","UKX",NA
