"","ticker","date","variable","value"
"1","CYU","31 December 2015","Address","Level 8, 320 Adelaide Street  Christies Centre, 4000"
"2","CYU","31 December 2015","City/Country:","Brisbane, Australia"
"3","CYU","31 December 2015","Company sector name:","Basic Materials"
"4","CYU","31 December 2015","End of fiscal year:","31 December 2015"
"5","CYU","31 December 2015","Industry group name","Metals & Mining"
"6","CYU","31 December 2015","Industry name:","Copper"
"7","CYU","31 December 2015","Web address:","http://www.cycal.com.au"
"8","CYU","31 December 2015","Assets Turnover","-"
"9","CYU","31 December 2015","Book-Value pS","0.01"
"10","CYU","31 December 2015","Cash Flow pS","-0.00"
"11","CYU","31 December 2015","Cash pS","0.00"
"12","CYU","31 December 2015","Current Ratio","-"
"13","CYU","31 December 2015","CYU KEY FIGURES (at previous day's close)",NA
"14","CYU","31 December 2015","Dividend pS (DPS)","-"
"15","CYU","31 December 2015","Dividend Yield","-"
"16","CYU","31 December 2015","Domestic Sales","-"
"17","CYU","31 December 2015","Earnings pS (EPS)","-0.02"
"18","CYU","31 December 2015","EBITDA Margin","-"
"19","CYU","31 December 2015","Effective Tax Rate","-"
"20","CYU","31 December 2015","Foreign Sales","-"
"21","CYU","31 December 2015","Free Cash Flow pS","-0.01"
"22","CYU","31 December 2015","Gross gearing","7.54"
"23","CYU","31 December 2015","Gross Profit Margin","-"
"24","CYU","31 December 2015","Interest Cover","-"
"25","CYU","31 December 2015","Latest Shares Outstanding","593.28"
"26","CYU","31 December 2015","Leverage Ratio (Assets/Equity)","-"
"27","CYU","31 December 2015","LT Debt/Total Capital","-"
"28","CYU","31 December 2015","Market Capitalisation","1.89"
"29","CYU","31 December 2015","Net Debt","0.20"
"30","CYU","31 December 2015","PE Ratio","-0.21"
"31","CYU","31 December 2015","Pre-Tax Profit Margin","-"
"32","CYU","31 December 2015","Research & Devlopment (R&D) as ...","-"
"33","CYU","31 December 2015","Return on Assets (ROA)","-"
"34","CYU","31 December 2015","Return on Capital Invested (ROC...","-"
"35","CYU","31 December 2015","Return on Equity (ROE)","-"
"36","CYU","31 December 2015","Sales per Employee","-"
"37","CYU","31 December 2015","Selling, General & Adm/tive (SG...","-"
"38","CYU","31 December 2015","Spread","0.00"
"39","CYU","31 December 2015","Tangible Book-Value pS","0.01"
"40","CYU","31 December 2015","Total Debt/Equity (Gearing Rati...","-"
"41","CYU","31 December 2015","Working Capital pS","0.01"
"42","CYU","31 December 2015","Yesterday's Close","0.00"
"43","CYU","31 December 2015","1 Month","0.01"
"44","CYU","31 December 2015","1 Week","0.01"
"45","CYU","31 December 2015","1 Year","0.04"
"46","CYU","31 December 2015","1 Year","0.02"
"47","CYU","31 December 2015","3 Months","0.01"
"48","CYU","31 December 2015","3 Years","0.05"
"49","CYU","31 December 2015","5 Years","0.24"
"50","CYU","31 December 2015","5 Years","0.17"
"51","CYU","31 December 2015","6 Months","0.01"
"52","CYU","31 December 2015","Period †","High"
"53","CYU","31 December 2015","Period †","Open"
"54","CYU","31 December 2015","","1 year"
"55","CYU","31 December 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"56","CYU","31 December 2015","CFO growth","-"
"57","CYU","31 December 2015","CYU Growth Ratios (-)",NA
"58","CYU","31 December 2015","Diluted continuous EPS growth","-"
"59","CYU","31 December 2015","Diluted EPS growth","-"
"60","CYU","31 December 2015","Dividend growth","-"
"61","CYU","31 December 2015","Equity per share growth","-"
"62","CYU","31 December 2015","FCF growth","-"
"63","CYU","31 December 2015","Net income cont growth","-"
"64","CYU","31 December 2015","Net income growth","-"
"65","CYU","31 December 2015","Operating income growth","-"
"66","CYU","31 December 2015","Operating revenue growth","-"
"67","CYU","31 December 2015","Revenue growth","-"
"68","CYU","31 December 2015","Basic EPS","-0.02"
"69","CYU","31 December 2015","Basic EPS from Continuing Ope...","-0.02"
"70","CYU","31 December 2015","Basic EPS from Discontinued O...","0.00"
"71","CYU","31 December 2015","Basic EPS,Continuing and Disc...","-0.02"
"72","CYU","31 December 2015","Basic Weighted Average Shares...","473.03"
"73","CYU","31 December 2015","Calculated Tax Effect Of Unus...","0.00"
"74","CYU","31 December 2015","CYU Income Statement 30 December 2015 (AUD)",NA
"75","CYU","31 December 2015","Depreciation","0.04"
"76","CYU","31 December 2015","Depreciation and Amortization","0.04"
"77","CYU","31 December 2015","Depreciation,Reconciled","0.04"
"78","CYU","31 December 2015","Diluted EPS","-0.02"
"79","CYU","31 December 2015","Diluted EPS from Continuing O...","-0.02"
"80","CYU","31 December 2015","Diluted EPS from Discontinued...","0.00"
"81","CYU","31 December 2015","Diluted EPS,Continuing and Di...","-0.02"
"82","CYU","31 December 2015","Diluted Weighted Average Shar...","473.03"
"83","CYU","31 December 2015","Discontinued Operations","0.00"
"84","CYU","31 December 2015","Earning Before Interest and T...","-9.17"
"85","CYU","31 December 2015","Earning Before Interest Tax D...","-9.13"
"86","CYU","31 December 2015","Exploration,Development and M...","7.93"
"87","CYU","31 December 2015","General and Administrative Ex...","1.24"
"88","CYU","31 December 2015","Interest and Dividend Income","0.04"
"89","CYU","31 December 2015","Interest Income-Non Operating","0.04"
"90","CYU","31 December 2015","Interest Income/Expense,Net-N...","0.04"
"91","CYU","31 December 2015","Minority Interest","0.00"
"92","CYU","31 December 2015","Net Income","-9.11"
