"","ticker","date","variable","value"
"1","CZL","30 June 2015","Address","2 Centro Avenue  Suite 5, 6008"
"2","CZL","30 June 2015","City/Country:","Subiaco, Australia"
"3","CZL","30 June 2015","Company sector name:","Basic Materials"
"4","CZL","30 June 2015","End of fiscal year:","30 June 2015"
"5","CZL","30 June 2015","Industry group name","Metals & Mining"
"6","CZL","30 June 2015","Industry name:","Industrial Metals & Minerals"
"7","CZL","30 June 2015","Web address:","http://www.nru.com.au"
"8","CZL","30 June 2015","Assets Turnover","-"
"9","CZL","30 June 2015","Book-Value pS","-"
"10","CZL","30 June 2015","Cash Flow pS","-"
"11","CZL","30 June 2015","Cash pS","-"
"12","CZL","30 June 2015","Current Ratio","7.51"
"13","CZL","30 June 2015","CZL KEY FIGURES (at previous day's close)",NA
"14","CZL","30 June 2015","Dividend pS (DPS)","-"
"15","CZL","30 June 2015","Dividend Yield","-"
"16","CZL","30 June 2015","Domestic Sales","-"
"17","CZL","30 June 2015","Earnings pS (EPS)","-"
"18","CZL","30 June 2015","EBITDA Margin","-"
"19","CZL","30 June 2015","Effective Tax Rate","-"
"20","CZL","30 June 2015","Foreign Sales","-"
"21","CZL","30 June 2015","Free Cash Flow pS","-"
"22","CZL","30 June 2015","Gross gearing","-"
"23","CZL","30 June 2015","Gross Profit Margin","-"
"24","CZL","30 June 2015","Interest Cover","-"
"25","CZL","30 June 2015","Latest Shares Outstanding","429.82"
"26","CZL","30 June 2015","Leverage Ratio (Assets/Equity)","1.04"
"27","CZL","30 June 2015","LT Debt/Total Capital","-"
"28","CZL","30 June 2015","Market Capitalisation","16.33"
"29","CZL","30 June 2015","Net Debt","-"
"30","CZL","30 June 2015","PE Ratio","-"
"31","CZL","30 June 2015","Pre-Tax Profit Margin","-"
"32","CZL","30 June 2015","Research & Devlopment (R&D) as ...","-"
"33","CZL","30 June 2015","Return on Assets (ROA)","-0.61"
"34","CZL","30 June 2015","Return on Capital Invested (ROC...","-0.66"
"35","CZL","30 June 2015","Return on Equity (ROE)","-0.67"
"36","CZL","30 June 2015","Sales per Employee","-"
"37","CZL","30 June 2015","Selling, General & Adm/tive (SG...","-"
"38","CZL","30 June 2015","Spread","0.00"
"39","CZL","30 June 2015","Tangible Book-Value pS","-"
"40","CZL","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
