"","ticker","date","variable","value"
"1","DEG","30 June 2015","Address","100 Hay Street  Suite 4, 6008"
"2","DEG","30 June 2015","Auditor:","Butler Settineri (Audit) Pty Ltd"
"3","DEG","30 June 2015","City/Country:","Subiaco, Australia"
"4","DEG","30 June 2015","Company sector name:","Basic Materials"
"5","DEG","30 June 2015","End of fiscal year:","30 June 2015"
"6","DEG","30 June 2015","Industry group name","Metals & Mining"
"7","DEG","30 June 2015","Industry name:","Industrial Metals & Minerals"
"8","DEG","30 June 2015","Web address:","http://www.degreymining.com.au"
"9","DEG","30 June 2015","Assets Turnover","-"
"10","DEG","30 June 2015","Book-Value pS","-"
"11","DEG","30 June 2015","Cash Flow pS","-"
"12","DEG","30 June 2015","Cash pS","-"
"13","DEG","30 June 2015","Current Ratio","3.00"
"14","DEG","30 June 2015","DEG KEY FIGURES (at previous day's close)",NA
"15","DEG","30 June 2015","Dividend pS (DPS)","-"
"16","DEG","30 June 2015","Dividend Yield","-"
"17","DEG","30 June 2015","Domestic Sales","-"
"18","DEG","30 June 2015","Earnings pS (EPS)","-"
"19","DEG","30 June 2015","EBITDA Margin","-"
"20","DEG","30 June 2015","Effective Tax Rate","-"
"21","DEG","30 June 2015","Foreign Sales","-"
"22","DEG","30 June 2015","Free Cash Flow pS","-"
"23","DEG","30 June 2015","Gross gearing","-"
"24","DEG","30 June 2015","Gross Profit Margin","-"
"25","DEG","30 June 2015","Interest Cover","-"
"26","DEG","30 June 2015","Latest Shares Outstanding","2,888.65"
"27","DEG","30 June 2015","Leverage Ratio (Assets/Equity)","1.31"
"28","DEG","30 June 2015","LT Debt/Total Capital","-"
"29","DEG","30 June 2015","Market Capitalisation","8.67"
"30","DEG","30 June 2015","Net Debt","-"
"31","DEG","30 June 2015","PE Ratio","-"
"32","DEG","30 June 2015","Pre-Tax Profit Margin","-"
"33","DEG","30 June 2015","Research & Devlopment (R&D) as ...","-"
"34","DEG","30 June 2015","Return on Assets (ROA)","-0.87"
"35","DEG","30 June 2015","Return on Capital Invested (ROC...","-1.08"
"36","DEG","30 June 2015","Return on Equity (ROE)","-1.07"
"37","DEG","30 June 2015","Sales per Employee","-"
"38","DEG","30 June 2015","Selling, General & Adm/tive (SG...","-"
"39","DEG","30 June 2015","Spread","0.00"
"40","DEG","30 June 2015","Tangible Book-Value pS","-"
"41","DEG","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
"42","DEG","30 June 2015","Working Capital pS","-"
"43","DEG","30 June 2015","Yesterday's Close","0.00"
"44","DEG","30 June 2015","1 Month","0.00"
"45","DEG","30 June 2015","1 Week","0.00"
"46","DEG","30 June 2015","1 Year","0.00"
"47","DEG","30 June 2015","1 Year","0.01"
"48","DEG","30 June 2015","3 Months","0.00"
"49","DEG","30 June 2015","3 Months","0.01"
"50","DEG","30 June 2015","3 Years","0.00"
"51","DEG","30 June 2015","3 Years","0.01"
"52","DEG","30 June 2015","5 Years","0.03"
"53","DEG","30 June 2015","5 Years","0.02"
"54","DEG","30 June 2015","6 Months","0.00"
"55","DEG","30 June 2015","6 Months","0.01"
"56","DEG","30 June 2015","Period †","High"
"57","DEG","30 June 2015","Period †","Open"
"58","DEG","30 June 2015","","1 year"
"59","DEG","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"60","DEG","30 June 2015","CFO growth","-"
"61","DEG","30 June 2015","DEG Growth Ratios (30 June 2015)",NA
"62","DEG","30 June 2015","Diluted continuous EPS growth","-"
"63","DEG","30 June 2015","Diluted EPS growth","-"
"64","DEG","30 June 2015","Dividend growth","-"
"65","DEG","30 June 2015","Equity per share growth","-0.63"
"66","DEG","30 June 2015","FCF growth","-"
"67","DEG","30 June 2015","Net income cont growth","-"
"68","DEG","30 June 2015","Net income growth","-"
"69","DEG","30 June 2015","Operating income growth","-"
"70","DEG","30 June 2015","Operating revenue growth","-0.94"
"71","DEG","30 June 2015","Revenue growth","-0.94"
"72","DEG","30 June 2015","Assets turnover","0.06"
"73","DEG","30 June 2015","Capital expenditure sales ratio","-"
"74","DEG","30 June 2015","Cash conversion cycle","-"
"75","DEG","30 June 2015","Days in inventory","-"
"76","DEG","30 June 2015","Days in payment","-"
"77","DEG","30 June 2015","Days in sales","230.91"
"78","DEG","30 June 2015","DEG Efficency Ratios (30 June 2015)",NA
"79","DEG","30 June 2015","FCF net income ratio","-"
"80","DEG","30 June 2015","FCF sales ratio","-"
"81","DEG","30 June 2015","Fixed assets turnover","0.79"
"82","DEG","30 June 2015","Inventory turnover","-"
"83","DEG","30 June 2015","Payable turnover","-"
