"","ticker","date","variable","value"
"1","DMP","30 June 2016","Address","485 Kingsford Smith Drive  Level 5, KSD1, 4007"
"2","DMP","30 June 2016","Auditor:","Deloitte Touche Tohmatsu"
"3","DMP","30 June 2016","City/Country:","Brisbane, Australia"
"4","DMP","30 June 2016","Company sector name:","Consumer Cyclical"
"5","DMP","30 June 2016","End of fiscal year:","30 June 2016"
"6","DMP","30 June 2016","Industry group name","Restaurants"
"7","DMP","30 June 2016","Industry name:","Restaurants"
"8","DMP","30 June 2016","Web address:","http://www.dominos.com.au"
"9","DMP","30 June 2016","Assets Turnover","-"
"10","DMP","30 June 2016","Book-Value pS","-"
"11","DMP","30 June 2016","Cash Flow pS","-"
"12","DMP","30 June 2016","Cash pS","-"
"13","DMP","30 June 2016","Current Ratio","0.70"
"14","DMP","30 June 2016","Dividend pS (DPS)","-"
"15","DMP","30 June 2016","Dividend Yield","-"
"16","DMP","30 June 2016","DMP KEY FIGURES (at previous day's close)",NA
"17","DMP","30 June 2016","Domestic Sales","-"
"18","DMP","30 June 2016","Earnings pS (EPS)","-"
"19","DMP","30 June 2016","EBITDA Margin","-"
"20","DMP","30 June 2016","Effective Tax Rate","-"
"21","DMP","30 June 2016","Foreign Sales","-"
"22","DMP","30 June 2016","Free Cash Flow pS","-"
"23","DMP","30 June 2016","Gross gearing","-"
"24","DMP","30 June 2016","Gross Profit Margin","-"
"25","DMP","30 June 2016","Interest Cover","-"
"26","DMP","30 June 2016","Latest Shares Outstanding","88.83"
"27","DMP","30 June 2016","Leverage Ratio (Assets/Equity)","2.85"
"28","DMP","30 June 2016","LT Debt/Total Capital","0.42"
"29","DMP","30 June 2016","Market Capitalisation","6,349.68"
"30","DMP","30 June 2016","Net Debt","-"
"31","DMP","30 June 2016","PE Ratio","-"
"32","DMP","30 June 2016","Pre-Tax Profit Margin","-"
"33","DMP","30 June 2016","Research & Devlopment (R&D) as ...","-"
"34","DMP","30 June 2016","Return on Assets (ROA)","0.09"
"35","DMP","30 June 2016","Return on Capital Invested (ROC...","0.15"
"36","DMP","30 June 2016","Return on Equity (ROE)","0.24"
"37","DMP","30 June 2016","Sales per Employee","-"
"38","DMP","30 June 2016","Selling, General & Adm/tive (SG...","-"
"39","DMP","30 June 2016","Spread","0.11"
"40","DMP","30 June 2016","Tangible Book-Value pS","-"
"41","DMP","30 June 2016","Total Debt/Equity (Gearing Rati...","0.82"
"42","DMP","30 June 2016","Working Capital pS","-"
"43","DMP","30 June 2016","Yesterday's Close","71.48"
"44","DMP","30 June 2016","1 Month","77.18"
"45","DMP","30 June 2016","1 Week","73.68"
"46","DMP","30 June 2016","1 Week","72.50"
"47","DMP","30 June 2016","1 Year","80.69"
