"","ticker","date","variable","value"
"1","DSX","30 June 2016","Address","1/174 Hampden Road  Nedlands, 6009"
"2","DSX","30 June 2016","City/Country:","Perth, Australia"
"3","DSX","30 June 2016","Company sector name:","Technology"
"4","DSX","30 June 2016","End of fiscal year:","30 June 2016"
"5","DSX","30 June 2016","Industry group name","Application Software"
"6","DSX","30 June 2016","Industry name:","Software - Application"
"7","DSX","30 June 2016","Assets Turnover","-"
"8","DSX","30 June 2016","Book-Value pS","-"
"9","DSX","30 June 2016","Cash Flow pS","-"
"10","DSX","30 June 2016","Cash pS","-"
"11","DSX","30 June 2016","Current Ratio","4.26"
"12","DSX","30 June 2016","Dividend pS (DPS)","-"
"13","DSX","30 June 2016","Dividend Yield","-"
"14","DSX","30 June 2016","Domestic Sales","-"
"15","DSX","30 June 2016","DSX KEY FIGURES (at previous day's close)",NA
"16","DSX","30 June 2016","Earnings pS (EPS)","-"
"17","DSX","30 June 2016","EBITDA Margin","-"
"18","DSX","30 June 2016","Effective Tax Rate","-"
"19","DSX","30 June 2016","Foreign Sales","-"
"20","DSX","30 June 2016","Free Cash Flow pS","-"
"21","DSX","30 June 2016","Gross gearing","-"
"22","DSX","30 June 2016","Gross Profit Margin","-"
"23","DSX","30 June 2016","Interest Cover","-"
"24","DSX","30 June 2016","Latest Shares Outstanding","229.50"
"25","DSX","30 June 2016","Leverage Ratio (Assets/Equity)","1.28"
"26","DSX","30 June 2016","LT Debt/Total Capital","-"
"27","DSX","30 June 2016","Market Capitalisation","11.02"
"28","DSX","30 June 2016","Net Debt","-"
"29","DSX","30 June 2016","PE Ratio","-"
"30","DSX","30 June 2016","Pre-Tax Profit Margin","-"
"31","DSX","30 June 2016","Research & Devlopment (R&D) as ...","-"
"32","DSX","30 June 2016","Return on Assets (ROA)","-0.83"
"33","DSX","30 June 2016","Return on Capital Invested (ROC...","-1.16"
"34","DSX","30 June 2016","Return on Equity (ROE)","-1.15"
"35","DSX","30 June 2016","Sales per Employee","-"
"36","DSX","30 June 2016","Selling, General & Adm/tive (SG...","-"
"37","DSX","30 June 2016","Spread","0.01"
"38","DSX","30 June 2016","Tangible Book-Value pS","-"
"39","DSX","30 June 2016","Total Debt/Equity (Gearing Rati...","-"
"40","DSX","30 June 2016","Working Capital pS","-"
"41","DSX","30 June 2016","Yesterday's Close","0.05"
"42","DSX","30 June 2016","1 Month","0.06"
"43","DSX","30 June 2016","1 Week","0.05"
"44","DSX","30 June 2016","1 Year","0.06"
"45","DSX","30 June 2016","1 Year","0.13"
"46","DSX","30 June 2016","3 Months","0.05"
"47","DSX","30 June 2016","3 Months","0.06"
"48","DSX","30 June 2016","3 Years","0.32"
"49","DSX","30 June 2016","3 Years","0.29"
"50","DSX","30 June 2016","5 Years","0.32"
"51","DSX","30 June 2016","5 Years","0.29"
"52","DSX","30 June 2016","6 Months","0.05"
"53","DSX","30 June 2016","6 Months","0.06"
"54","DSX","30 June 2016","Period †","High"
"55","DSX","30 June 2016","Period †","Open"
"56","DSX","30 June 2016","","1 year"
"57","DSX","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"58","DSX","30 June 2016","CFO growth","-"
"59","DSX","30 June 2016","Diluted continuous EPS growth","-"
"60","DSX","30 June 2016","Diluted EPS growth","-"
"61","DSX","30 June 2016","Dividend growth","-"
