"","ticker","date","variable","value"
"1","ENB","30 June 2016","Doing business in:","Australia (AU)"
"2","ENB","30 June 2016","End of fiscal year:","30 June 2016"
"3","ENB","30 June 2016","Fax:","+61 894820505"
"4","ENB","30 June 2016","Place of incorporation:","Australia (AU)"
"5","ENB","30 June 2016","Tel.:","+61 893210099"
"6","ENB","30 June 2016","Trading currency:","AUD"
"7","ENB","30 June 2016","Year established:","2003"
"8","ENB","30 June 2016","Assets Turnover","-"
"9","ENB","30 June 2016","Book-Value pS","-"
"10","ENB","30 June 2016","Cash Flow pS","-"
"11","ENB","30 June 2016","Cash pS","-"
"12","ENB","30 June 2016","Current Ratio","2.62"
"13","ENB","30 June 2016","Dividend pS (DPS)","-"
"14","ENB","30 June 2016","Dividend Yield","-"
"15","ENB","30 June 2016","Domestic Sales","-"
"16","ENB","30 June 2016","Earnings pS (EPS)","-"
"17","ENB","30 June 2016","EBITDA Margin","-"
"18","ENB","30 June 2016","Effective Tax Rate","-"
"19","ENB","30 June 2016","ENB KEY FIGURES (at previous day's close)",NA
"20","ENB","30 June 2016","Foreign Sales","-"
"21","ENB","30 June 2016","Free Cash Flow pS","-"
"22","ENB","30 June 2016","Gross gearing","-"
"23","ENB","30 June 2016","Gross Profit Margin","-"
"24","ENB","30 June 2016","Interest Cover","-"
"25","ENB","30 June 2016","Latest Shares Outstanding","300.98"
"26","ENB","30 June 2016","Leverage Ratio (Assets/Equity)","1.41"
"27","ENB","30 June 2016","LT Debt/Total Capital","-"
"28","ENB","30 June 2016","Market Capitalisation","3.01"
"29","ENB","30 June 2016","Net Debt","-"
"30","ENB","30 June 2016","PE Ratio","-"
"31","ENB","30 June 2016","Pre-Tax Profit Margin","-"
"32","ENB","30 June 2016","Research & Devlopment (R&D) as ...","-"
"33","ENB","30 June 2016","Return on Assets (ROA)","-0.43"
"34","ENB","30 June 2016","Return on Capital Invested (ROC...","-0.50"
"35","ENB","30 June 2016","Return on Equity (ROE)","-0.50"
"36","ENB","30 June 2016","Sales per Employee","-"
"37","ENB","30 June 2016","Selling, General & Adm/tive (SG...","-"
"38","ENB","30 June 2016","Spread","0.99"
"39","ENB","30 June 2016","Tangible Book-Value pS","-"
"40","ENB","30 June 2016","Total Debt/Equity (Gearing Rati...","-"
"41","ENB","30 June 2016","Working Capital pS","-"
"42","ENB","30 June 2016","Yesterday's Close","0.01"
"43","ENB","30 June 2016","1 Month","0.02"
"44","ENB","30 June 2016","1 Week","0.01"
"45","ENB","30 June 2016","1 Year","0.03"
"46","ENB","30 June 2016","3 Months","0.02"
"47","ENB","30 June 2016","3 Years","0.01"
"48","ENB","30 June 2016","3 Years","0.05"
"49","ENB","30 June 2016","5 Years","0.05"
"50","ENB","30 June 2016","5 Years","0.04"
"51","ENB","30 June 2016","6 Months","0.02"
"52","ENB","30 June 2016","Period †","High"
"53","ENB","30 June 2016","Period †","Open"
"54","ENB","30 June 2016","","1 year"
"55","ENB","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"56","ENB","30 June 2016","CFO growth","-"
"57","ENB","30 June 2016","Diluted continuous EPS growth","-"
"58","ENB","30 June 2016","Diluted EPS growth","-"
"59","ENB","30 June 2016","Dividend growth","-"
"60","ENB","30 June 2016","ENB Growth Ratios (30 June 2016)",NA
"61","ENB","30 June 2016","Equity per share growth","-0.37"
"62","ENB","30 June 2016","FCF growth","-"
"63","ENB","30 June 2016","Net income cont growth","-"
"64","ENB","30 June 2016","Net income growth","-"
"65","ENB","30 June 2016","Operating income growth","-"
"66","ENB","30 June 2016","Operating revenue growth","0.00"
"67","ENB","30 June 2016","Revenue growth","0.00"
"68","ENB","30 June 2016","Assets turnover","-"
"69","ENB","30 June 2016","Capital expenditure sales ratio","-"
"70","ENB","30 June 2016","Cash conversion cycle","-"
"71","ENB","30 June 2016","Days in inventory","-"
"72","ENB","30 June 2016","Days in payment","-"
"73","ENB","30 June 2016","Days in sales","-"
"74","ENB","30 June 2016","ENB Efficency Ratios (30 June 2016)",NA
"75","ENB","30 June 2016","FCF net income ratio","-"
"76","ENB","30 June 2016","FCF sales ratio","-"
"77","ENB","30 June 2016","Fixed assets turnover","-"
"78","ENB","30 June 2016","Inventory turnover","-"
"79","ENB","30 June 2016","Payable turnover","-"
"80","ENB","30 June 2016","Receivable turnover","-"
"81","ENB","30 June 2016","ROA","-0.43"
"82","ENB","30 June 2016","ROE","-0.50"
"83","ENB","30 June 2016","ROIC","-0.50"
"84","ENB","30 June 2016","Current ratio","2.62"
"85","ENB","30 June 2016","Debt equity ratio","-"
"86","ENB","30 June 2016","Debt total capital ratio","-"
"87","ENB","30 June 2016","ENB Financial Health Ratios (30 June 2016)",NA
"88","ENB","30 June 2016","Financial leverage","1.41"
"89","ENB","30 June 2016","Quick ratio","0.82"
"90","ENB","30 June 2016","Total debt to equity","-"
"91","ENB","30 June 2016","Avg gross margin","-"
"92","ENB","30 June 2016","Avg net profit","-"
"93","ENB","30 June 2016","Avg post tax margin","-"
"94","ENB","30 June 2016","Avg pre tax marginr","-"
"95","ENB","30 June 2016","Avg ret assets","-0.23"
"96","ENB","30 June 2016","Avg ret commonr","-0.25"
"97","ENB","30 June 2016","Avg ret invested capital","-0.26"
"98","ENB","30 June 2016","ENB Avearge Growth Ratios Over 5 Years (30 June 2016)",NA
"99","ENB","30 June 2016","Growth ann capital spending","-"
"100","ENB","30 June 2016","Growth ann gross profit","-"
"101","ENB","30 June 2016","EBIT margin","-"
"102","ENB","30 June 2016","EBITDA margin","-"
"103","ENB","30 June 2016","EBT margin","-"
"104","ENB","30 June 2016","ENB Profitability Ratios (-)",NA
"105","ENB","30 June 2016","Gross margin","-"
"106","ENB","30 June 2016","Inc per employee tot ops","-"
"107","ENB","30 June 2016","Interest coverage","-"
"108","ENB","30 June 2016","Net margin","-"
"109","ENB","30 June 2016","Normalized net profit margin","-"
"110","ENB","30 June 2016","Operating margin","-"
"111","ENB","30 June 2016","Sales per employee","-"
"112","ENB","30 June 2016","Tax rate","-"
"113","ENB","30 June 2016","Book value per share","0.02"
"114","ENB","30 June 2016","Cash return","-0.23"
"115","ENB","30 June 2016","CF per share","-0.00"
"116","ENB","30 June 2016","Div payout 5 year","-"
"117","ENB","30 June 2016","Div payout tot ops","-"
"118","ENB","30 June 2016","Div rate","-"
"119","ENB","30 June 2016","Dividend yield","-"
"120","ENB","30 June 2016","ENB Valuation Ratios (30 June 2016)",NA
"121","ENB","30 June 2016","Growth ann sales per share 5 ye...","-1.00"
"122","ENB","30 June 2016","Payout ratio","0.00"
"123","ENB","30 June 2016","Price to book","0.90"
"124","ENB","30 June 2016","Price to cash flow","-6.14"
"125","ENB","30 June 2016","Price to EPS","-5.98"
"126","ENB","30 June 2016","Price to free cash flow","-6.14"
"127","ENB","30 June 2016","Price to sales","-"
"128","ENB","30 June 2016","Ratio PE 5 year high","-19.24"
"129","ENB","30 June 2016","Ratio PE 5 year low","-0.80"
"130","ENB","30 June 2016","Sales per share","0.00"
"131","ENB","30 June 2016","Sustainable growth rate","-0.14"
"132","ENB","30 June 2016","FTSE",NA
"133","ENB","30 June 2016","FTSE 100",NA
"134","ENB","30 June 2016","FX",NA
"135","ENB","30 June 2016","GBPUSD",NA
"136","ENB","30 June 2016","GKP",NA
