"","ticker","date","variable","value"
"1","EQX","30 June 2015","Address","BGC Centre, Level 2  28 Th28 The Esplanade, 6000"
"2","EQX","30 June 2015","City/Country:","Perth, Australia"
"3","EQX","30 June 2015","Company sector name:","Basic Materials"
"4","EQX","30 June 2015","End of fiscal year:","30 June 2015"
"5","EQX","30 June 2015","Industry group name","Metals & Mining"
"6","EQX","30 June 2015","Industry name:","Industrial Metals & Minerals"
"7","EQX","30 June 2015","Web address:","http://www.equatorialresources.com.au"
"8","EQX","30 June 2015","Assets Turnover","-"
"9","EQX","30 June 2015","Book-Value pS","0.36"
"10","EQX","30 June 2015","Cash Flow pS","-0.03"
"11","EQX","30 June 2015","Cash pS","0.30"
"12","EQX","30 June 2015","Current Ratio","40.04"
"13","EQX","30 June 2015","Dividend pS (DPS)","-"
"14","EQX","30 June 2015","Dividend Yield","-"
"15","EQX","30 June 2015","Domestic Sales","-"
"16","EQX","30 June 2015","Earnings pS (EPS)","-0.03"
"17","EQX","30 June 2015","EBITDA Margin","-"
"18","EQX","30 June 2015","Effective Tax Rate","-"
"19","EQX","30 June 2015","EQX KEY FIGURES (at previous day's close)",NA
"20","EQX","30 June 2015","Foreign Sales","-"
"21","EQX","30 June 2015","Free Cash Flow pS","-0.03"
"22","EQX","30 June 2015","Gross gearing","2.09"
"23","EQX","30 June 2015","Gross Profit Margin","-"
"24","EQX","30 June 2015","Interest Cover","-89.76"
"25","EQX","30 June 2015","Latest Shares Outstanding","124.45"
"26","EQX","30 June 2015","Leverage Ratio (Assets/Equity)","1.02"
"27","EQX","30 June 2015","LT Debt/Total Capital","-"
"28","EQX","30 June 2015","Market Capitalisation","44.45"
"29","EQX","30 June 2015","Net Debt","-36.38"
"30","EQX","30 June 2015","PE Ratio","-11.29"
"31","EQX","30 June 2015","Pre-Tax Profit Margin","-"
"32","EQX","30 June 2015","Research & Devlopment (R&D) as ...","-"
"33","EQX","30 June 2015","Return on Assets (ROA)","-0.08"
"34","EQX","30 June 2015","Return on Capital Invested (ROC...","-0.11"
"35","EQX","30 June 2015","Return on Equity (ROE)","-0.08"
"36","EQX","30 June 2015","Sales per Employee","-"
"37","EQX","30 June 2015","Selling, General & Adm/tive (SG...","-"
"38","EQX","30 June 2015","Spread","0.02"
"39","EQX","30 June 2015","Tangible Book-Value pS","0.06"
"40","EQX","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
"41","EQX","30 June 2015","Working Capital pS","0.36"
"42","EQX","30 June 2015","Yesterday's Close","0.36"
"43","EQX","30 June 2015","1 Month","0.37"
"44","EQX","30 June 2015","1 Month","0.35"
"45","EQX","30 June 2015","1 Week","0.37"
"46","EQX","30 June 2015","1 Week","0.35"
"47","EQX","30 June 2015","1 Year","0.39"
"48","EQX","30 June 2015","1 Year","0.28"
"49","EQX","30 June 2015","3 Months","0.39"
"50","EQX","30 June 2015","3 Months","0.33"
"51","EQX","30 June 2015","3 Years","0.82"
"52","EQX","30 June 2015","3 Years","0.61"
"53","EQX","30 June 2015","5 Years","2.93"
"54","EQX","30 June 2015","5 Years","2.40"
"55","EQX","30 June 2015","6 Months","0.39"
"56","EQX","30 June 2015","6 Months","0.29"
"57","EQX","30 June 2015","Period †","High"
"58","EQX","30 June 2015","Period †","Open"
"59","EQX","30 June 2015","","1 year"
"60","EQX","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"61","EQX","30 June 2015","CFO growth","-"
"62","EQX","30 June 2015","Diluted continuous EPS growth","-"
"63","EQX","30 June 2015","Diluted EPS growth","-"
"64","EQX","30 June 2015","Dividend growth","-"
"65","EQX","30 June 2015","Equity per share growth","-0.12"
"66","EQX","30 June 2015","EQX Growth Ratios (30 June 2015)",NA
"67","EQX","30 June 2015","FCF growth","-"
"68","EQX","30 June 2015","Net income cont growth","-"
"69","EQX","30 June 2015","Net income growth","-"
"70","EQX","30 June 2015","Operating income growth","-"
"71","EQX","30 June 2015","Operating revenue growth","0.00"
"72","EQX","30 June 2015","Revenue growth","0.00"
"73","EQX","30 June 2015","Amortization","0.04"
"74","EQX","30 June 2015","Basic EPS","-0.03"
"75","EQX","30 June 2015","Basic EPS from Continuing Ope...","-0.03"
"76","EQX","30 June 2015","Basic EPS from Discontinued O...","0.00"
"77","EQX","30 June 2015","Basic EPS,Continuing and Disc...","-0.03"
"78","EQX","30 June 2015","Basic Weighted Average Shares...","123.49"
"79","EQX","30 June 2015","Calculated Tax Effect Of Unus...","0.00"
"80","EQX","30 June 2015","Depreciation","1.24"
"81","EQX","30 June 2015","Depreciation and Amortization","1.28"
"82","EQX","30 June 2015","Depreciation,Reconciled","1.28"
"83","EQX","30 June 2015","Diluted EPS","-0.03"
"84","EQX","30 June 2015","Diluted EPS from Continuing O...","-0.03"
"85","EQX","30 June 2015","Diluted EPS from Discontinued...","0.00"
"86","EQX","30 June 2015","Diluted EPS,Continuing and Di...","-0.03"
"87","EQX","30 June 2015","Diluted Weighted Average Shar...","123.49"
"88","EQX","30 June 2015","Discontinued Operations","0.00"
"89","EQX","30 June 2015","Earning Before Interest and T...","-3.91"
"90","EQX","30 June 2015","Earning Before Interest Tax D...","-2.63"
