"","ticker","date","variable","value"
"1","EUM","30 June 2015","Address","22 Lindsay Street, 6000"
"2","EUM","30 June 2015","Auditor:","HLB Mann Judd"
"3","EUM","30 June 2015","City/Country:","Perth, Australia"
"4","EUM","30 June 2015","Company sector name:","Basic Materials"
"5","EUM","30 June 2015","End of fiscal year:","30 June 2015"
"6","EUM","30 June 2015","Industry group name","Metals & Mining"
"7","EUM","30 June 2015","Industry name:","Industrial Metals & Minerals"
"8","EUM","30 June 2015","Web address:","http://www.eumerallaresources.com"
"9","EUM","30 June 2015","Assets Turnover","-"
"10","EUM","30 June 2015","Book-Value pS","-"
"11","EUM","30 June 2015","Cash Flow pS","-"
"12","EUM","30 June 2015","Cash pS","-"
"13","EUM","30 June 2015","Current Ratio","24.40"
"14","EUM","30 June 2015","Dividend pS (DPS)","-"
"15","EUM","30 June 2015","Dividend Yield","-"
"16","EUM","30 June 2015","Domestic Sales","-"
"17","EUM","30 June 2015","Earnings pS (EPS)","-"
"18","EUM","30 June 2015","EBITDA Margin","-"
"19","EUM","30 June 2015","Effective Tax Rate","-"
"20","EUM","30 June 2015","EUM KEY FIGURES (at previous day's close)",NA
"21","EUM","30 June 2015","Foreign Sales","-"
"22","EUM","30 June 2015","Free Cash Flow pS","-"
"23","EUM","30 June 2015","Gross gearing","-"
"24","EUM","30 June 2015","Gross Profit Margin","-"
"25","EUM","30 June 2015","Interest Cover","-"
"26","EUM","30 June 2015","Latest Shares Outstanding","99.17"
"27","EUM","30 June 2015","Leverage Ratio (Assets/Equity)","1.02"
"28","EUM","30 June 2015","LT Debt/Total Capital","-"
"29","EUM","30 June 2015","Market Capitalisation","3.07"
"30","EUM","30 June 2015","Net Debt","-"
"31","EUM","30 June 2015","PE Ratio","-"
"32","EUM","30 June 2015","Pre-Tax Profit Margin","-"
"33","EUM","30 June 2015","Research & Devlopment (R&D) as ...","-"
"34","EUM","30 June 2015","Return on Assets (ROA)","-0.45"
"35","EUM","30 June 2015","Return on Capital Invested (ROC...","-0.47"
"36","EUM","30 June 2015","Return on Equity (ROE)","-0.46"
"37","EUM","30 June 2015","Sales per Employee","-"
"38","EUM","30 June 2015","Selling, General & Adm/tive (SG...","-"
"39","EUM","30 June 2015","Spread","0.02"
"40","EUM","30 June 2015","Tangible Book-Value pS","-"
"41","EUM","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
"42","EUM","30 June 2015","Working Capital pS","-"
"43","EUM","30 June 2015","Yesterday's Close","0.03"
"44","EUM","30 June 2015","1 Month","0.03"
"45","EUM","30 June 2015","1 Week","0.03"
"46","EUM","30 June 2015","1 Year","0.03"
"47","EUM","30 June 2015","1 Year","0.04"
"48","EUM","30 June 2015","3 Months","0.03"
"49","EUM","30 June 2015","3 Months","0.04"
"50","EUM","30 June 2015","3 Years","0.15"
"51","EUM","30 June 2015","5 Years","0.23"
"52","EUM","30 June 2015","6 Months","0.03"
"53","EUM","30 June 2015","6 Months","0.04"
"54","EUM","30 June 2015","Period †","High"
"55","EUM","30 June 2015","Period †","Open"
"56","EUM","30 June 2015","","1 year"
"57","EUM","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"58","EUM","30 June 2015","CFO growth","-"
"59","EUM","30 June 2015","Diluted continuous EPS growth","-"
"60","EUM","30 June 2015","Diluted EPS growth","-"
"61","EUM","30 June 2015","Dividend growth","-"
"62","EUM","30 June 2015","Equity per share growth","-0.33"
"63","EUM","30 June 2015","EUM Growth Ratios (30 June 2015)",NA
"64","EUM","30 June 2015","FCF growth","-"
"65","EUM","30 June 2015","Net income cont growth","-"
"66","EUM","30 June 2015","Net income growth","-"
"67","EUM","30 June 2015","Operating income growth","-"
"68","EUM","30 June 2015","Operating revenue growth","0.00"
"69","EUM","30 June 2015","Revenue growth","0.00"
"70","EUM","30 June 2015","Assets turnover","-"
"71","EUM","30 June 2015","Capital expenditure sales ratio","-"
"72","EUM","30 June 2015","Cash conversion cycle","-"
"73","EUM","30 June 2015","Days in inventory","-"
"74","EUM","30 June 2015","Days in payment","-"
"75","EUM","30 June 2015","Days in sales","-"
"76","EUM","30 June 2015","EUM Efficency Ratios (30 June 2015)",NA
"77","EUM","30 June 2015","FCF net income ratio","-"
"78","EUM","30 June 2015","FCF sales ratio","-"
"79","EUM","30 June 2015","Fixed assets turnover","-"
"80","EUM","30 June 2015","Inventory turnover","-"
"81","EUM","30 June 2015","Payable turnover","-"
"82","EUM","30 June 2015","Receivable turnover","-"
"83","EUM","30 June 2015","ROA","-0.45"
"84","EUM","30 June 2015","ROE","-0.46"
"85","EUM","30 June 2015","ROIC","-0.47"
"86","EUM","30 June 2015","Current ratio","24.40"
"87","EUM","30 June 2015","Debt equity ratio","-"
"88","EUM","30 June 2015","Debt total capital ratio","-"
"89","EUM","30 June 2015","EUM Financial Health Ratios (30 June 2015)",NA
"90","EUM","30 June 2015","Financial leverage","1.02"
"91","EUM","30 June 2015","Quick ratio","-"
"92","EUM","30 June 2015","Total debt to equity","-"
"93","EUM","30 June 2015","Avg gross margin","-"
"94","EUM","30 June 2015","Avg net profit","-"
"95","EUM","30 June 2015","Avg post tax margin","-"
"96","EUM","30 June 2015","Avg pre tax marginr","-"
"97","EUM","30 June 2015","Avg ret assets","-"
"98","EUM","30 June 2015","Avg ret commonr","-"
"99","EUM","30 June 2015","Avg ret invested capital","-"
"100","EUM","30 June 2015","EUM Avearge Growth Ratios Over 5 Years (30 June 2015)",NA
"101","EUM","30 June 2015","Growth ann capital spending","-"
"102","EUM","30 June 2015","Growth ann gross profit","-"
"103","EUM","30 June 2015","EBIT margin","-"
"104","EUM","30 June 2015","EBITDA margin","-"
"105","EUM","30 June 2015","EBT margin","-"
"106","EUM","30 June 2015","EUM Profitability Ratios (-)",NA
"107","EUM","30 June 2015","Gross margin","-"
"108","EUM","30 June 2015","Inc per employee tot ops","-"
"109","EUM","30 June 2015","Interest coverage","-"
"110","EUM","30 June 2015","Net margin","-"
"111","EUM","30 June 2015","Normalized net profit margin","-"
"112","EUM","30 June 2015","Operating margin","-"
"113","EUM","30 June 2015","Sales per employee","-"
"114","EUM","30 June 2015","Tax rate","-"
"115","EUM","30 June 2015","Book value per share","0.06"
"116","EUM","30 June 2015","Cash return","-61.96"
"117","EUM","30 June 2015","CF per share","-0.01"
"118","EUM","30 June 2015","Div payout 5 year","-"
"119","EUM","30 June 2015","Div payout tot ops","-"
"120","EUM","30 June 2015","Div rate","-"
"121","EUM","30 June 2015","Dividend yield","-"
"122","EUM","30 June 2015","EUM Valuation Ratios (30 June 2015)",NA
"123","EUM","30 June 2015","Growth ann sales per share 5 ye...","-"
"124","EUM","30 June 2015","Payout ratio","0.00"
"125","EUM","30 June 2015","Price to book","0.52"
"126","EUM","30 June 2015","Price to cash flow","-2.16"
"127","EUM","30 June 2015","Price to EPS","-1.12"
"128","EUM","30 June 2015","Price to free cash flow","-1.99"
"129","EUM","30 June 2015","Price to sales","-"
"130","EUM","30 June 2015","Ratio PE 5 year high","-8.34"
"131","EUM","30 June 2015","Ratio PE 5 year low","-1.09"
"132","EUM","30 June 2015","Sales per share","0.00"
"133","EUM","30 June 2015","Sustainable growth rate","-0.38"
"134","EUM","30 June 2015","FTSE",NA
"135","EUM","30 June 2015","FTSE 100",NA
"136","EUM","30 June 2015","FX",NA
"137","EUM","30 June 2015","GBPUSD",NA
"138","EUM","30 June 2015","GKP",NA
"139","EUM","30 June 2015","Gulf Keyst..",NA
"140","EUM","30 June 2015","IOF",NA
"141","EUM","30 June 2015","Iofina",NA
"142","EUM","30 June 2015","LSE",NA
"143","EUM","30 June 2015","LSE",NA
"144","EUM","30 June 2015","LSE",NA
"145","EUM","30 June 2015","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"146","EUM","30 June 2015","QPP",NA
"147","EUM","30 June 2015","Quindell",NA
"148","EUM","30 June 2015","UK Sterlin..",NA
"149","EUM","30 June 2015","UKX",NA
