"","ticker","date","variable","value"
"1","FGF","30 June 2016","Address","Level 2, 90 William Street, 3000"
"2","FGF","30 June 2016","City/Country:","Melbourne, Australia"
"3","FGF","30 June 2016","Company sector name:","Financial Services"
"4","FGF","30 June 2016","End of fiscal year:","30 June 2016"
"5","FGF","30 June 2016","Industry group name","Asset Management"
"6","FGF","30 June 2016","Industry name:","Asset Management"
"7","FGF","30 June 2016","Assets Turnover","3.50"
"8","FGF","30 June 2016","Book-Value pS","0.00"
"9","FGF","30 June 2016","Cash Flow pS","-0.00"
"10","FGF","30 June 2016","Cash pS","0.00"
"11","FGF","30 June 2016","Current Ratio","7.48"
"12","FGF","30 June 2016","Dividend pS (DPS)","-"
"13","FGF","30 June 2016","Dividend Yield","-"
"14","FGF","30 June 2016","Domestic Sales","-"
"15","FGF","30 June 2016","Earnings pS (EPS)","-0.00"
"16","FGF","30 June 2016","EBITDA Margin","-"
"17","FGF","30 June 2016","Effective Tax Rate","-"
"18","FGF","30 June 2016","FGF KEY FIGURES (at previous day's close)",NA
"19","FGF","30 June 2016","Foreign Sales","-"
"20","FGF","30 June 2016","Free Cash Flow pS","-0.00"
"21","FGF","30 June 2016","Gross gearing","13.37"
"22","FGF","30 June 2016","Gross Profit Margin","-16.97"
"23","FGF","30 June 2016","Interest Cover","-"
"24","FGF","30 June 2016","Latest Shares Outstanding","836.77"
"25","FGF","30 June 2016","Leverage Ratio (Assets/Equity)","1.15"
"26","FGF","30 June 2016","LT Debt/Total Capital","-"
"27","FGF","30 June 2016","Market Capitalisation","3.62"
"28","FGF","30 June 2016","Net Debt","-0.53"
"29","FGF","30 June 2016","PE Ratio","-6.67"
"30","FGF","30 June 2016","Pre-Tax Profit Margin","-"
"31","FGF","30 June 2016","Research & Devlopment (R&D) as ...","0.00"
"32","FGF","30 June 2016","Return on Assets (ROA)","-0.41"
"33","FGF","30 June 2016","Return on Capital Invested (ROC...","-0.64"
"34","FGF","30 June 2016","Return on Equity (ROE)","-0.64"
"35","FGF","30 June 2016","Sales per Employee","-"
"36","FGF","30 June 2016","Selling, General & Adm/tive (SG...","0.00"
"37","FGF","30 June 2016","Spread","0.00"
"38","FGF","30 June 2016","Tangible Book-Value pS","-"
"39","FGF","30 June 2016","Total Debt/Equity (Gearing Rati...","-"
"40","FGF","30 June 2016","Working Capital pS","0.00"
"41","FGF","30 June 2016","Yesterday's Close","0.01"
"42","FGF","30 June 2016","1 Month","0.01"
"43","FGF","30 June 2016","1 Week","0.01"
"44","FGF","30 June 2016","1 Year","0.01"
"45","FGF","30 June 2016","1 Year","0.03"
"46","FGF","30 June 2016","3 Months","0.01"
"47","FGF","30 June 2016","3 Years","0.01"
"48","FGF","30 June 2016","3 Years","0.03"
"49","FGF","30 June 2016","5 Years","0.01"
"50","FGF","30 June 2016","5 Years","0.03"
"51","FGF","30 June 2016","6 Months","0.01"
"52","FGF","30 June 2016","Period †","High"
