"","ticker","date","variable","value"
"1","FLT","30 June 2016","Address","545 Queen Street  Level 2, 4000"
"2","FLT","30 June 2016","Auditor:","Ernst & Young"
"3","FLT","30 June 2016","City/Country:","Brisbane, Australia"
"4","FLT","30 June 2016","Company sector name:","Consumer Cyclical"
"5","FLT","30 June 2016","End of fiscal year:","30 June 2016"
"6","FLT","30 June 2016","Industry group name","Travel & Leisure"
"7","FLT","30 June 2016","Industry name:","Leisure"
"8","FLT","30 June 2016","Web address:","http://www.fctgl.com"
"9","FLT","30 June 2016","Assets Turnover","-"
"10","FLT","30 June 2016","Book-Value pS","-"
"11","FLT","30 June 2016","Cash Flow pS","-"
"12","FLT","30 June 2016","Cash pS","-"
"13","FLT","30 June 2016","Current Ratio","1.44"
"14","FLT","30 June 2016","Dividend pS (DPS)","-"
"15","FLT","30 June 2016","Dividend Yield","-"
"16","FLT","30 June 2016","Domestic Sales","-"
"17","FLT","30 June 2016","Earnings pS (EPS)","-"
"18","FLT","30 June 2016","EBITDA Margin","-"
"19","FLT","30 June 2016","Effective Tax Rate","-"
"20","FLT","30 June 2016","FLT KEY FIGURES (at previous day's close)",NA
"21","FLT","30 June 2016","Foreign Sales","-"
"22","FLT","30 June 2016","Free Cash Flow pS","-"
"23","FLT","30 June 2016","Gross gearing","-"
"24","FLT","30 June 2016","Gross Profit Margin","-"
"25","FLT","30 June 2016","Interest Cover","-"
"26","FLT","30 June 2016","Latest Shares Outstanding","100.95"
"27","FLT","30 June 2016","Leverage Ratio (Assets/Equity)","2.23"
"28","FLT","30 June 2016","LT Debt/Total Capital","-"
"29","FLT","30 June 2016","Market Capitalisation","3,720.96"
"30","FLT","30 June 2016","Net Debt","-"
"31","FLT","30 June 2016","PE Ratio","-"
"32","FLT","30 June 2016","Pre-Tax Profit Margin","-"
"33","FLT","30 June 2016","Research & Devlopment (R&D) as ...","-"
"34","FLT","30 June 2016","Return on Assets (ROA)","0.08"
"35","FLT","30 June 2016","Return on Capital Invested (ROC...","0.18"
"36","FLT","30 June 2016","Return on Equity (ROE)","0.19"
"37","FLT","30 June 2016","Sales per Employee","-"
"38","FLT","30 June 2016","Selling, General & Adm/tive (SG...","-"
"39","FLT","30 June 2016","Spread","0.05"
"40","FLT","30 June 2016","Tangible Book-Value pS","-"
"41","FLT","30 June 2016","Total Debt/Equity (Gearing Rati...","0.06"
"42","FLT","30 June 2016","Working Capital pS","-"
"43","FLT","30 June 2016","Yesterday's Close","36.86"
"44","FLT","30 June 2016","1 Month","38.20"
"45","FLT","30 June 2016","1 Month","38.00"
"46","FLT","30 June 2016","1 Week","36.88"
"47","FLT","30 June 2016","1 Week","34.68"
"48","FLT","30 June 2016","1 Year","45.37"
"49","FLT","30 June 2016","1 Year","35.98"
"50","FLT","30 June 2016","3 Months","38.20"
"51","FLT","30 June 2016","3 Months","31.62"
"52","FLT","30 June 2016","3 Years","55.72"
"53","FLT","30 June 2016","3 Years","48.01"
"54","FLT","30 June 2016","5 Years","55.72"
"55","FLT","30 June 2016","5 Years","16.02"
"56","FLT","30 June 2016","6 Months","43.57"
"57","FLT","30 June 2016","6 Months","42.81"
"58","FLT","30 June 2016","Period †","High"
"59","FLT","30 June 2016","Period †","Open"
"60","FLT","30 June 2016","","1 year"
