"","ticker","date","variable","value"
"1","FTZ","30 June 2015","Address","40 Balgowlah Street, 4154"
"2","FTZ","30 June 2015","Auditor:","BDO Audit Pty Ltd"
"3","FTZ","30 June 2015","City/Country:","Wakerley, Australia"
"4","FTZ","30 June 2015","Company sector name:","Basic Materials"
"5","FTZ","30 June 2015","End of fiscal year:","30 June 2015"
"6","FTZ","30 June 2015","Industry group name","Metals & Mining"
"7","FTZ","30 June 2015","Industry name:","Industrial Metals & Minerals"
"8","FTZ","30 June 2015","Web address:","http://www.fertoz.com"
"9","FTZ","30 June 2015","Assets Turnover","-"
"10","FTZ","30 June 2015","Book-Value pS","-"
"11","FTZ","30 June 2015","Cash Flow pS","-"
"12","FTZ","30 June 2015","Cash pS","-"
"13","FTZ","30 June 2015","Current Ratio","0.67"
"14","FTZ","30 June 2015","Dividend pS (DPS)","-"
"15","FTZ","30 June 2015","Dividend Yield","-"
"16","FTZ","30 June 2015","Domestic Sales","-"
"17","FTZ","30 June 2015","Earnings pS (EPS)","-"
"18","FTZ","30 June 2015","EBITDA Margin","-"
"19","FTZ","30 June 2015","Effective Tax Rate","-"
"20","FTZ","30 June 2015","Foreign Sales","-"
"21","FTZ","30 June 2015","Free Cash Flow pS","-"
"22","FTZ","30 June 2015","FTZ KEY FIGURES (at previous day's close)",NA
"23","FTZ","30 June 2015","Gross gearing","-"
"24","FTZ","30 June 2015","Gross Profit Margin","-"
"25","FTZ","30 June 2015","Interest Cover","-"
"26","FTZ","30 June 2015","Latest Shares Outstanding","72.90"
"27","FTZ","30 June 2015","Leverage Ratio (Assets/Equity)","1.16"
"28","FTZ","30 June 2015","LT Debt/Total Capital","-"
"29","FTZ","30 June 2015","Market Capitalisation","9.84"
"30","FTZ","30 June 2015","Net Debt","-"
"31","FTZ","30 June 2015","PE Ratio","-"
"32","FTZ","30 June 2015","Pre-Tax Profit Margin","-"
"33","FTZ","30 June 2015","Research & Devlopment (R&D) as ...","-"
"34","FTZ","30 June 2015","Return on Assets (ROA)","-0.41"
"35","FTZ","30 June 2015","Return on Capital Invested (ROC...","-0.41"
