"","ticker","date","variable","value"
"1","GFI","31 December 2015","Doing business in:","Australia (AU)"
"2","GFI","31 December 2015","End of fiscal year:","31 December 2015"
"3","GFI","31 December 2015","Fax:","+61 282128028"
"4","GFI","31 December 2015","Place of incorporation:","Australia (AU)"
"5","GFI","31 December 2015","Tel.:","+61 282110671"
"6","GFI","31 December 2015","Trading currency:","AUD"
"7","GFI","31 December 2015","Year established:","2011"
"8","GFI","31 December 2015","Assets Turnover","-"
"9","GFI","31 December 2015","Book-Value pS","-"
"10","GFI","31 December 2015","Cash Flow pS","-"
"11","GFI","31 December 2015","Cash pS","-"
"12","GFI","31 December 2015","Current Ratio","49.94"
"13","GFI","31 December 2015","Dividend pS (DPS)","-"
"14","GFI","31 December 2015","Dividend Yield","-"
"15","GFI","31 December 2015","Domestic Sales","-"
"16","GFI","31 December 2015","Earnings pS (EPS)","-"
"17","GFI","31 December 2015","EBITDA Margin","-"
"18","GFI","31 December 2015","Effective Tax Rate","-"
"19","GFI","31 December 2015","Foreign Sales","-"
"20","GFI","31 December 2015","Free Cash Flow pS","-"
"21","GFI","31 December 2015","GFI KEY FIGURES (at previous day's close)",NA
"22","GFI","31 December 2015","Gross gearing","-"
"23","GFI","31 December 2015","Gross Profit Margin","-"
"24","GFI","31 December 2015","Interest Cover","-"
"25","GFI","31 December 2015","Latest Shares Outstanding","63.36"
"26","GFI","31 December 2015","Leverage Ratio (Assets/Equity)","1.02"
"27","GFI","31 December 2015","LT Debt/Total Capital","-"
"28","GFI","31 December 2015","Market Capitalisation","18.69"
"29","GFI","31 December 2015","Net Debt","-"
"30","GFI","31 December 2015","PE Ratio","-"
"31","GFI","31 December 2015","Pre-Tax Profit Margin","-"
"32","GFI","31 December 2015","Research & Devlopment (R&D) as ...","-"
"33","GFI","31 December 2015","Return on Assets (ROA)","0.00"
"34","GFI","31 December 2015","Return on Capital Invested (ROC...","0.00"
"35","GFI","31 December 2015","Return on Equity (ROE)","0.00"
"36","GFI","31 December 2015","Sales per Employee","-"
"37","GFI","31 December 2015","Selling, General & Adm/tive (SG...","-"
"38","GFI","31 December 2015","Spread","0.15"
"39","GFI","31 December 2015","Tangible Book-Value pS","-"
"40","GFI","31 December 2015","Total Debt/Equity (Gearing Rati...","-"
"41","GFI","31 December 2015","Working Capital pS","-"
"42","GFI","31 December 2015","Yesterday's Close","0.30"
"43","GFI","31 December 2015","1 Month","0.30"
"44","GFI","31 December 2015","1 Month","0.29"
"45","GFI","31 December 2015","1 Week","0.30"
"46","GFI","31 December 2015","1 Year","0.30"
"47","GFI","31 December 2015","1 Year","0.35"
"48","GFI","31 December 2015","3 Months","0.30"
"49","GFI","31 December 2015","3 Years","0.30"
"50","GFI","31 December 2015","3 Years","0.35"
"51","GFI","31 December 2015","5 Years","0.30"
"52","GFI","31 December 2015","5 Years","0.35"
"53","GFI","31 December 2015","6 Months","0.30"
"54","GFI","31 December 2015","6 Months","0.31"
"55","GFI","31 December 2015","Period †","High"
"56","GFI","31 December 2015","Period †","Open"
"57","GFI","31 December 2015","","1 year"
"58","GFI","31 December 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"59","GFI","31 December 2015","CFO growth","-"
"60","GFI","31 December 2015","Diluted continuous EPS growth","-"
"61","GFI","31 December 2015","Diluted EPS growth","-"
"62","GFI","31 December 2015","Dividend growth","-"
"63","GFI","31 December 2015","Equity per share growth","-"
"64","GFI","31 December 2015","FCF growth","-"
"65","GFI","31 December 2015","GFI Growth Ratios (-)",NA
"66","GFI","31 December 2015","Net income cont growth","-"
"67","GFI","31 December 2015","Net income growth","-"
"68","GFI","31 December 2015","Operating income growth","-"
"69","GFI","31 December 2015","Operating revenue growth","-"
"70","GFI","31 December 2015","Revenue growth","-"
"71","GFI","31 December 2015","Assets turnover","-"
"72","GFI","31 December 2015","Capital expenditure sales ratio","-"
"73","GFI","31 December 2015","Cash conversion cycle","-"
"74","GFI","31 December 2015","Days in inventory","-"
"75","GFI","31 December 2015","Days in payment","-"
"76","GFI","31 December 2015","Days in sales","-"
"77","GFI","31 December 2015","FCF net income ratio","-"
"78","GFI","31 December 2015","FCF sales ratio","-"
"79","GFI","31 December 2015","Fixed assets turnover","-"
"80","GFI","31 December 2015","GFI Efficency Ratios (30 December 2015)",NA
"81","GFI","31 December 2015","Inventory turnover","-"
"82","GFI","31 December 2015","Payable turnover","-"
"83","GFI","31 December 2015","Receivable turnover","-"
"84","GFI","31 December 2015","ROA","0.00"
"85","GFI","31 December 2015","ROE","0.00"
"86","GFI","31 December 2015","ROIC","0.00"
"87","GFI","31 December 2015","Current ratio","49.94"
"88","GFI","31 December 2015","Debt equity ratio","-"
"89","GFI","31 December 2015","Debt total capital ratio","-"
"90","GFI","31 December 2015","Financial leverage","1.02"
"91","GFI","31 December 2015","GFI Financial Health Ratios (30 December 2015)",NA
"92","GFI","31 December 2015","Quick ratio","49.94"
"93","GFI","31 December 2015","Total debt to equity","-"
"94","GFI","31 December 2015","Avg gross margin","-"
"95","GFI","31 December 2015","Avg net profit","-"
"96","GFI","31 December 2015","Avg post tax margin","-"
"97","GFI","31 December 2015","Avg pre tax marginr","-"
"98","GFI","31 December 2015","Avg ret assets","-"
"99","GFI","31 December 2015","Avg ret commonr","-"
"100","GFI","31 December 2015","Avg ret invested capital","-"
"101","GFI","31 December 2015","GFI Avearge Growth Ratios Over 5 Years (-)",NA
"102","GFI","31 December 2015","Growth ann capital spending","-"
"103","GFI","31 December 2015","Growth ann gross profit","-"
"104","GFI","31 December 2015","EBIT margin","-"
"105","GFI","31 December 2015","EBITDA margin","-"
"106","GFI","31 December 2015","EBT margin","-"
"107","GFI","31 December 2015","GFI Profitability Ratios (-)",NA
"108","GFI","31 December 2015","Gross margin","-"
"109","GFI","31 December 2015","Inc per employee tot ops","-"
"110","GFI","31 December 2015","Interest coverage","-"
"111","GFI","31 December 2015","Net margin","-"
"112","GFI","31 December 2015","Normalized net profit margin","-"
"113","GFI","31 December 2015","Operating margin","-"
"114","GFI","31 December 2015","Sales per employee","-"
"115","GFI","31 December 2015","Tax rate","-"
"116","GFI","31 December 2015","Book value per share","-"
"117","GFI","31 December 2015","Cash return","-"
"118","GFI","31 December 2015","CF per share","-"
"119","GFI","31 December 2015","Div payout 5 year","-"
"120","GFI","31 December 2015","Div payout tot ops","-"
"121","GFI","31 December 2015","Div rate","-"
"122","GFI","31 December 2015","Dividend yield","-"
"123","GFI","31 December 2015","GFI Valuation Ratios (-)",NA
"124","GFI","31 December 2015","Growth ann sales per share 5 ye...","-"
"125","GFI","31 December 2015","Payout ratio","-"
"126","GFI","31 December 2015","Price to book","-"
"127","GFI","31 December 2015","Price to cash flow","-"
"128","GFI","31 December 2015","Price to EPS","-"
"129","GFI","31 December 2015","Price to free cash flow","-"
"130","GFI","31 December 2015","Price to sales","-"
"131","GFI","31 December 2015","Ratio PE 5 year high","-"
"132","GFI","31 December 2015","Ratio PE 5 year low","-"
"133","GFI","31 December 2015","Sales per share","-"
"134","GFI","31 December 2015","Sustainable growth rate","-"
"135","GFI","31 December 2015","FTSE",NA
"136","GFI","31 December 2015","FTSE 100",NA
"137","GFI","31 December 2015","FX",NA
"138","GFI","31 December 2015","GBPUSD",NA
"139","GFI","31 December 2015","GKP",NA
"140","GFI","31 December 2015","Gulf Keyst..",NA
"141","GFI","31 December 2015","IOF",NA
"142","GFI","31 December 2015","Iofina",NA
"143","GFI","31 December 2015","LSE",NA
"144","GFI","31 December 2015","LSE",NA
"145","GFI","31 December 2015","LSE",NA
"146","GFI","31 December 2015","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"147","GFI","31 December 2015","QPP",NA
"148","GFI","31 December 2015","Quindell",NA
"149","GFI","31 December 2015","UK Sterlin..",NA
"150","GFI","31 December 2015","UKX",NA
