"","ticker","date","variable","value"
"1","GRA","30 June 2016","City/Country:","Brisbane, Australia"
"2","GRA","30 June 2016","Doing business in:","Australia (AU)"
"3","GRA","30 June 2016","End of fiscal year:","30 June 2016"
"4","GRA","30 June 2016","Place of incorporation:","Australia (AU)"
"5","GRA","30 June 2016","Trading currency:","AUD"
"6","GRA","30 June 2016","Year established:","2012"
"7","GRA","30 June 2016","Assets Turnover","-"
"8","GRA","30 June 2016","Book-Value pS","-"
"9","GRA","30 June 2016","Cash Flow pS","-"
"10","GRA","30 June 2016","Cash pS","-"
"11","GRA","30 June 2016","Current Ratio","8.04"
"12","GRA","30 June 2016","Dividend pS (DPS)","-"
"13","GRA","30 June 2016","Dividend Yield","-"
"14","GRA","30 June 2016","Domestic Sales","-"
"15","GRA","30 June 2016","Earnings pS (EPS)","-"
"16","GRA","30 June 2016","EBITDA Margin","-"
"17","GRA","30 June 2016","Effective Tax Rate","-"
"18","GRA","30 June 2016","Foreign Sales","-"
"19","GRA","30 June 2016","Free Cash Flow pS","-"
"20","GRA","30 June 2016","GRA KEY FIGURES (at previous day's close)",NA
"21","GRA","30 June 2016","Gross gearing","-"
"22","GRA","30 June 2016","Gross Profit Margin","-"
"23","GRA","30 June 2016","Interest Cover","-"
"24","GRA","30 June 2016","Latest Shares Outstanding","69.54"
"25","GRA","30 June 2016","Leverage Ratio (Assets/Equity)","1.08"
"26","GRA","30 June 2016","LT Debt/Total Capital","-"
"27","GRA","30 June 2016","Market Capitalisation","54.24"
"28","GRA","30 June 2016","Net Debt","-"
"29","GRA","30 June 2016","PE Ratio","-"
"30","GRA","30 June 2016","Pre-Tax Profit Margin","-"
"31","GRA","30 June 2016","Research & Devlopment (R&D) as ...","-"
"32","GRA","30 June 2016","Return on Assets (ROA)","-0.43"
"33","GRA","30 June 2016","Return on Capital Invested (ROC...","-0.46"
"34","GRA","30 June 2016","Return on Equity (ROE)","-0.46"
"35","GRA","30 June 2016","Sales per Employee","-"
"36","GRA","30 June 2016","Selling, General & Adm/tive (SG...","-"
"37","GRA","30 June 2016","Spread","0.12"
"38","GRA","30 June 2016","Tangible Book-Value pS","-"
"39","GRA","30 June 2016","Total Debt/Equity (Gearing Rati...","-"
"40","GRA","30 June 2016","Working Capital pS","-"
"41","GRA","30 June 2016","Yesterday's Close","0.78"
"42","GRA","30 June 2016","1 Month","0.78"
"43","GRA","30 June 2016","1 Month","0.70"
"44","GRA","30 June 2016","1 Week","0.78"
"45","GRA","30 June 2016","1 Week","0.73"
"46","GRA","30 June 2016","1 Year","0.78"
"47","GRA","30 June 2016","1 Year","0.30"
"48","GRA","30 June 2016","3 Months","0.78"
"49","GRA","30 June 2016","3 Months","0.35"
"50","GRA","30 June 2016","3 Years","0.78"
"51","GRA","30 June 2016","3 Years","0.30"
"52","GRA","30 June 2016","5 Years","0.78"
"53","GRA","30 June 2016","5 Years","0.30"
"54","GRA","30 June 2016","6 Months","0.78"
"55","GRA","30 June 2016","6 Months","0.39"
"56","GRA","30 June 2016","Period †","High"
"57","GRA","30 June 2016","Period †","Open"
"58","GRA","30 June 2016","","1 year"
"59","GRA","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"60","GRA","30 June 2016","CFO growth","-"
"61","GRA","30 June 2016","Diluted continuous EPS growth","-"
"62","GRA","30 June 2016","Diluted EPS growth","-"
"63","GRA","30 June 2016","Dividend growth","-"
"64","GRA","30 June 2016","Equity per share growth","-0.87"
"65","GRA","30 June 2016","FCF growth","-"
"66","GRA","30 June 2016","GRA Growth Ratios (30 June 2016)",NA
"67","GRA","30 June 2016","Net income cont growth","-"
"68","GRA","30 June 2016","Net income growth","-"
"69","GRA","30 June 2016","Operating income growth","-"
"70","GRA","30 June 2016","Operating revenue growth","-"
"71","GRA","30 June 2016","Revenue growth","-"
"72","GRA","30 June 2016","Assets turnover","-"
"73","GRA","30 June 2016","Capital expenditure sales ratio","-"
"74","GRA","30 June 2016","Cash conversion cycle","-"
"75","GRA","30 June 2016","Days in inventory","-"
"76","GRA","30 June 2016","Days in payment","-"
"77","GRA","30 June 2016","Days in sales","-"
"78","GRA","30 June 2016","FCF net income ratio","-"
"79","GRA","30 June 2016","FCF sales ratio","-"
"80","GRA","30 June 2016","Fixed assets turnover","-"
"81","GRA","30 June 2016","GRA Efficency Ratios (30 June 2016)",NA
"82","GRA","30 June 2016","Inventory turnover","-"
"83","GRA","30 June 2016","Payable turnover","-"
"84","GRA","30 June 2016","Receivable turnover","-"
"85","GRA","30 June 2016","ROA","-0.43"
"86","GRA","30 June 2016","ROE","-0.46"
"87","GRA","30 June 2016","ROIC","-0.46"
"88","GRA","30 June 2016","Current ratio","8.04"
"89","GRA","30 June 2016","Debt equity ratio","-"
"90","GRA","30 June 2016","Debt total capital ratio","-"
"91","GRA","30 June 2016","Financial leverage","1.08"
"92","GRA","30 June 2016","GRA Financial Health Ratios (30 June 2016)",NA
"93","GRA","30 June 2016","Quick ratio","8.04"
"94","GRA","30 June 2016","Total debt to equity","-"
"95","GRA","30 June 2016","Avg gross margin","-"
"96","GRA","30 June 2016","Avg net profit","-"
"97","GRA","30 June 2016","Avg post tax margin","-"
"98","GRA","30 June 2016","Avg pre tax marginr","-"
"99","GRA","30 June 2016","Avg ret assets","-"
"100","GRA","30 June 2016","Avg ret commonr","-"
"101","GRA","30 June 2016","Avg ret invested capital","-"
"102","GRA","30 June 2016","GRA Avearge Growth Ratios Over 5 Years (30 June 2016)",NA
"103","GRA","30 June 2016","Growth ann capital spending","-"
"104","GRA","30 June 2016","Growth ann gross profit","-"
"105","GRA","30 June 2016","EBIT margin","-"
"106","GRA","30 June 2016","EBITDA margin","-"
"107","GRA","30 June 2016","EBT margin","-"
"108","GRA","30 June 2016","GRA Profitability Ratios (-)",NA
"109","GRA","30 June 2016","Gross margin","-"
"110","GRA","30 June 2016","Inc per employee tot ops","-"
"111","GRA","30 June 2016","Interest coverage","-"
"112","GRA","30 June 2016","Net margin","-"
"113","GRA","30 June 2016","Normalized net profit margin","-"
"114","GRA","30 June 2016","Operating margin","-"
"115","GRA","30 June 2016","Sales per employee","-"
"116","GRA","30 June 2016","Tax rate","-"
"117","GRA","30 June 2016","Book value per share","0.05"
"118","GRA","30 June 2016","Cash return","0.00"
"119","GRA","30 June 2016","CF per share","0.00"
"120","GRA","30 June 2016","Div payout 5 year","-"
"121","GRA","30 June 2016","Div payout tot ops","-"
"122","GRA","30 June 2016","Div rate","-"
"123","GRA","30 June 2016","Dividend yield","-"
"124","GRA","30 June 2016","GRA Valuation Ratios (30 June 2016)",NA
"125","GRA","30 June 2016","Growth ann sales per share 5 ye...","-"
"126","GRA","30 June 2016","Payout ratio","-"
"127","GRA","30 June 2016","Price to book","7.60"
"128","GRA","30 June 2016","Price to cash flow","-"
"129","GRA","30 June 2016","Price to EPS","-"
"130","GRA","30 June 2016","Price to free cash flow","-"
