"","ticker","date","variable","value"
"1","GRY","30 June 2015","Address","228 Churchill Avenue  Subiaco, 6008"
"2","GRY","30 June 2015","City/Country:","Perth, Australia"
"3","GRY","30 June 2015","Company sector name:","Basic Materials"
"4","GRY","30 June 2015","End of fiscal year:","30 June 2015"
"5","GRY","30 June 2015","Industry group name","Metals & Mining"
"6","GRY","30 June 2015","Industry name:","Copper"
"7","GRY","30 June 2015","Web address:","http://www.gryphonminerals.com.au"
"8","GRY","30 June 2015","Assets Turnover","-"
"9","GRY","30 June 2015","Book-Value pS","-"
"10","GRY","30 June 2015","Cash Flow pS","-"
"11","GRY","30 June 2015","Cash pS","-"
"12","GRY","30 June 2015","Current Ratio","6.65"
"13","GRY","30 June 2015","Dividend pS (DPS)","-"
"14","GRY","30 June 2015","Dividend Yield","-"
"15","GRY","30 June 2015","Domestic Sales","-"
"16","GRY","30 June 2015","Earnings pS (EPS)","-"
"17","GRY","30 June 2015","EBITDA Margin","-"
"18","GRY","30 June 2015","Effective Tax Rate","-"
"19","GRY","30 June 2015","Foreign Sales","-"
"20","GRY","30 June 2015","Free Cash Flow pS","-"
"21","GRY","30 June 2015","Gross gearing","-"
"22","GRY","30 June 2015","Gross Profit Margin","-"
"23","GRY","30 June 2015","GRY KEY FIGURES (at previous day's close)",NA
"24","GRY","30 June 2015","Interest Cover","-"
"25","GRY","30 June 2015","Latest Shares Outstanding","422.80"
"26","GRY","30 June 2015","Leverage Ratio (Assets/Equity)","1.07"
"27","GRY","30 June 2015","LT Debt/Total Capital","-"
"28","GRY","30 June 2015","Market Capitalisation","95.13"
"29","GRY","30 June 2015","Net Debt","-"
"30","GRY","30 June 2015","PE Ratio","-"
"31","GRY","30 June 2015","Pre-Tax Profit Margin","-"
"32","GRY","30 June 2015","Research & Devlopment (R&D) as ...","-"
"33","GRY","30 June 2015","Return on Assets (ROA)","-0.15"
"34","GRY","30 June 2015","Return on Capital Invested (ROC...","-0.16"
"35","GRY","30 June 2015","Return on Equity (ROE)","-0.15"
"36","GRY","30 June 2015","Sales per Employee","-"
"37","GRY","30 June 2015","Selling, General & Adm/tive (SG...","-"
"38","GRY","30 June 2015","Spread","0.01"
"39","GRY","30 June 2015","Tangible Book-Value pS","-"
"40","GRY","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
"41","GRY","30 June 2015","Working Capital pS","-"
"42","GRY","30 June 2015","Yesterday's Close","0.23"
"43","GRY","30 June 2015","1 Month","0.23"
"44","GRY","30 June 2015","1 Month","0.19"
"45","GRY","30 June 2015","1 Week","0.23"
"46","GRY","30 June 2015","1 Week","0.22"
"47","GRY","30 June 2015","1 Year","0.23"
"48","GRY","30 June 2015","1 Year","0.05"
"49","GRY","30 June 2015","3 Months","0.23"
"50","GRY","30 June 2015","3 Months","0.19"
"51","GRY","30 June 2015","3 Years","0.23"
"52","GRY","30 June 2015","3 Years","0.15"
"53","GRY","30 June 2015","5 Years","1.67"
"54","GRY","30 June 2015","5 Years","1.21"
"55","GRY","30 June 2015","6 Months","0.23"
"56","GRY","30 June 2015","6 Months","0.08"
"57","GRY","30 June 2015","Period †","High"
"58","GRY","30 June 2015","Period †","Open"
"59","GRY","30 June 2015","","1 year"
"60","GRY","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"61","GRY","30 June 2015","CFO growth","-"
"62","GRY","30 June 2015","Diluted continuous EPS growth","-"
"63","GRY","30 June 2015","Diluted EPS growth","-"
"64","GRY","30 June 2015","Dividend growth","-"
"65","GRY","30 June 2015","Equity per share growth","-0.84"
"66","GRY","30 June 2015","FCF growth","-"
"67","GRY","30 June 2015","GRY Growth Ratios (30 June 2015)",NA
"68","GRY","30 June 2015","Net income cont growth","-"
"69","GRY","30 June 2015","Net income growth","-"
"70","GRY","30 June 2015","Operating income growth","-"
"71","GRY","30 June 2015","Operating revenue growth","0.00"
"72","GRY","30 June 2015","Revenue growth","0.00"
"73","GRY","30 June 2015","Assets turnover","-"
"74","GRY","30 June 2015","Capital expenditure sales ratio","-"
"75","GRY","30 June 2015","Cash conversion cycle","-"
"76","GRY","30 June 2015","Days in inventory","-"
"77","GRY","30 June 2015","Days in payment","-"
"78","GRY","30 June 2015","Days in sales","-"
"79","GRY","30 June 2015","FCF net income ratio","-"
"80","GRY","30 June 2015","FCF sales ratio","-"
"81","GRY","30 June 2015","Fixed assets turnover","-"
"82","GRY","30 June 2015","GRY Efficency Ratios (30 June 2015)",NA
"83","GRY","30 June 2015","Inventory turnover","-"
"84","GRY","30 June 2015","Payable turnover","-"
"85","GRY","30 June 2015","Receivable turnover","-"
"86","GRY","30 June 2015","ROA","-0.15"
"87","GRY","30 June 2015","ROE","-0.15"
"88","GRY","30 June 2015","ROIC","-0.16"
"89","GRY","30 June 2015","Current ratio","6.65"
"90","GRY","30 June 2015","Debt equity ratio","-"
"91","GRY","30 June 2015","Debt total capital ratio","-"
"92","GRY","30 June 2015","Financial leverage","1.07"
"93","GRY","30 June 2015","GRY Financial Health Ratios (30 June 2015)",NA
"94","GRY","30 June 2015","Quick ratio","-"
"95","GRY","30 June 2015","Total debt to equity","-"
"96","GRY","30 June 2015","Avg gross margin","-"
"97","GRY","30 June 2015","Avg net profit","-"
"98","GRY","30 June 2015","Avg post tax margin","-"
"99","GRY","30 June 2015","Avg pre tax marginr","-"
"100","GRY","30 June 2015","Avg ret assets","-0.11"
"101","GRY","30 June 2015","Avg ret commonr","-0.11"
"102","GRY","30 June 2015","Avg ret invested capital","-0.13"
"103","GRY","30 June 2015","Growth ann capital spending","0.88"
"104","GRY","30 June 2015","Growth ann gross profit","-"
"105","GRY","30 June 2015","GRY Avearge Growth Ratios Over 5 Years (30 June 2015)",NA
"106","GRY","30 June 2015","EBIT margin","-"
"107","GRY","30 June 2015","EBITDA margin","-"
"108","GRY","30 June 2015","EBT margin","-"
"109","GRY","30 June 2015","Gross margin","-"
"110","GRY","30 June 2015","GRY Profitability Ratios (-)",NA
"111","GRY","30 June 2015","Inc per employee tot ops","-"
"112","GRY","30 June 2015","Interest coverage","-"
"113","GRY","30 June 2015","Net margin","-"
"114","GRY","30 June 2015","Normalized net profit margin","-"
"115","GRY","30 June 2015","Operating margin","-"
"116","GRY","30 June 2015","Sales per employee","-"
"117","GRY","30 June 2015","Tax rate","-"
"118","GRY","30 June 2015","Book value per share","0.42"
"119","GRY","30 June 2015","Cash return","-"
"120","GRY","30 June 2015","CF per share","-0.01"
"121","GRY","30 June 2015","Div payout 5 year","-"
"122","GRY","30 June 2015","Div payout tot ops","-"
"123","GRY","30 June 2015","Div rate","-"
"124","GRY","30 June 2015","Dividend yield","-"
"125","GRY","30 June 2015","Growth ann sales per share 5 ye...","-"
"126","GRY","30 June 2015","GRY Valuation Ratios (30 June 2015)",NA
"127","GRY","30 June 2015","Payout ratio","0.00"
"128","GRY","30 June 2015","Price to book","0.15"
"129","GRY","30 June 2015","Price to cash flow","-9.99"
"130","GRY","30 June 2015","Price to EPS","-0.53"
"131","GRY","30 June 2015","Price to free cash flow","-0.63"
"132","GRY","30 June 2015","Price to sales","-"
"133","GRY","30 June 2015","Ratio PE 5 year high","-17.77"
"134","GRY","30 June 2015","Ratio PE 5 year low","-0.37"
"135","GRY","30 June 2015","Sales per share","0.00"
"136","GRY","30 June 2015","Sustainable growth rate","-0.25"
"137","GRY","30 June 2015","FTSE",NA
"138","GRY","30 June 2015","FTSE 100",NA
"139","GRY","30 June 2015","FX",NA
"140","GRY","30 June 2015","GBPUSD",NA
"141","GRY","30 June 2015","GKP",NA
"142","GRY","30 June 2015","Gulf Keyst..",NA
"143","GRY","30 June 2015","IOF",NA
"144","GRY","30 June 2015","Iofina",NA
"145","GRY","30 June 2015","LSE",NA
"146","GRY","30 June 2015","LSE",NA
"147","GRY","30 June 2015","LSE",NA
"148","GRY","30 June 2015","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"149","GRY","30 June 2015","QPP",NA
"150","GRY","30 June 2015","Quindell",NA
"151","GRY","30 June 2015","UK Sterlin..",NA
"152","GRY","30 June 2015","UKX",NA
