"","ticker","date","variable","value"
"1","GUD","30 June 2016","Auditor:","KPMG"
"2","GUD","30 June 2016","Doing business in:","Australia (AU)"
"3","GUD","30 June 2016","End of fiscal year:","30 June 2016"
"4","GUD","30 June 2016","Fax:","+61 392433300"
"5","GUD","30 June 2016","Place of incorporation:","Australia (AU)"
"6","GUD","30 June 2016","Tel.:","+61 392433311"
"7","GUD","30 June 2016","Trading currency:","AUD"
"8","GUD","30 June 2016","Assets Turnover","-"
"9","GUD","30 June 2016","Book-Value pS","-"
"10","GUD","30 June 2016","Cash Flow pS","-"
"11","GUD","30 June 2016","Cash pS","-"
"12","GUD","30 June 2016","Current Ratio","2.03"
"13","GUD","30 June 2016","Dividend pS (DPS)","-"
"14","GUD","30 June 2016","Dividend Yield","-"
"15","GUD","30 June 2016","Domestic Sales","-"
"16","GUD","30 June 2016","Earnings pS (EPS)","-"
"17","GUD","30 June 2016","EBITDA Margin","-"
"18","GUD","30 June 2016","Effective Tax Rate","-"
"19","GUD","30 June 2016","Foreign Sales","-"
"20","GUD","30 June 2016","Free Cash Flow pS","-"
"21","GUD","30 June 2016","Gross gearing","-"
"22","GUD","30 June 2016","Gross Profit Margin","-"
"23","GUD","30 June 2016","GUD KEY FIGURES (at previous day's close)",NA
"24","GUD","30 June 2016","Interest Cover","-"
"25","GUD","30 June 2016","Latest Shares Outstanding","85.68"
"26","GUD","30 June 2016","Leverage Ratio (Assets/Equity)","2.54"
"27","GUD","30 June 2016","LT Debt/Total Capital","0.41"
"28","GUD","30 June 2016","Market Capitalisation","877.41"
"29","GUD","30 June 2016","Net Debt","-"
"30","GUD","30 June 2016","PE Ratio","-"
"31","GUD","30 June 2016","Pre-Tax Profit Margin","-"
"32","GUD","30 June 2016","Research & Devlopment (R&D) as ...","-"
"33","GUD","30 June 2016","Return on Assets (ROA)","-0.08"
"34","GUD","30 June 2016","Return on Capital Invested (ROC...","-0.07"
"35","GUD","30 June 2016","Return on Equity (ROE)","-0.15"
"36","GUD","30 June 2016","Sales per Employee","-"
"37","GUD","30 June 2016","Selling, General & Adm/tive (SG...","-"
"38","GUD","30 June 2016","Spread","0.02"
"39","GUD","30 June 2016","Tangible Book-Value pS","-"
"40","GUD","30 June 2016","Total Debt/Equity (Gearing Rati...","0.77"
"41","GUD","30 June 2016","Working Capital pS","-"
"42","GUD","30 June 2016","Yesterday's Close","10.24"
"43","GUD","30 June 2016","1 Month","10.35"
"44","GUD","30 June 2016","1 Month","9.90"
"45","GUD","30 June 2016","1 Week","10.34"
"46","GUD","30 June 2016","1 Week","10.25"
"47","GUD","30 June 2016","1 Year","10.39"
"48","GUD","30 June 2016","1 Year","8.55"
"49","GUD","30 June 2016","3 Months","10.39"
"50","GUD","30 June 2016","3 Months","9.25"
"51","GUD","30 June 2016","3 Years","10.39"
"52","GUD","30 June 2016","3 Years","6.08"
"53","GUD","30 June 2016","5 Years","10.39"
"54","GUD","30 June 2016","5 Years","6.90"
"55","GUD","30 June 2016","6 Months","10.39"
"56","GUD","30 June 2016","6 Months","6.90"
"57","GUD","30 June 2016","Period †","High"
"58","GUD","30 June 2016","Period †","Open"
"59","GUD","30 June 2016","","1 year"
"60","GUD","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"61","GUD","30 June 2016","CFO growth","1.33"
"62","GUD","30 June 2016","Diluted continuous EPS growth","-"
"63","GUD","30 June 2016","Diluted EPS growth","-"
"64","GUD","30 June 2016","Dividend growth","0.11"
"65","GUD","30 June 2016","Equity per share growth","-0.25"
"66","GUD","30 June 2016","FCF growth","2.08"
"67","GUD","30 June 2016","GUD Growth Ratios (30 June 2016)",NA
"68","GUD","30 June 2016","Net income cont growth","-"
"69","GUD","30 June 2016","Net income growth","-"
"70","GUD","30 June 2016","Operating income growth","-"
"71","GUD","30 June 2016","Operating revenue growth","-0.03"
"72","GUD","30 June 2016","Revenue growth","-0.03"
"73","GUD","30 June 2016","Assets turnover","1.05"
"74","GUD","30 June 2016","Capital expenditure sales ratio","0.02"
"75","GUD","30 June 2016","Cash conversion cycle","123.58"
"76","GUD","30 June 2016","Days in inventory","119.66"
"77","GUD","30 June 2016","Days in payment","66.69"
"78","GUD","30 June 2016","Days in sales","70.61"
"79","GUD","30 June 2016","FCF net income ratio","-"
"80","GUD","30 June 2016","FCF sales ratio","0.10"
"81","GUD","30 June 2016","Fixed assets turnover","17.69"
"82","GUD","30 June 2016","GUD Efficency Ratios (30 June 2016)",NA
"83","GUD","30 June 2016","Inventory turnover","3.05"
"84","GUD","30 June 2016","Payable turnover","5.47"
"85","GUD","30 June 2016","Receivable turnover","5.17"
"86","GUD","30 June 2016","ROA","-0.08"
"87","GUD","30 June 2016","ROE","-0.15"
"88","GUD","30 June 2016","ROIC","-0.07"
"89","GUD","30 June 2016","Current ratio","2.03"
"90","GUD","30 June 2016","Debt equity ratio","0.69"
"91","GUD","30 June 2016","Debt total capital ratio","0.41"
"92","GUD","30 June 2016","Financial leverage","2.54"
"93","GUD","30 June 2016","GUD Financial Health Ratios (30 June 2016)",NA
"94","GUD","30 June 2016","Quick ratio","-"
"95","GUD","30 June 2016","Total debt to equity","0.77"
"96","GUD","30 June 2016","Avg gross margin","0.38"
"97","GUD","30 June 2016","Avg net profit","0.04"
"98","GUD","30 June 2016","Avg post tax margin","0.04"
"99","GUD","30 June 2016","Avg pre tax marginr","0.07"
"100","GUD","30 June 2016","Avg ret assets","0.06"
"101","GUD","30 June 2016","Avg ret commonr","0.10"
"102","GUD","30 June 2016","Avg ret invested capital","0.10"
"103","GUD","30 June 2016","Growth ann capital spending","-0.04"
"104","GUD","30 June 2016","Growth ann gross profit","0.00"
"105","GUD","30 June 2016","GUD Avearge Growth Ratios Over 5 Years (30 June 2016)",NA
"106","GUD","30 June 2016","EBIT margin","-0.01"
"107","GUD","30 June 2016","EBITDA margin","-0.00"
"108","GUD","30 June 2016","EBT margin","-0.04"
"109","GUD","30 June 2016","Gross margin","0.40"
"110","GUD","30 June 2016","GUD Profitability Ratios (30 June 2016)",NA
"111","GUD","30 June 2016","Inc per employee tot ops","-"
"112","GUD","30 June 2016","Interest coverage","-0.52"
"113","GUD","30 June 2016","Net margin","-0.07"
"114","GUD","30 June 2016","Normalized net profit margin","-0.07"
"115","GUD","30 June 2016","Operating margin","-0.02"
"116","GUD","30 June 2016","Sales per employee","-"
"117","GUD","30 June 2016","Tax rate","-"
"118","GUD","30 June 2016","Book value per share","3.81"
"119","GUD","30 June 2016","Cash return","0.03"
"120","GUD","30 June 2016","CF per share","0.41"
"121","GUD","30 June 2016","Div payout 5 year","1.52"
"122","GUD","30 June 2016","Div payout tot ops","1.30"
"123","GUD","30 June 2016","Div rate","0.66"
"124","GUD","30 June 2016","Dividend yield","0.07"
"125","GUD","30 June 2016","Growth ann sales per share 5 ye...","-0.01"
"126","GUD","30 June 2016","GUD Valuation Ratios (30 June 2016)",NA
"127","GUD","30 June 2016","Payout ratio","1.20"
"128","GUD","30 June 2016","Price to book","2.39"
"129","GUD","30 June 2016","Price to cash flow","22.17"
"130","GUD","30 June 2016","Price to EPS","20.12"
"131","GUD","30 June 2016","Price to free cash flow","34.72"
"132","GUD","30 June 2016","Price to sales","1.09"
"133","GUD","30 June 2016","Ratio PE 5 year high","22.47"
"134","GUD","30 June 2016","Ratio PE 5 year low","10.44"
"135","GUD","30 June 2016","Sales per share","8.33"
"136","GUD","30 June 2016","Sustainable growth rate","-0.02"
"137","GUD","30 June 2016","FTSE",NA
"138","GUD","30 June 2016","FTSE 100",NA
"139","GUD","30 June 2016","FX",NA
"140","GUD","30 June 2016","GBPUSD",NA
"141","GUD","30 June 2016","GKP",NA
"142","GUD","30 June 2016","Gulf Keyst..",NA
"143","GUD","30 June 2016","IOF",NA
"144","GUD","30 June 2016","Iofina",NA
"145","GUD","30 June 2016","LSE",NA
"146","GUD","30 June 2016","LSE",NA
"147","GUD","30 June 2016","LSE",NA
"148","GUD","30 June 2016","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"149","GUD","30 June 2016","QPP",NA
"150","GUD","30 June 2016","Quindell",NA
"151","GUD","30 June 2016","UK Sterlin..",NA
"152","GUD","30 June 2016","UKX",NA
