"","ticker","date","variable","value"
"1","IAM","30 June 2015","Address","330 Churchill Avenue  Suite 9, 6008"
"2","IAM","30 June 2015","Auditor:","HLB Mann Judd"
"3","IAM","30 June 2015","City/Country:","Subiaco, Australia"
"4","IAM","30 June 2015","Company sector name:","Basic Materials"
"5","IAM","30 June 2015","End of fiscal year:","30 June 2015"
"6","IAM","30 June 2015","Industry group name","Metals & Mining"
"7","IAM","30 June 2015","Industry name:","Industrial Metals & Minerals"
"8","IAM","30 June 2015","Web address:","http://www.resourcestar.com.au"
"9","IAM","30 June 2015","Assets Turnover","-"
"10","IAM","30 June 2015","Book-Value pS","-"
"11","IAM","30 June 2015","Cash Flow pS","-"
"12","IAM","30 June 2015","Cash pS","-"
"13","IAM","30 June 2015","Current Ratio","2.79"
"14","IAM","30 June 2015","Dividend pS (DPS)","-"
"15","IAM","30 June 2015","Dividend Yield","-"
"16","IAM","30 June 2015","Domestic Sales","-"
"17","IAM","30 June 2015","Earnings pS (EPS)","-"
"18","IAM","30 June 2015","EBITDA Margin","-"
"19","IAM","30 June 2015","Effective Tax Rate","-"
"20","IAM","30 June 2015","Foreign Sales","-"
"21","IAM","30 June 2015","Free Cash Flow pS","-"
"22","IAM","30 June 2015","Gross gearing","-"
"23","IAM","30 June 2015","Gross Profit Margin","-"
"24","IAM","30 June 2015","IAM KEY FIGURES (at previous day's close)",NA
"25","IAM","30 June 2015","Interest Cover","-"
"26","IAM","30 June 2015","Latest Shares Outstanding","1,587.12"
"27","IAM","30 June 2015","Leverage Ratio (Assets/Equity)","1.36"
"28","IAM","30 June 2015","LT Debt/Total Capital","-"
"29","IAM","30 June 2015","Market Capitalisation","61.90"
"30","IAM","30 June 2015","Net Debt","-"
"31","IAM","30 June 2015","PE Ratio","-"
"32","IAM","30 June 2015","Pre-Tax Profit Margin","-"
"33","IAM","30 June 2015","Research & Devlopment (R&D) as ...","-"
"34","IAM","30 June 2015","Return on Assets (ROA)","-2.45"
"35","IAM","30 June 2015","Return on Capital Invested (ROC...","-9.33"
"36","IAM","30 June 2015","Return on Equity (ROE)","-9.33"
"37","IAM","30 June 2015","Sales per Employee","-"
"38","IAM","30 June 2015","Selling, General & Adm/tive (SG...","-"
"39","IAM","30 June 2015","Spread","0.00"
"40","IAM","30 June 2015","Tangible Book-Value pS","-"
"41","IAM","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
"42","IAM","30 June 2015","Working Capital pS","-"
"43","IAM","30 June 2015","Yesterday's Close","0.04"
"44","IAM","30 June 2015","1 Month","0.04"
"45","IAM","30 June 2015","1 Month","0.05"
"46","IAM","30 June 2015","1 Week","0.04"
"47","IAM","30 June 2015","1 Year","0.04"
"48","IAM","30 June 2015","1 Year","0.05"
"49","IAM","30 June 2015","3 Months","0.04"
"50","IAM","30 June 2015","3 Months","0.05"
"51","IAM","30 June 2015","3 Years","0.04"
"52","IAM","30 June 2015","3 Years","0.05"
"53","IAM","30 June 2015","5 Years","0.04"
"54","IAM","30 June 2015","5 Years","0.05"
"55","IAM","30 June 2015","6 Months","0.04"
"56","IAM","30 June 2015","6 Months","0.05"
"57","IAM","30 June 2015","Period †","High"
"58","IAM","30 June 2015","Period †","Open"
"59","IAM","30 June 2015","","1 year"
"60","IAM","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"61","IAM","30 June 2015","CFO growth","-"
"62","IAM","30 June 2015","Diluted continuous EPS growth","-"
"63","IAM","30 June 2015","Diluted EPS growth","-"
"64","IAM","30 June 2015","Dividend growth","-"
"65","IAM","30 June 2015","Equity per share growth","-"
"66","IAM","30 June 2015","FCF growth","-"
"67","IAM","30 June 2015","IAM Growth Ratios (30 June 2015)",NA
"68","IAM","30 June 2015","Net income cont growth","-"
"69","IAM","30 June 2015","Net income growth","-"
"70","IAM","30 June 2015","Operating income growth","-"
"71","IAM","30 June 2015","Operating revenue growth","0.00"
"72","IAM","30 June 2015","Revenue growth","0.00"
"73","IAM","30 June 2015","Assets turnover","-"
"74","IAM","30 June 2015","Capital expenditure sales ratio","-"
"75","IAM","30 June 2015","Cash conversion cycle","-"
"76","IAM","30 June 2015","Days in inventory","-"
"77","IAM","30 June 2015","Days in payment","-"
"78","IAM","30 June 2015","Days in sales","-"
"79","IAM","30 June 2015","FCF net income ratio","-"
"80","IAM","30 June 2015","FCF sales ratio","-"
"81","IAM","30 June 2015","Fixed assets turnover","-"
"82","IAM","30 June 2015","IAM Efficency Ratios (30 June 2015)",NA
"83","IAM","30 June 2015","Inventory turnover","-"
"84","IAM","30 June 2015","Payable turnover","-"
"85","IAM","30 June 2015","Receivable turnover","-"
"86","IAM","30 June 2015","ROA","-2.45"
"87","IAM","30 June 2015","ROE","-9.33"
"88","IAM","30 June 2015","ROIC","-9.33"
"89","IAM","30 June 2015","Current ratio","2.79"
"90","IAM","30 June 2015","Debt equity ratio","-"
"91","IAM","30 June 2015","Debt total capital ratio","-"
"92","IAM","30 June 2015","Financial leverage","1.36"
"93","IAM","30 June 2015","IAM Financial Health Ratios (30 June 2015)",NA
"94","IAM","30 June 2015","Quick ratio","2.75"
"95","IAM","30 June 2015","Total debt to equity","-"
"96","IAM","30 June 2015","Avg gross margin","-"
"97","IAM","30 June 2015","Avg net profit","-"
"98","IAM","30 June 2015","Avg post tax margin","-"
"99","IAM","30 June 2015","Avg pre tax marginr","-"
"100","IAM","30 June 2015","Avg ret assets","-1.46"
"101","IAM","30 June 2015","Avg ret commonr","-"
"102","IAM","30 June 2015","Avg ret invested capital","-"
"103","IAM","30 June 2015","Growth ann capital spending","-0.40"
"104","IAM","30 June 2015","Growth ann gross profit","-"
"105","IAM","30 June 2015","IAM Avearge Growth Ratios Over 5 Years (30 June 2015)",NA
"106","IAM","30 June 2015","EBIT margin","-"
"107","IAM","30 June 2015","EBITDA margin","-"
"108","IAM","30 June 2015","EBT margin","-"
"109","IAM","30 June 2015","Gross margin","-"
"110","IAM","30 June 2015","IAM Profitability Ratios (30 June 2015)",NA
"111","IAM","30 June 2015","Inc per employee tot ops","-"
"112","IAM","30 June 2015","Interest coverage","-375.04"
"113","IAM","30 June 2015","Net margin","-"
"114","IAM","30 June 2015","Normalized net profit margin","-"
"115","IAM","30 June 2015","Operating margin","-"
"116","IAM","30 June 2015","Sales per employee","-"
"117","IAM","30 June 2015","Tax rate","-"
"118","IAM","30 June 2015","Book value per share","-0.00"
"119","IAM","30 June 2015","Cash return","-0.07"
"120","IAM","30 June 2015","CF per share","-0.00"
"121","IAM","30 June 2015","Div payout 5 year","-"
"122","IAM","30 June 2015","Div payout tot ops","-"
"123","IAM","30 June 2015","Div rate","-"
"124","IAM","30 June 2015","Dividend yield","-"
"125","IAM","30 June 2015","Growth ann sales per share 5 ye...","-"
"126","IAM","30 June 2015","IAM Valuation Ratios (30 June 2015)",NA
"127","IAM","30 June 2015","Payout ratio","0.00"
"128","IAM","30 June 2015","Price to book","-44.05"
"129","IAM","30 June 2015","Price to cash flow","-7.14"
"130","IAM","30 June 2015","Price to EPS","-1.87"
"131","IAM","30 June 2015","Price to free cash flow","-4.22"
"132","IAM","30 June 2015","Price to sales","-"
"133","IAM","30 June 2015","Ratio PE 5 year high","-54.74"
"134","IAM","30 June 2015","Ratio PE 5 year low","-0.80"
"135","IAM","30 June 2015","Sales per share","0.00"
"136","IAM","30 June 2015","Sustainable growth rate","-"
"137","IAM","30 June 2015","FTSE",NA
"138","IAM","30 June 2015","FTSE 100",NA
"139","IAM","30 June 2015","FX",NA
"140","IAM","30 June 2015","GBPUSD",NA
"141","IAM","30 June 2015","GKP",NA
"142","IAM","30 June 2015","Gulf Keyst..",NA
"143","IAM","30 June 2015","IOF",NA
"144","IAM","30 June 2015","Iofina",NA
"145","IAM","30 June 2015","LSE",NA
"146","IAM","30 June 2015","LSE",NA
"147","IAM","30 June 2015","LSE",NA
"148","IAM","30 June 2015","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"149","IAM","30 June 2015","QPP",NA
"150","IAM","30 June 2015","Quindell",NA
"151","IAM","30 June 2015","UK Sterlin..",NA
"152","IAM","30 June 2015","UKX",NA
