"","ticker","date","variable","value"
"1","INA","30 June 2016","Address","151 Castlereagh Street  Level 5, 2000"
"2","INA","30 June 2016","Auditor:","EY"
"3","INA","30 June 2016","City/Country:","Sydney, Australia"
"4","INA","30 June 2016","Company sector name:","Real Estate"
"5","INA","30 June 2016","End of fiscal year:","30 June 2016"
"6","INA","30 June 2016","Industry group name","REITs"
"7","INA","30 June 2016","Industry name:","REIT - Residential"
"8","INA","30 June 2016","Web address:","http://www.ingrealestate.com.au"
"9","INA","30 June 2016","Assets Turnover","-"
"10","INA","30 June 2016","Book-Value pS","-"
"11","INA","30 June 2016","Cash Flow pS","-"
"12","INA","30 June 2016","Cash pS","-"
"13","INA","30 June 2016","Current Ratio","0.17"
"14","INA","30 June 2016","Dividend pS (DPS)","-"
"15","INA","30 June 2016","Dividend Yield","-"
"16","INA","30 June 2016","Domestic Sales","-"
"17","INA","30 June 2016","Earnings pS (EPS)","-"
"18","INA","30 June 2016","EBITDA Margin","-"
"19","INA","30 June 2016","Effective Tax Rate","-"
"20","INA","30 June 2016","Foreign Sales","-"
"21","INA","30 June 2016","Free Cash Flow pS","-"
"22","INA","30 June 2016","Gross gearing","-"
"23","INA","30 June 2016","Gross Profit Margin","-"
"24","INA","30 June 2016","INA KEY FIGURES (at previous day's close)",NA
"25","INA","30 June 2016","Interest Cover","-"
"26","INA","30 June 2016","Latest Shares Outstanding","176.97"
"27","INA","30 June 2016","Leverage Ratio (Assets/Equity)","1.82"
"28","INA","30 June 2016","LT Debt/Total Capital","0.20"
"29","INA","30 June 2016","Market Capitalisation","494.64"
"30","INA","30 June 2016","Net Debt","-"
"31","INA","30 June 2016","PE Ratio","-"
"32","INA","30 June 2016","Pre-Tax Profit Margin","-"
"33","INA","30 June 2016","Research & Devlopment (R&D) as ...","-"
"34","INA","30 June 2016","Return on Assets (ROA)","0.03"
"35","INA","30 June 2016","Return on Capital Invested (ROC...","0.05"
"36","INA","30 June 2016","Return on Equity (ROE)","0.06"
"37","INA","30 June 2016","Sales per Employee","-"
"38","INA","30 June 2016","Selling, General & Adm/tive (SG...","-"
"39","INA","30 June 2016","Spread","0.00"
"40","INA","30 June 2016","Tangible Book-Value pS","-"
"41","INA","30 June 2016","Total Debt/Equity (Gearing Rati...","0.74"
"42","INA","30 June 2016","Working Capital pS","-"
"43","INA","30 June 2016","Yesterday's Close","2.80"
"44","INA","30 June 2016","1 Month","2.92"
"45","INA","30 June 2016","1 Month","2.86"
"46","INA","30 June 2016","1 Week","2.82"
"47","INA","30 June 2016","1 Year","3.13"
"48","INA","30 June 2016","1 Year","0.43"
"49","INA","30 June 2016","3 Months","2.96"
"50","INA","30 June 2016","3 Months","2.93"
"51","INA","30 June 2016","3 Years","3.13"
"52","INA","30 June 2016","3 Years","0.47"
"53","INA","30 June 2016","5 Years","3.13"
"54","INA","30 June 2016","5 Years","0.19"
"55","INA","30 June 2016","6 Months","3.13"
"56","INA","30 June 2016","6 Months","2.86"
"57","INA","30 June 2016","Period †","High"
"58","INA","30 June 2016","Period †","Open"
"59","INA","30 June 2016","","1 year"
"60","INA","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"61","INA","30 June 2016","CFO growth","1.33"
"62","INA","30 June 2016","Diluted continuous EPS growth","0.32"
"63","INA","30 June 2016","Diluted EPS growth","0.33"
"64","INA","30 June 2016","Dividend growth","0.08"
"65","INA","30 June 2016","Equity per share growth","0.05"
"66","INA","30 June 2016","FCF growth","1.60"
"67","INA","30 June 2016","INA Growth Ratios (30 June 2016)",NA
"68","INA","30 June 2016","Net income cont growth","-0.06"
"69","INA","30 June 2016","Net income growth","-0.06"
