"","ticker","date","variable","value"
"1","IPD","30 June 2016","Address","50 Parker Court  Unit 1, 4008"
"2","IPD","30 June 2016","Auditor:","Ernst & Young"
"3","IPD","30 June 2016","City/Country:","Pinkenba, Australia"
"4","IPD","30 June 2016","Company sector name:","Healthcare"
"5","IPD","30 June 2016","End of fiscal year:","30 June 2016"
"6","IPD","30 June 2016","Industry group name","Medical Devices"
"7","IPD","30 June 2016","Industry name:","Medical Devices"
"8","IPD","30 June 2016","Web address:","http://www.impedimed.com"
"9","IPD","30 June 2016","Assets Turnover","-"
"10","IPD","30 June 2016","Book-Value pS","-"
"11","IPD","30 June 2016","Cash Flow pS","-"
"12","IPD","30 June 2016","Cash pS","-"
"13","IPD","30 June 2016","Current Ratio","16.85"
"14","IPD","30 June 2016","Dividend pS (DPS)","-"
"15","IPD","30 June 2016","Dividend Yield","-"
"16","IPD","30 June 2016","Domestic Sales","-"
"17","IPD","30 June 2016","Earnings pS (EPS)","-"
"18","IPD","30 June 2016","EBITDA Margin","-"
"19","IPD","30 June 2016","Effective Tax Rate","-"
"20","IPD","30 June 2016","Foreign Sales","-"
"21","IPD","30 June 2016","Free Cash Flow pS","-"
"22","IPD","30 June 2016","Gross gearing","-"
"23","IPD","30 June 2016","Gross Profit Margin","-"
"24","IPD","30 June 2016","Interest Cover","-"
"25","IPD","30 June 2016","IPD KEY FIGURES (at previous day's close)",NA
"26","IPD","30 June 2016","Latest Shares Outstanding","374.23"
"27","IPD","30 June 2016","Leverage Ratio (Assets/Equity)","1.06"
"28","IPD","30 June 2016","LT Debt/Total Capital","-"
"29","IPD","30 June 2016","Market Capitalisation","598.78"
"30","IPD","30 June 2016","Net Debt","-"
"31","IPD","30 June 2016","PE Ratio","-"
"32","IPD","30 June 2016","Pre-Tax Profit Margin","-"
"33","IPD","30 June 2016","Research & Devlopment (R&D) as ...","-"
"34","IPD","30 June 2016","Return on Assets (ROA)","-0.40"
"35","IPD","30 June 2016","Return on Capital Invested (ROC...","-0.44"
"36","IPD","30 June 2016","Return on Equity (ROE)","-0.43"
"37","IPD","30 June 2016","Sales per Employee","-"
"38","IPD","30 June 2016","Selling, General & Adm/tive (SG...","-"
"39","IPD","30 June 2016","Spread","-0.15"
"40","IPD","30 June 2016","Tangible Book-Value pS","-"
"41","IPD","30 June 2016","Total Debt/Equity (Gearing Rati...","-"
"42","IPD","30 June 2016","Working Capital pS","-"
"43","IPD","30 June 2016","Yesterday's Close","1.60"
"44","IPD","30 June 2016","1 Month","1.73"
"45","IPD","30 June 2016","1 Month","1.59"
"46","IPD","30 June 2016","1 Week","1.73"
"47","IPD","30 June 2016","1 Week","1.62"
"48","IPD","30 June 2016","1 Year","1.82"
"49","IPD","30 June 2016","1 Year","0.89"
"50","IPD","30 June 2016","3 Months","1.82"
"51","IPD","30 June 2016","3 Months","1.02"
"52","IPD","30 June 2016","3 Years","1.82"
"53","IPD","30 June 2016","3 Years","0.18"
"54","IPD","30 June 2016","5 Years","1.82"
"55","IPD","30 June 2016","5 Years","0.47"
"56","IPD","30 June 2016","6 Months","1.82"
"57","IPD","30 June 2016","6 Months","0.90"
"58","IPD","30 June 2016","Period †","High"
"59","IPD","30 June 2016","Period †","Open"
"60","IPD","30 June 2016","","1 year"
"61","IPD","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"62","IPD","30 June 2016","CFO growth","-"
"63","IPD","30 June 2016","Diluted continuous EPS growth","-"
"64","IPD","30 June 2016","Diluted EPS growth","-"
"65","IPD","30 June 2016","Dividend growth","-"
"66","IPD","30 June 2016","Equity per share growth","0.92"
"67","IPD","30 June 2016","FCF growth","-"
"68","IPD","30 June 2016","IPD Growth Ratios (30 June 2016)",NA
"69","IPD","30 June 2016","Net income cont growth","-"
"70","IPD","30 June 2016","Net income growth","-"
"71","IPD","30 June 2016","Operating income growth","-"
"72","IPD","30 June 2016","Operating revenue growth","0.20"
"73","IPD","30 June 2016","Revenue growth","0.20"
"74","IPD","30 June 2016","Assets turnover","0.09"
"75","IPD","30 June 2016","Capital expenditure sales ratio","0.02"
"76","IPD","30 June 2016","Cash conversion cycle","137.04"
"77","IPD","30 June 2016","Days in inventory","347.71"
"78","IPD","30 June 2016","Days in payment","341.14"
"79","IPD","30 June 2016","Days in sales","130.47"
"80","IPD","30 June 2016","FCF net income ratio","-"
"81","IPD","30 June 2016","FCF sales ratio","-"
"82","IPD","30 June 2016","Fixed assets turnover","16.69"
"83","IPD","30 June 2016","Inventory turnover","1.05"
"84","IPD","30 June 2016","IPD Efficency Ratios (30 June 2016)",NA
"85","IPD","30 June 2016","Payable turnover","1.07"
"86","IPD","30 June 2016","Receivable turnover","2.80"
"87","IPD","30 June 2016","ROA","-0.40"
"88","IPD","30 June 2016","ROE","-0.43"
"89","IPD","30 June 2016","ROIC","-0.44"
"90","IPD","30 June 2016","Current ratio","16.85"
"91","IPD","30 June 2016","Debt equity ratio","-"
"92","IPD","30 June 2016","Debt total capital ratio","-"
"93","IPD","30 June 2016","Financial leverage","1.06"
"94","IPD","30 June 2016","IPD Financial Health Ratios (30 June 2016)",NA
"95","IPD","30 June 2016","Quick ratio","16.49"
"96","IPD","30 June 2016","Total debt to equity","-"
"97","IPD","30 June 2016","Avg gross margin","0.64"
"98","IPD","30 June 2016","Avg net profit","-3.41"
"99","IPD","30 June 2016","Avg post tax margin","-3.41"
"100","IPD","30 June 2016","Avg pre tax marginr","-3.41"
"101","IPD","30 June 2016","Avg ret assets","-0.54"
"102","IPD","30 June 2016","Avg ret commonr","-0.59"
"103","IPD","30 June 2016","Avg ret invested capital","-0.60"
"104","IPD","30 June 2016","Growth ann capital spending","-"
"105","IPD","30 June 2016","Growth ann gross profit","0.14"
"106","IPD","30 June 2016","IPD Avearge Growth Ratios Over 5 Years (30 June 2016)",NA
"107","IPD","30 June 2016","EBIT margin","-4.92"
"108","IPD","30 June 2016","EBITDA margin","-4.89"
"109","IPD","30 June 2016","EBT margin","-4.49"
"110","IPD","30 June 2016","Gross margin","0.73"
"111","IPD","30 June 2016","Inc per employee tot ops","-"
"112","IPD","30 June 2016","Interest coverage","-"
"113","IPD","30 June 2016","IPD Profitability Ratios (30 June 2016)",NA
"114","IPD","30 June 2016","Net margin","-4.49"
"115","IPD","30 June 2016","Normalized net profit margin","-4.49"
"116","IPD","30 June 2016","Operating margin","-4.92"
"117","IPD","30 June 2016","Sales per employee","134,674.42"
"118","IPD","30 June 2016","Tax rate","-"
"119","IPD","30 June 2016","Book value per share","0.09"
"120","IPD","30 June 2016","Cash return","-0.03"
"121","IPD","30 June 2016","CF per share","-0.04"
"122","IPD","30 June 2016","Div payout 5 year","-"
"123","IPD","30 June 2016","Div payout tot ops","-"
"124","IPD","30 June 2016","Div rate","-"
"125","IPD","30 June 2016","Dividend yield","-"
"126","IPD","30 June 2016","Growth ann sales per share 5 ye...","-0.07"
"127","IPD","30 June 2016","IPD Valuation Ratios (30 June 2016)",NA
"128","IPD","30 June 2016","Payout ratio","0.00"
"129","IPD","30 June 2016","Price to book","10.13"
"130","IPD","30 June 2016","Price to cash flow","-23.58"
"131","IPD","30 June 2016","Price to EPS","-17.12"
"132","IPD","30 June 2016","Price to free cash flow","-23.31"
"133","IPD","30 June 2016","Price to sales","52.36"
"134","IPD","30 June 2016","Ratio PE 5 year high","-22.66"
"135","IPD","30 June 2016","Ratio PE 5 year low","-0.88"
"136","IPD","30 June 2016","Sales per share","0.02"
"137","IPD","30 June 2016","Sustainable growth rate","-0.61"
"138","IPD","30 June 2016","FTSE",NA
"139","IPD","30 June 2016","FTSE 100",NA
"140","IPD","30 June 2016","FX",NA
"141","IPD","30 June 2016","GBPUSD",NA
"142","IPD","30 June 2016","GKP",NA
"143","IPD","30 June 2016","Gulf Keyst..",NA
"144","IPD","30 June 2016","IOF",NA
"145","IPD","30 June 2016","Iofina",NA
"146","IPD","30 June 2016","LSE",NA
"147","IPD","30 June 2016","LSE",NA
"148","IPD","30 June 2016","LSE",NA
"149","IPD","30 June 2016","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"150","IPD","30 June 2016","QPP",NA
"151","IPD","30 June 2016","Quindell",NA
"152","IPD","30 June 2016","UK Sterlin..",NA
"153","IPD","30 June 2016","UKX",NA
