"","ticker","date","variable","value"
"1","IRD","30 June 2015","Address","Iron Road House  Level 6, 30 Currie Street, 5000"
"2","IRD","30 June 2015","City/Country:","Adelaide, Australia"
"3","IRD","30 June 2015","Company sector name:","Basic Materials"
"4","IRD","30 June 2015","End of fiscal year:","30 June 2015"
"5","IRD","30 June 2015","Industry group name","Steel"
"6","IRD","30 June 2015","Industry name:","Steel"
"7","IRD","30 June 2015","Web address:","http://www.ironroadlimited.com.au"
"8","IRD","30 June 2015","Assets Turnover","-"
"9","IRD","30 June 2015","Book-Value pS","-"
"10","IRD","30 June 2015","Cash Flow pS","-"
"11","IRD","30 June 2015","Cash pS","-"
"12","IRD","30 June 2015","Current Ratio","2.23"
"13","IRD","30 June 2015","Dividend pS (DPS)","-"
"14","IRD","30 June 2015","Dividend Yield","-"
"15","IRD","30 June 2015","Domestic Sales","-"
"16","IRD","30 June 2015","Earnings pS (EPS)","-"
"17","IRD","30 June 2015","EBITDA Margin","-"
"18","IRD","30 June 2015","Effective Tax Rate","-"
"19","IRD","30 June 2015","Foreign Sales","-"
"20","IRD","30 June 2015","Free Cash Flow pS","-"
"21","IRD","30 June 2015","Gross gearing","-"
"22","IRD","30 June 2015","Gross Profit Margin","-"
"23","IRD","30 June 2015","Interest Cover","-"
"24","IRD","30 June 2015","IRD KEY FIGURES (at previous day's close)",NA
"25","IRD","30 June 2015","Latest Shares Outstanding","677.55"
"26","IRD","30 June 2015","Leverage Ratio (Assets/Equity)","1.02"
"27","IRD","30 June 2015","LT Debt/Total Capital","-"
"28","IRD","30 June 2015","Market Capitalisation","84.69"
"29","IRD","30 June 2015","Net Debt","-"
"30","IRD","30 June 2015","PE Ratio","-"
"31","IRD","30 June 2015","Pre-Tax Profit Margin","-"
"32","IRD","30 June 2015","Research & Devlopment (R&D) as ...","-"
"33","IRD","30 June 2015","Return on Assets (ROA)","-0.04"
"34","IRD","30 June 2015","Return on Capital Invested (ROC...","-0.04"
"35","IRD","30 June 2015","Return on Equity (ROE)","-0.04"
"36","IRD","30 June 2015","Sales per Employee","-"
"37","IRD","30 June 2015","Selling, General & Adm/tive (SG...","-"
"38","IRD","30 June 2015","Spread","0.05"
"39","IRD","30 June 2015","Tangible Book-Value pS","-"
"40","IRD","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
"41","IRD","30 June 2015","Working Capital pS","-"
"42","IRD","30 June 2015","Yesterday's Close","0.13"
"43","IRD","30 June 2015","1 Month","0.13"
"44","IRD","30 June 2015","1 Month","0.10"
"45","IRD","30 June 2015","1 Week","0.13"
"46","IRD","30 June 2015","1 Week","0.12"
"47","IRD","30 June 2015","1 Year","0.16"
"48","IRD","30 June 2015","1 Year","0.11"
"49","IRD","30 June 2015","3 Months","0.14"
"50","IRD","30 June 2015","3 Years","0.37"
"51","IRD","30 June 2015","3 Years","0.26"
"52","IRD","30 June 2015","5 Years","0.80"
"53","IRD","30 June 2015","5 Years","0.65"
"54","IRD","30 June 2015","6 Months","0.13"
"55","IRD","30 June 2015","6 Months","0.16"
"56","IRD","30 June 2015","Period †","High"
"57","IRD","30 June 2015","Period †","Open"
"58","IRD","30 June 2015","","1 year"
"59","IRD","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"60","IRD","30 June 2015","CFO growth","-"
"61","IRD","30 June 2015","Diluted continuous EPS growth","-"
"62","IRD","30 June 2015","Diluted EPS growth","-"
"63","IRD","30 June 2015","Dividend growth","-"
"64","IRD","30 June 2015","Equity per share growth","-0.04"
"65","IRD","30 June 2015","FCF growth","-"
"66","IRD","30 June 2015","IRD Growth Ratios (30 June 2015)",NA
"67","IRD","30 June 2015","Net income cont growth","-"
"68","IRD","30 June 2015","Net income growth","-"
"69","IRD","30 June 2015","Operating income growth","-"
"70","IRD","30 June 2015","Operating revenue growth","0.00"
"71","IRD","30 June 2015","Revenue growth","0.00"
"72","IRD","30 June 2015","Assets turnover","-"
"73","IRD","30 June 2015","Capital expenditure sales ratio","-"
"74","IRD","30 June 2015","Cash conversion cycle","-"
"75","IRD","30 June 2015","Days in inventory","-"
"76","IRD","30 June 2015","Days in payment","-"
"77","IRD","30 June 2015","Days in sales","-"
"78","IRD","30 June 2015","FCF net income ratio","-"
"79","IRD","30 June 2015","FCF sales ratio","-"
"80","IRD","30 June 2015","Fixed assets turnover","-"
"81","IRD","30 June 2015","Inventory turnover","-"
"82","IRD","30 June 2015","IRD Efficency Ratios (30 June 2015)",NA
"83","IRD","30 June 2015","Payable turnover","-"
"84","IRD","30 June 2015","Receivable turnover","-"
"85","IRD","30 June 2015","ROA","-0.04"
"86","IRD","30 June 2015","ROE","-0.04"
"87","IRD","30 June 2015","ROIC","-0.04"
