"","ticker","date","variable","value"
"1","ITQ","30 June 2016","Address","112-118 Talavera Road  Unit 13, 2113"
"2","ITQ","30 June 2016","City/Country:","North Ryde, Australia"
"3","ITQ","30 June 2016","Company sector name:","Technology"
"4","ITQ","30 June 2016","End of fiscal year:","30 June 2016"
"5","ITQ","30 June 2016","Industry group name","Application Software"
"6","ITQ","30 June 2016","Industry name:","Electronic Gaming & Multimedia"
"7","ITQ","30 June 2016","Web address:","http://www.intecqlimited.com"
"8","ITQ","30 June 2016","Assets Turnover","-"
"9","ITQ","30 June 2016","Book-Value pS","-"
"10","ITQ","30 June 2016","Cash Flow pS","-"
"11","ITQ","30 June 2016","Cash pS","-"
"12","ITQ","30 June 2016","Current Ratio","2.56"
"13","ITQ","30 June 2016","Dividend pS (DPS)","-"
"14","ITQ","30 June 2016","Dividend Yield","-"
"15","ITQ","30 June 2016","Domestic Sales","-"
"16","ITQ","30 June 2016","Earnings pS (EPS)","-"
"17","ITQ","30 June 2016","EBITDA Margin","-"
"18","ITQ","30 June 2016","Effective Tax Rate","-"
"19","ITQ","30 June 2016","Foreign Sales","-"
"20","ITQ","30 June 2016","Free Cash Flow pS","-"
"21","ITQ","30 June 2016","Gross gearing","-"
"22","ITQ","30 June 2016","Gross Profit Margin","-"
"23","ITQ","30 June 2016","Interest Cover","-"
"24","ITQ","30 June 2016","ITQ KEY FIGURES (at previous day's close)",NA
"25","ITQ","30 June 2016","Latest Shares Outstanding","17.86"
"26","ITQ","30 June 2016","Leverage Ratio (Assets/Equity)","1.31"
"27","ITQ","30 June 2016","LT Debt/Total Capital","-"
"28","ITQ","30 June 2016","Market Capitalisation","124.50"
"29","ITQ","30 June 2016","Net Debt","-"
"30","ITQ","30 June 2016","PE Ratio","-"
"31","ITQ","30 June 2016","Pre-Tax Profit Margin","-"
"32","ITQ","30 June 2016","Research & Devlopment (R&D) as ...","-"
"33","ITQ","30 June 2016","Return on Assets (ROA)","0.11"
"34","ITQ","30 June 2016","Return on Capital Invested (ROC...","0.13"
"35","ITQ","30 June 2016","Return on Equity (ROE)","0.15"
"36","ITQ","30 June 2016","Sales per Employee","-"
"37","ITQ","30 June 2016","Selling, General & Adm/tive (SG...","-"
"38","ITQ","30 June 2016","Spread","0.05"
"39","ITQ","30 June 2016","Tangible Book-Value pS","-"
"40","ITQ","30 June 2016","Total Debt/Equity (Gearing Rati...","0.00"
"41","ITQ","30 June 2016","Working Capital pS","-"
"42","ITQ","30 June 2016","Yesterday's Close","6.97"
"43","ITQ","30 June 2016","1 Month","7.01"
"44","ITQ","30 June 2016","1 Month","6.96"
"45","ITQ","30 June 2016","1 Week","7.01"
"46","ITQ","30 June 2016","1 Week","6.99"
"47","ITQ","30 June 2016","1 Year","7.15"
