"","ticker","date","variable","value"
"1","KDL","30 June 2015","Address","Level 39, Australia Square Tower  264-278 George Street, 2000"
"2","KDL","30 June 2015","Auditor:","Deloitte Touche Tohmatsu"
"3","KDL","30 June 2015","City/Country:","Sydney, Australia"
"4","KDL","30 June 2015","Company sector name:","Basic Materials"
"5","KDL","30 June 2015","End of fiscal year:","30 June 2015"
"6","KDL","30 June 2015","Industry group name","Metals & Mining"
"7","KDL","30 June 2015","Industry name:","Industrial Metals & Minerals"
"8","KDL","30 June 2015","Web address:","http://www.kdc.com.au"
"9","KDL","30 June 2015","Assets Turnover","0.78"
"10","KDL","30 June 2015","Book-Value pS","0.01"
"11","KDL","30 June 2015","Cash Flow pS","-0.08"
"12","KDL","30 June 2015","Cash pS","0.05"
"13","KDL","30 June 2015","Current Ratio","1.05"
"14","KDL","30 June 2015","Dividend pS (DPS)","0.00"
"15","KDL","30 June 2015","Dividend Yield","-"
"16","KDL","30 June 2015","Domestic Sales","-"
"17","KDL","30 June 2015","Earnings pS (EPS)","-0.16"
"18","KDL","30 June 2015","EBITDA Margin","-"
"19","KDL","30 June 2015","Effective Tax Rate","-"
"20","KDL","30 June 2015","Foreign Sales","-"
"21","KDL","30 June 2015","Free Cash Flow pS","-0.11"
"22","KDL","30 June 2015","Gross gearing","96.98"
"23","KDL","30 June 2015","Gross Profit Margin","-18.75"
"24","KDL","30 June 2015","Interest Cover","-26.05"
"25","KDL","30 June 2015","KDL KEY FIGURES (at previous day's close)",NA
"26","KDL","30 June 2015","Latest Shares Outstanding","160.99"
"27","KDL","30 June 2015","Leverage Ratio (Assets/Equity)","33.13"
"28","KDL","30 June 2015","LT Debt/Total Capital","0.77"
"29","KDL","30 June 2015","Market Capitalisation","6.60"
"30","KDL","30 June 2015","Net Debt","43.36"
"31","KDL","30 June 2015","PE Ratio","-0.38"
"32","KDL","30 June 2015","Pre-Tax Profit Margin","-"
"33","KDL","30 June 2015","Research & Devlopment (R&D) as ...","0.00"
"34","KDL","30 June 2015","Return on Assets (ROA)","-0.30"
"35","KDL","30 June 2015","Return on Capital Invested (ROC...","-1.34"
"36","KDL","30 June 2015","Return on Equity (ROE)","-1.90"
"37","KDL","30 June 2015","Sales per Employee","-"
"38","KDL","30 June 2015","Selling, General & Adm/tive (SG...","44.68"
"39","KDL","30 June 2015","Spread","0.02"
"40","KDL","30 June 2015","Tangible Book-Value pS","0.28"
"41","KDL","30 June 2015","Total Debt/Equity (Gearing Rati...","3.81"
"42","KDL","30 June 2015","Working Capital pS","0.29"
"43","KDL","30 June 2015","Yesterday's Close","0.06"
"44","KDL","30 June 2015","1 Month","0.07"
"45","KDL","30 June 2015","1 Week","0.07"
"46","KDL","30 June 2015","1 Year","0.07"
"47","KDL","30 June 2015","1 Year","0.16"
"48","KDL","30 June 2015","3 Months","0.09"
"49","KDL","30 June 2015","3 Months","0.08"
"50","KDL","30 June 2015","3 Years","1.39"
"51","KDL","30 June 2015","3 Years","0.45"
"52","KDL","30 June 2015","5 Years","1.39"
"53","KDL","30 June 2015","5 Years","0.30"
"54","KDL","30 June 2015","6 Months","0.13"
"55","KDL","30 June 2015","6 Months","0.10"
"56","KDL","30 June 2015","Period †","High"
"57","KDL","30 June 2015","Period †","Open"
"58","KDL","30 June 2015","","1 year"
"59","KDL","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"60","KDL","30 June 2015","CFO growth","-"
"61","KDL","30 June 2015","Diluted continuous EPS growth","-"
"62","KDL","30 June 2015","Diluted EPS growth","-"
"63","KDL","30 June 2015","Dividend growth","-"
"64","KDL","30 June 2015","Equity per share growth","-0.91"
"65","KDL","30 June 2015","FCF growth","-"
"66","KDL","30 June 2015","KDL Growth Ratios (30 June 2015)",NA
"67","KDL","30 June 2015","Net income cont growth","-"
"68","KDL","30 June 2015","Net income growth","-"
"69","KDL","30 June 2015","Operating income growth","-"
"70","KDL","30 June 2015","Operating revenue growth","-0.17"
"71","KDL","30 June 2015","Revenue growth","-0.17"
"72","KDL","30 June 2015","Basic EPS","-0.16"
"73","KDL","30 June 2015","Basic EPS from Continuing Ope...","-0.16"
"74","KDL","30 June 2015","Basic EPS from Discontinued O...","0.00"
"75","KDL","30 June 2015","Basic EPS,Continuing and Disc...","-0.16"
"76","KDL","30 June 2015","Basic Weighted Average Shares...","109.92"
"77","KDL","30 June 2015","Calculated Tax Effect Of Unus...","0.00"
"78","KDL","30 June 2015","Cost of Revenue","75.39"
"79","KDL","30 June 2015","Cost of Revenue,Reconciled","75.39"
"80","KDL","30 June 2015","Depreciation","6.25"
"81","KDL","30 June 2015","Depreciation and Amortization","6.25"
"82","KDL","30 June 2015","Depreciation,Reconciled","6.25"
"83","KDL","30 June 2015","Diluted EPS","-0.16"
"84","KDL","30 June 2015","Diluted EPS from Continuing O...","-0.16"
"85","KDL","30 June 2015","Diluted EPS from Discontinued...","0.00"
"86","KDL","30 June 2015","Diluted EPS,Continuing and Di...","-0.16"
"87","KDL","30 June 2015","Diluted Weighted Average Shar...","109.92"
"88","KDL","30 June 2015","Discontinued Operations","0.00"
"89","KDL","30 June 2015","Dividend Per Share","0.00"
"90","KDL","30 June 2015","Earning Before Interest and T...","-17.01"
"91","KDL","30 June 2015","Earning Before Interest Tax D...","-10.76"
"92","KDL","30 June 2015","General and Administrative Ex...","28.37"
"93","KDL","30 June 2015","Gross Profit","-11.90"
"94","KDL","30 June 2015","Interest and Dividend Income","0.04"
