"","ticker","date","variable","value"
"1","KDR","30 June 2015","Address","Level 4, 12-20 Flinders Lane  Suite 3, 3000"
"2","KDR","30 June 2015","City/Country:","Melbourne, Australia"
"3","KDR","30 June 2015","Company sector name:","Basic Materials"
"4","KDR","30 June 2015","End of fiscal year:","30 June 2015"
"5","KDR","30 June 2015","Industry group name","Metals & Mining"
"6","KDR","30 June 2015","Industry name:","Industrial Metals & Minerals"
"7","KDR","30 June 2015","Web address:","http://www.kidmanresources.com.au"
"8","KDR","30 June 2015","Assets Turnover","-"
"9","KDR","30 June 2015","Book-Value pS","-"
"10","KDR","30 June 2015","Cash Flow pS","-"
"11","KDR","30 June 2015","Cash pS","-"
"12","KDR","30 June 2015","Current Ratio","1.11"
"13","KDR","30 June 2015","Dividend pS (DPS)","-"
"14","KDR","30 June 2015","Dividend Yield","-"
"15","KDR","30 June 2015","Domestic Sales","-"
"16","KDR","30 June 2015","Earnings pS (EPS)","-"
"17","KDR","30 June 2015","EBITDA Margin","-"
"18","KDR","30 June 2015","Effective Tax Rate","-"
"19","KDR","30 June 2015","Foreign Sales","-"
"20","KDR","30 June 2015","Free Cash Flow pS","-"
"21","KDR","30 June 2015","Gross gearing","-"
"22","KDR","30 June 2015","Gross Profit Margin","-"
"23","KDR","30 June 2015","Interest Cover","-"
"24","KDR","30 June 2015","KDR KEY FIGURES (at previous day's close)",NA
"25","KDR","30 June 2015","Latest Shares Outstanding","296.37"
"26","KDR","30 June 2015","Leverage Ratio (Assets/Equity)","2.00"
"27","KDR","30 June 2015","LT Debt/Total Capital","0.40"
"28","KDR","30 June 2015","Market Capitalisation","192.64"
"29","KDR","30 June 2015","Net Debt","-"
"30","KDR","30 June 2015","PE Ratio","-"
"31","KDR","30 June 2015","Pre-Tax Profit Margin","-"
"32","KDR","30 June 2015","Research & Devlopment (R&D) as ...","-"
"33","KDR","30 June 2015","Return on Assets (ROA)","-0.48"
"34","KDR","30 June 2015","Return on Capital Invested (ROC...","-0.44"
"35","KDR","30 June 2015","Return on Equity (ROE)","-0.65"
"36","KDR","30 June 2015","Sales per Employee","-"
"37","KDR","30 June 2015","Selling, General & Adm/tive (SG...","-"
"38","KDR","30 June 2015","Spread","-0.01"
"39","KDR","30 June 2015","Tangible Book-Value pS","-"
"40","KDR","30 June 2015","Total Debt/Equity (Gearing Rati...","0.68"
"41","KDR","30 June 2015","Working Capital pS","-"
"42","KDR","30 June 2015","Yesterday's Close","0.65"
"43","KDR","30 June 2015","1 Month","0.71"
