"","ticker","date","variable","value"
"1","KOV","30 June 2016","Address","580 Prospect Road  Kilburn, 5084"
"2","KOV","30 June 2016","City/Country:","Adelaide, Australia"
"3","KOV","30 June 2016","Company sector name:","Industrials"
"4","KOV","30 June 2016","End of fiscal year:","30 June 2016"
"5","KOV","30 June 2016","Industry group name","Industrial Products"
"6","KOV","30 June 2016","Industry name:","Metal Fabrication"
"7","KOV","30 June 2016","Web address:","http://www.korvest.com.au"
"8","KOV","30 June 2016","Assets Turnover","0.74"
"9","KOV","30 June 2016","Book-Value pS","3.03"
"10","KOV","30 June 2016","Cash Flow pS","0.69"
"11","KOV","30 June 2016","Cash pS","0.47"
"12","KOV","30 June 2016","Current Ratio","3.91"
"13","KOV","30 June 2016","Dividend pS (DPS)","0.31"
"14","KOV","30 June 2016","Dividend Yield","12.09"
"15","KOV","30 June 2016","Domestic Sales","-"
"16","KOV","30 June 2016","Earnings pS (EPS)","0.09"
"17","KOV","30 June 2016","EBITDA Margin","5.57"
"18","KOV","30 June 2016","Effective Tax Rate","-"
"19","KOV","30 June 2016","Foreign Sales","-"
"20","KOV","30 June 2016","Free Cash Flow pS","0.65"
"21","KOV","30 June 2016","Gross gearing","19.56"
"22","KOV","30 June 2016","Gross Profit Margin","38.09"
"23","KOV","30 June 2016","Interest Cover","1,020.33"
"24","KOV","30 June 2016","KOV KEY FIGURES (at previous day's close)",NA
"25","KOV","30 June 2016","Latest Shares Outstanding","10.96"
"26","KOV","30 June 2016","Leverage Ratio (Assets/Equity)","1.24"
"27","KOV","30 June 2016","LT Debt/Total Capital","-"
"28","KOV","30 June 2016","Market Capitalisation","27.87"
"29","KOV","30 June 2016","Net Debt","2.82"
"30","KOV","30 June 2016","PE Ratio","29.21"
"31","KOV","30 June 2016","Pre-Tax Profit Margin","2.44"
"32","KOV","30 June 2016","Research & Devlopment (R&D) as ...","0.00"
"33","KOV","30 June 2016","Return on Assets (ROA)","0.02"
"34","KOV","30 June 2016","Return on Capital Invested (ROC...","0.03"
"35","KOV","30 June 2016","Return on Equity (ROE)","0.03"
"36","KOV","30 June 2016","Sales per Employee","0.24"
"37","KOV","30 June 2016","Selling, General & Adm/tive (SG...","62.86"
"38","KOV","30 June 2016","Spread","0.21"
"39","KOV","30 June 2016","Tangible Book-Value pS","1.36"
"40","KOV","30 June 2016","Total Debt/Equity (Gearing Rati...","-"
"41","KOV","30 June 2016","Working Capital pS","3.16"
"42","KOV","30 June 2016","Yesterday's Close","2.60"
"43","KOV","30 June 2016","1 Month","2.75"
"44","KOV","30 June 2016","1 Week","2.60"
"45","KOV","30 June 2016","1 Week","2.51"
"46","KOV","30 June 2016","1 Year","3.50"
"47","KOV","30 June 2016","3 Months","2.85"
"48","KOV","30 June 2016","3 Months","2.21"
"49","KOV","30 June 2016","3 Years","7.75"
"50","KOV","30 June 2016","3 Years","5.45"
"51","KOV","30 June 2016","5 Years","3.50"
"52","KOV","30 June 2016","5 Years","8.18"
"53","KOV","30 June 2016","6 Months","2.85"
"54","KOV","30 June 2016","6 Months","2.30"
"55","KOV","30 June 2016","Period †","High"
"56","KOV","30 June 2016","Period †","Open"
"57","KOV","30 June 2016","","1 year"
