"","ticker","date","variable","value"
"1","KRC","30 June 2016","Address","254 Adelaide Terrace  PO Box Z5518, 6000"
"2","KRC","30 June 2016","Auditor:","EY"
"3","KRC","30 June 2016","City/Country:","Perth, Australia"
"4","KRC","30 June 2016","Company sector name:","Basic Materials"
"5","KRC","30 June 2016","End of fiscal year:","30 June 2016"
"6","KRC","30 June 2016","Industry group name","Metals & Mining"
"7","KRC","30 June 2016","Industry name:","Industrial Metals & Minerals"
"8","KRC","30 June 2016","Web address:","http://www.kingrivercopper.com.au"
"9","KRC","30 June 2016","Assets Turnover","-"
"10","KRC","30 June 2016","Book-Value pS","-"
"11","KRC","30 June 2016","Cash Flow pS","-"
"12","KRC","30 June 2016","Cash pS","-"
"13","KRC","30 June 2016","Current Ratio","3.39"
"14","KRC","30 June 2016","Dividend pS (DPS)","-"
"15","KRC","30 June 2016","Dividend Yield","-"
"16","KRC","30 June 2016","Domestic Sales","-"
"17","KRC","30 June 2016","Earnings pS (EPS)","-"
"18","KRC","30 June 2016","EBITDA Margin","-"
"19","KRC","30 June 2016","Effective Tax Rate","-"
"20","KRC","30 June 2016","Foreign Sales","-"
"21","KRC","30 June 2016","Free Cash Flow pS","-"
"22","KRC","30 June 2016","Gross gearing","-"
"23","KRC","30 June 2016","Gross Profit Margin","-"
"24","KRC","30 June 2016","Interest Cover","-"
"25","KRC","30 June 2016","KRC KEY FIGURES (at previous day's close)",NA
"26","KRC","30 June 2016","Latest Shares Outstanding","599.04"
"27","KRC","30 June 2016","Leverage Ratio (Assets/Equity)","1.02"
"28","KRC","30 June 2016","LT Debt/Total Capital","-"
"29","KRC","30 June 2016","Market Capitalisation","8.39"
"30","KRC","30 June 2016","Net Debt","-"
"31","KRC","30 June 2016","PE Ratio","-"
"32","KRC","30 June 2016","Pre-Tax Profit Margin","-"
"33","KRC","30 June 2016","Research & Devlopment (R&D) as ...","-"
"34","KRC","30 June 2016","Return on Assets (ROA)","-0.02"
"35","KRC","30 June 2016","Return on Capital Invested (ROC...","-0.02"
"36","KRC","30 June 2016","Return on Equity (ROE)","-0.02"
"37","KRC","30 June 2016","Sales per Employee","-"
"38","KRC","30 June 2016","Selling, General & Adm/tive (SG...","-"
"39","KRC","30 June 2016","Spread","0.00"
"40","KRC","30 June 2016","Tangible Book-Value pS","-"
"41","KRC","30 June 2016","Total Debt/Equity (Gearing Rati...","-"
"42","KRC","30 June 2016","Working Capital pS","-"
"43","KRC","30 June 2016","Yesterday's Close","0.01"
"44","KRC","30 June 2016","1 Month","0.02"
"45","KRC","30 June 2016","1 Week","0.01"
"46","KRC","30 June 2016","1 Year","0.01"
"47","KRC","30 June 2016","1 Year","0.03"
"48","KRC","30 June 2016","3 Months","0.01"
"49","KRC","30 June 2016","3 Months","0.03"
"50","KRC","30 June 2016","3 Years","0.26"
"51","KRC","30 June 2016","3 Years","0.07"
"52","KRC","30 June 2016","5 Years","0.02"
"53","KRC","30 June 2016","5 Years","0.26"
"54","KRC","30 June 2016","6 Months","0.01"
"55","KRC","30 June 2016","6 Months","0.03"
"56","KRC","30 June 2016","Period †","High"
"57","KRC","30 June 2016","Period †","Open"
"58","KRC","30 June 2016","","1 year"
"59","KRC","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"60","KRC","30 June 2016","CFO growth","-"
"61","KRC","30 June 2016","Diluted continuous EPS growth","-"
"62","KRC","30 June 2016","Diluted EPS growth","-"
"63","KRC","30 June 2016","Dividend growth","-"
"64","KRC","30 June 2016","Equity per share growth","-0.11"
"65","KRC","30 June 2016","FCF growth","-"
"66","KRC","30 June 2016","KRC Growth Ratios (30 June 2016)",NA
"67","KRC","30 June 2016","Net income cont growth","-"
"68","KRC","30 June 2016","Net income growth","-"
"69","KRC","30 June 2016","Operating income growth","-"
"70","KRC","30 June 2016","Operating revenue growth","0.00"
"71","KRC","30 June 2016","Revenue growth","0.00"
"72","KRC","30 June 2016","Assets turnover","-"
"73","KRC","30 June 2016","Capital expenditure sales ratio","-"
"74","KRC","30 June 2016","Cash conversion cycle","-"
"75","KRC","30 June 2016","Days in inventory","-"
"76","KRC","30 June 2016","Days in payment","-"
"77","KRC","30 June 2016","Days in sales","-"
"78","KRC","30 June 2016","FCF net income ratio","-"
"79","KRC","30 June 2016","FCF sales ratio","-"
"80","KRC","30 June 2016","Fixed assets turnover","-"
"81","KRC","30 June 2016","Inventory turnover","-"
"82","KRC","30 June 2016","KRC Efficency Ratios (30 June 2016)",NA
"83","KRC","30 June 2016","Payable turnover","-"
"84","KRC","30 June 2016","Receivable turnover","-"
"85","KRC","30 June 2016","ROA","-0.02"
"86","KRC","30 June 2016","ROE","-0.02"
"87","KRC","30 June 2016","ROIC","-0.02"
"88","KRC","30 June 2016","Current ratio","3.39"
"89","KRC","30 June 2016","Debt equity ratio","-"
"90","KRC","30 June 2016","Debt total capital ratio","-"
"91","KRC","30 June 2016","Financial leverage","1.02"
"92","KRC","30 June 2016","KRC Financial Health Ratios (30 June 2016)",NA
"93","KRC","30 June 2016","Quick ratio","3.39"
"94","KRC","30 June 2016","Total debt to equity","-"
"95","KRC","30 June 2016","Avg gross margin","-"
"96","KRC","30 June 2016","Avg net profit","-"
"97","KRC","30 June 2016","Avg post tax margin","-"
"98","KRC","30 June 2016","Avg pre tax marginr","-"
"99","KRC","30 June 2016","Avg ret assets","-0.29"
"100","KRC","30 June 2016","Avg ret commonr","-0.30"
"101","KRC","30 June 2016","Avg ret invested capital","-0.30"
"102","KRC","30 June 2016","Growth ann capital spending","-0.23"
"103","KRC","30 June 2016","Growth ann gross profit","-"
"104","KRC","30 June 2016","KRC Avearge Growth Ratios Over 5 Years (30 June 2016)",NA
"105","KRC","30 June 2016","EBIT margin","-"
"106","KRC","30 June 2016","EBITDA margin","-"
"107","KRC","30 June 2016","EBT margin","-"
"108","KRC","30 June 2016","Gross margin","-"
"109","KRC","30 June 2016","Inc per employee tot ops","-"
"110","KRC","30 June 2016","Interest coverage","-"
"111","KRC","30 June 2016","KRC Profitability Ratios (-)",NA
"112","KRC","30 June 2016","Net margin","-"
"113","KRC","30 June 2016","Normalized net profit margin","-"
"114","KRC","30 June 2016","Operating margin","-"
"115","KRC","30 June 2016","Sales per employee","-"
"116","KRC","30 June 2016","Tax rate","-"
"117","KRC","30 June 2016","Book value per share","0.02"
"118","KRC","30 June 2016","Cash return","-1.57"
"119","KRC","30 June 2016","CF per share","-0.00"
"120","KRC","30 June 2016","Div payout 5 year","-"
"121","KRC","30 June 2016","Div payout tot ops","-"
"122","KRC","30 June 2016","Div rate","-"
