"","ticker","date","variable","value"
"1","LER","30 June 2016","Address","88 Brandl Street  Suite 12, Eight Mile Plains, 4113"
"2","LER","30 June 2016","City/Country:","Brisbane, Australia"
"3","LER","30 June 2016","Company sector name:","Healthcare"
"4","LER","30 June 2016","End of fiscal year:","30 June 2016"
"5","LER","30 June 2016","Industry group name","Biotechnology"
"6","LER","30 June 2016","Industry name:","Biotechnology"
"7","LER","30 June 2016","Web address:","http://www.leafenergy.com.au"
"8","LER","30 June 2016","Assets Turnover","-"
"9","LER","30 June 2016","Book-Value pS","-"
"10","LER","30 June 2016","Cash Flow pS","-"
"11","LER","30 June 2016","Cash pS","-"
"12","LER","30 June 2016","Current Ratio","3.14"
"13","LER","30 June 2016","Dividend pS (DPS)","-"
"14","LER","30 June 2016","Dividend Yield","-"
"15","LER","30 June 2016","Domestic Sales","-"
"16","LER","30 June 2016","Earnings pS (EPS)","-"
"17","LER","30 June 2016","EBITDA Margin","-"
"18","LER","30 June 2016","Effective Tax Rate","-"
"19","LER","30 June 2016","Foreign Sales","-"
"20","LER","30 June 2016","Free Cash Flow pS","-"
"21","LER","30 June 2016","Gross gearing","-"
"22","LER","30 June 2016","Gross Profit Margin","-"
"23","LER","30 June 2016","Interest Cover","-"
"24","LER","30 June 2016","Latest Shares Outstanding","150.01"
"25","LER","30 June 2016","LER KEY FIGURES (at previous day's close)",NA
"26","LER","30 June 2016","Leverage Ratio (Assets/Equity)","1.32"
"27","LER","30 June 2016","LT Debt/Total Capital","-"
"28","LER","30 June 2016","Market Capitalisation","22.50"
"29","LER","30 June 2016","Net Debt","-"
"30","LER","30 June 2016","PE Ratio","-"
"31","LER","30 June 2016","Pre-Tax Profit Margin","-"
"32","LER","30 June 2016","Research & Devlopment (R&D) as ...","-"
"33","LER","30 June 2016","Return on Assets (ROA)","-1.46"
"34","LER","30 June 2016","Return on Capital Invested (ROC...","-2.06"
"35","LER","30 June 2016","Return on Equity (ROE)","-2.06"
"36","LER","30 June 2016","Sales per Employee","-"
"37","LER","30 June 2016","Selling, General & Adm/tive (SG...","-"
"38","LER","30 June 2016","Spread","0.03"
"39","LER","30 June 2016","Tangible Book-Value pS","-"
"40","LER","30 June 2016","Total Debt/Equity (Gearing Rati...","-"
"41","LER","30 June 2016","Working Capital pS","-"
"42","LER","30 June 2016","Yesterday's Close","0.15"
"43","LER","30 June 2016","1 Month","0.16"
"44","LER","30 June 2016","1 Month","0.14"
"45","LER","30 June 2016","1 Week","0.15"
