"","ticker","date","variable","value"
"1","LIC","30 June 2016","Address","Level 2, 35 Market Street, 3205"
"2","LIC","30 June 2016","City/Country:","South Melbourne, Australia"
"3","LIC","30 June 2016","Company sector name:","Real Estate"
"4","LIC","30 June 2016","End of fiscal year:","30 June 2016"
"5","LIC","30 June 2016","Industry group name","Real Estate Services"
"6","LIC","30 June 2016","Industry name:","Real Estate - General"
"7","LIC","30 June 2016","Web address:","http://www.lifestylecommunities.com.au"
"8","LIC","30 June 2016","Assets Turnover","-"
"9","LIC","30 June 2016","Book-Value pS","-"
"10","LIC","30 June 2016","Cash Flow pS","-"
"11","LIC","30 June 2016","Cash pS","-"
"12","LIC","30 June 2016","Current Ratio","2.30"
"13","LIC","30 June 2016","Dividend pS (DPS)","-"
"14","LIC","30 June 2016","Dividend Yield","-"
"15","LIC","30 June 2016","Domestic Sales","-"
"16","LIC","30 June 2016","Earnings pS (EPS)","-"
"17","LIC","30 June 2016","EBITDA Margin","-"
"18","LIC","30 June 2016","Effective Tax Rate","-"
"19","LIC","30 June 2016","Foreign Sales","-"
"20","LIC","30 June 2016","Free Cash Flow pS","-"
"21","LIC","30 June 2016","Gross gearing","-"
"22","LIC","30 June 2016","Gross Profit Margin","-"
"23","LIC","30 June 2016","Interest Cover","-"
"24","LIC","30 June 2016","Latest Shares Outstanding","104.28"
"25","LIC","30 June 2016","Leverage Ratio (Assets/Equity)","1.69"
"26","LIC","30 June 2016","LIC KEY FIGURES (at previous day's close)",NA
"27","LIC","30 June 2016","LT Debt/Total Capital","0.26"
"28","LIC","30 June 2016","Market Capitalisation","359.76"
"29","LIC","30 June 2016","Net Debt","-"
"30","LIC","30 June 2016","PE Ratio","-"
"31","LIC","30 June 2016","Pre-Tax Profit Margin","-"
"32","LIC","30 June 2016","Research & Devlopment (R&D) as ...","-"
"33","LIC","30 June 2016","Return on Assets (ROA)","0.10"
"34","LIC","30 June 2016","Return on Capital Invested (ROC...","0.12"
"35","LIC","30 June 2016","Return on Equity (ROE)","0.16"
"36","LIC","30 June 2016","Sales per Employee","-"
"37","LIC","30 June 2016","Selling, General & Adm/tive (SG...","-"
"38","LIC","30 June 2016","Spread","0.21"
"39","LIC","30 June 2016","Tangible Book-Value pS","-"
"40","LIC","30 June 2016","Total Debt/Equity (Gearing Rati...","0.37"
"41","LIC","30 June 2016","Working Capital pS","-"
"42","LIC","30 June 2016","Yesterday's Close","3.45"
"43","LIC","30 June 2016","1 Month","3.51"
"44","LIC","30 June 2016","1 Month","3.30"
"45","LIC","30 June 2016","1 Week","3.51"
"46","LIC","30 June 2016","1 Week","3.36"
"47","LIC","30 June 2016","1 Year","3.58"
"48","LIC","30 June 2016","1 Year","2.70"
"49","LIC","30 June 2016","3 Months","3.58"
"50","LIC","30 June 2016","3 Months","2.95"
"51","LIC","30 June 2016","3 Years","3.58"
"52","LIC","30 June 2016","3 Years","1.05"
"53","LIC","30 June 2016","5 Years","0.12"
"54","LIC","30 June 2016","5 Years","3.58"
"55","LIC","30 June 2016","6 Months","3.58"
"56","LIC","30 June 2016","6 Months","2.60"
"57","LIC","30 June 2016","Period †","High"
"58","LIC","30 June 2016","Period †","Open"
"59","LIC","30 June 2016","","1 year"
"60","LIC","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"61","LIC","30 June 2016","CFO growth","-"
"62","LIC","30 June 2016","Diluted continuous EPS growth","0.15"
"63","LIC","30 June 2016","Diluted EPS growth","0.15"
"64","LIC","30 June 2016","Dividend growth","-"
"65","LIC","30 June 2016","Equity per share growth","0.14"
"66","LIC","30 June 2016","FCF growth","-"
"67","LIC","30 June 2016","LIC Growth Ratios (30 June 2016)",NA
