"","ticker","date","variable","value"
"1","LNU","30 June 2016","City/Country:","Collingwood, Australia"
"2","LNU","30 June 2016","Doing business in:","Australia (AU)"
"3","LNU","30 June 2016","End of fiscal year:","30 June 2016"
"4","LNU","30 June 2016","Place of incorporation:","Australia (AU)"
"5","LNU","30 June 2016","Trading currency:","AUD"
"6","LNU","30 June 2016","Year established:","2011"
"7","LNU","30 June 2016","Assets Turnover","-"
"8","LNU","30 June 2016","Book-Value pS","-"
"9","LNU","30 June 2016","Cash Flow pS","-"
"10","LNU","30 June 2016","Cash pS","-"
"11","LNU","30 June 2016","Current Ratio","11.85"
"12","LNU","30 June 2016","Dividend pS (DPS)","-"
"13","LNU","30 June 2016","Dividend Yield","-"
"14","LNU","30 June 2016","Domestic Sales","-"
"15","LNU","30 June 2016","Earnings pS (EPS)","-"
"16","LNU","30 June 2016","EBITDA Margin","-"
"17","LNU","30 June 2016","Effective Tax Rate","-"
"18","LNU","30 June 2016","Foreign Sales","-"
"19","LNU","30 June 2016","Free Cash Flow pS","-"
"20","LNU","30 June 2016","Gross gearing","-"
"21","LNU","30 June 2016","Gross Profit Margin","-"
"22","LNU","30 June 2016","Interest Cover","-"
"23","LNU","30 June 2016","Latest Shares Outstanding","672.44"
"24","LNU","30 June 2016","Leverage Ratio (Assets/Equity)","1.03"
"25","LNU","30 June 2016","LNU KEY FIGURES (at previous day's close)",NA
"26","LNU","30 June 2016","LT Debt/Total Capital","-"
"27","LNU","30 June 2016","Market Capitalisation","44.38"
"28","LNU","30 June 2016","Net Debt","-"
"29","LNU","30 June 2016","PE Ratio","-"
"30","LNU","30 June 2016","Pre-Tax Profit Margin","-"
"31","LNU","30 June 2016","Research & Devlopment (R&D) as ...","-"
"32","LNU","30 June 2016","Return on Assets (ROA)","-1.17"
"33","LNU","30 June 2016","Return on Capital Invested (ROC...","-1.21"
"34","LNU","30 June 2016","Return on Equity (ROE)","-1.21"
"35","LNU","30 June 2016","Sales per Employee","-"
"36","LNU","30 June 2016","Selling, General & Adm/tive (SG...","-"
"37","LNU","30 June 2016","Spread","0.16"
"38","LNU","30 June 2016","Tangible Book-Value pS","-"
"39","LNU","30 June 2016","Total Debt/Equity (Gearing Rati...","-"
"40","LNU","30 June 2016","Working Capital pS","-"
"41","LNU","30 June 2016","Yesterday's Close","0.07"
"42","LNU","30 June 2016","1 Month","0.07"
"43","LNU","30 June 2016","1 Month","0.08"
"44","LNU","30 June 2016","1 Week","0.07"
"45","LNU","30 June 2016","1 Year","0.07"
"46","LNU","30 June 2016","1 Year","0.09"
"47","LNU","30 June 2016","3 Months","0.07"
