"","ticker","date","variable","value"
"1","MEP","30 June 2016","Address","Level 1  8 Beulah Road, 5067"
"2","MEP","30 June 2016","City/Country:","Norwood, Australia"
"3","MEP","30 June 2016","Company sector name:","Basic Materials"
"4","MEP","30 June 2016","End of fiscal year:","30 June 2016"
"5","MEP","30 June 2016","Industry group name","Metals & Mining"
"6","MEP","30 June 2016","Industry name:","Industrial Metals & Minerals"
"7","MEP","30 June 2016","Web address:","http://www.minotaurexploration.com.au"
"8","MEP","30 June 2016","Assets Turnover","-"
"9","MEP","30 June 2016","Book-Value pS","-"
"10","MEP","30 June 2016","Cash Flow pS","-"
"11","MEP","30 June 2016","Cash pS","-"
"12","MEP","30 June 2016","Current Ratio","2.53"
"13","MEP","30 June 2016","Dividend pS (DPS)","-"
"14","MEP","30 June 2016","Dividend Yield","-"
"15","MEP","30 June 2016","Domestic Sales","-"
"16","MEP","30 June 2016","Earnings pS (EPS)","-"
"17","MEP","30 June 2016","EBITDA Margin","-"
"18","MEP","30 June 2016","Effective Tax Rate","-"
"19","MEP","30 June 2016","Foreign Sales","-"
"20","MEP","30 June 2016","Free Cash Flow pS","-"
"21","MEP","30 June 2016","Gross gearing","-"
"22","MEP","30 June 2016","Gross Profit Margin","-"
"23","MEP","30 June 2016","Interest Cover","-"
"24","MEP","30 June 2016","Latest Shares Outstanding","212.35"
"25","MEP","30 June 2016","Leverage Ratio (Assets/Equity)","1.16"
"26","MEP","30 June 2016","LT Debt/Total Capital","0.03"
"27","MEP","30 June 2016","Market Capitalisation","20.17"
"28","MEP","30 June 2016","MEP KEY FIGURES (at previous day's close)",NA
"29","MEP","30 June 2016","Net Debt","-"
"30","MEP","30 June 2016","PE Ratio","-"
"31","MEP","30 June 2016","Pre-Tax Profit Margin","-"
"32","MEP","30 June 2016","Research & Devlopment (R&D) as ...","-"
"33","MEP","30 June 2016","Return on Assets (ROA)","-0.54"
"34","MEP","30 June 2016","Return on Capital Invested (ROC...","-0.59"
"35","MEP","30 June 2016","Return on Equity (ROE)","-0.60"
"36","MEP","30 June 2016","Sales per Employee","-"
"37","MEP","30 June 2016","Selling, General & Adm/tive (SG...","-"
"38","MEP","30 June 2016","Spread","0.00"
"39","MEP","30 June 2016","Tangible Book-Value pS","-"
"40","MEP","30 June 2016","Total Debt/Equity (Gearing Rati...","0.03"
"41","MEP","30 June 2016","Working Capital pS","-"
"42","MEP","30 June 2016","Yesterday's Close","0.10"
"43","MEP","30 June 2016","1 Month","0.11"
"44","MEP","30 June 2016","1 Month","0.08"
"45","MEP","30 June 2016","1 Week","0.11"
"46","MEP","30 June 2016","1 Week","0.08"
"47","MEP","30 June 2016","1 Year","0.11"
"48","MEP","30 June 2016","1 Year","0.06"
"49","MEP","30 June 2016","3 Months","0.11"
"50","MEP","30 June 2016","3 Months","0.07"
"51","MEP","30 June 2016","3 Years","0.30"
"52","MEP","30 June 2016","3 Years","0.13"
"53","MEP","30 June 2016","5 Years","0.30"
"54","MEP","30 June 2016","5 Years","0.14"
"55","MEP","30 June 2016","6 Months","0.11"
"56","MEP","30 June 2016","6 Months","0.05"
"57","MEP","30 June 2016","Period †","High"
"58","MEP","30 June 2016","Period †","Open"
"59","MEP","30 June 2016","","1 year"
"60","MEP","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"61","MEP","30 June 2016","CFO growth","-"
"62","MEP","30 June 2016","Diluted continuous EPS growth","-"
"63","MEP","30 June 2016","Diluted EPS growth","-"
"64","MEP","30 June 2016","Dividend growth","-"
"65","MEP","30 June 2016","Equity per share growth","-0.48"
"66","MEP","30 June 2016","FCF growth","-"
"67","MEP","30 June 2016","MEP Growth Ratios (30 June 2016)",NA
"68","MEP","30 June 2016","Net income cont growth","-"
"69","MEP","30 June 2016","Net income growth","-"
"70","MEP","30 June 2016","Operating income growth","-"
"71","MEP","30 June 2016","Operating revenue growth","0.00"
"72","MEP","30 June 2016","Revenue growth","0.00"
"73","MEP","30 June 2016","Assets turnover","-"
"74","MEP","30 June 2016","Capital expenditure sales ratio","-"
"75","MEP","30 June 2016","Cash conversion cycle","-"
"76","MEP","30 June 2016","Days in inventory","-"
"77","MEP","30 June 2016","Days in payment","-"
"78","MEP","30 June 2016","Days in sales","-"
"79","MEP","30 June 2016","FCF net income ratio","-"
"80","MEP","30 June 2016","FCF sales ratio","-"
"81","MEP","30 June 2016","Fixed assets turnover","-"
"82","MEP","30 June 2016","Inventory turnover","-"
"83","MEP","30 June 2016","MEP Efficency Ratios (30 June 2016)",NA
"84","MEP","30 June 2016","Payable turnover","-"
