"","ticker","date","variable","value"
"1","MHJ","30 June 2015","Address","Metroplex on Gateway  7 Smallwood Pl, Murarrie, 4172"
"2","MHJ","30 June 2015","Auditor:","Ernst & Young"
"3","MHJ","30 June 2015","City/Country:","Brisbane, Australia"
"4","MHJ","30 June 2015","Company sector name:","Consumer Cyclical"
"5","MHJ","30 June 2015","End of fiscal year:","30 June 2015"
"6","MHJ","30 June 2015","Industry group name","Retail - Apparel & Specialty"
"7","MHJ","30 June 2015","Industry name:","Luxury Goods"
"8","MHJ","30 June 2015","Web address:","http://www.michaelhill.com"
"9","MHJ","30 June 2015","Assets Turnover","-"
"10","MHJ","30 June 2015","Book-Value pS","-"
"11","MHJ","30 June 2015","Cash Flow pS","-"
"12","MHJ","30 June 2015","Cash pS","-"
"13","MHJ","30 June 2015","Current Ratio","3.27"
"14","MHJ","30 June 2015","Dividend pS (DPS)","-"
"15","MHJ","30 June 2015","Dividend Yield","-"
"16","MHJ","30 June 2015","Domestic Sales","-"
"17","MHJ","30 June 2015","Earnings pS (EPS)","-"
"18","MHJ","30 June 2015","EBITDA Margin","-"
"19","MHJ","30 June 2015","Effective Tax Rate","-"
"20","MHJ","30 June 2015","Foreign Sales","-"
"21","MHJ","30 June 2015","Free Cash Flow pS","-"
"22","MHJ","30 June 2015","Gross gearing","-"
"23","MHJ","30 June 2015","Gross Profit Margin","-"
"24","MHJ","30 June 2015","Interest Cover","-"
"25","MHJ","30 June 2015","Latest Shares Outstanding","383.14"
"26","MHJ","30 June 2015","Leverage Ratio (Assets/Equity)","1.87"
"27","MHJ","30 June 2015","LT Debt/Total Capital","0.19"
"28","MHJ","30 June 2015","Market Capitalisation","611.11"
"29","MHJ","30 June 2015","MHJ KEY FIGURES (at previous day's close)",NA
"30","MHJ","30 June 2015","Net Debt","-"
"31","MHJ","30 June 2015","PE Ratio","-"
"32","MHJ","30 June 2015","Pre-Tax Profit Margin","-"
"33","MHJ","30 June 2015","Research & Devlopment (R&D) as ...","-"
"34","MHJ","30 June 2015","Return on Assets (ROA)","0.08"
"35","MHJ","30 June 2015","Return on Capital Invested (ROC...","0.13"
"36","MHJ","30 June 2015","Return on Equity (ROE)","0.15"
"37","MHJ","30 June 2015","Sales per Employee","-"
"38","MHJ","30 June 2015","Selling, General & Adm/tive (SG...","-"
"39","MHJ","30 June 2015","Spread","0.07"
"40","MHJ","30 June 2015","Tangible Book-Value pS","-"
"41","MHJ","30 June 2015","Total Debt/Equity (Gearing Rati...","0.24"
"42","MHJ","30 June 2015","Working Capital pS","-"
"43","MHJ","30 June 2015","Yesterday's Close","1.60"
"44","MHJ","30 June 2015","1 Month","1.83"
"45","MHJ","30 June 2015","1 Month","1.62"
"46","MHJ","30 June 2015","1 Week","1.78"
"47","MHJ","30 June 2015","1 Year","1.83"
"48","MHJ","30 June 2015","1 Year","1.15"
"49","MHJ","30 June 2015","3 Months","1.83"
"50","MHJ","30 June 2015","3 Months","1.15"
"51","MHJ","30 June 2015","3 Years","1.83"
"52","MHJ","30 June 2015","3 Years","1.15"
"53","MHJ","30 June 2015","5 Years","1.83"
"54","MHJ","30 June 2015","5 Years","1.15"
"55","MHJ","30 June 2015","6 Months","1.83"
"56","MHJ","30 June 2015","6 Months","1.15"
"57","MHJ","30 June 2015","Period †","High"
"58","MHJ","30 June 2015","Period †","Open"
"59","MHJ","30 June 2015","","1 year"
