"","ticker","date","variable","value"
"1","MRV","30 June 2016","Address","Level 10, 530 Little Collins Street  Suite 1002, 3000"
"2","MRV","30 June 2016","City/Country:","Melbourne, Australia"
"3","MRV","30 June 2016","Company sector name:","Basic Materials"
"4","MRV","30 June 2016","End of fiscal year:","30 June 2016"
"5","MRV","30 June 2016","Industry group name","Coal"
"6","MRV","30 June 2016","Industry name:","Coal"
"7","MRV","30 June 2016","Web address:","http://www.moretonresources.com.au"
"8","MRV","30 June 2016","Assets Turnover","-"
"9","MRV","30 June 2016","Book-Value pS","-"
"10","MRV","30 June 2016","Cash Flow pS","-"
"11","MRV","30 June 2016","Cash pS","-"
"12","MRV","30 June 2016","Current Ratio","19.61"
"13","MRV","30 June 2016","Dividend pS (DPS)","-"
"14","MRV","30 June 2016","Dividend Yield","-"
"15","MRV","30 June 2016","Domestic Sales","-"
"16","MRV","30 June 2016","Earnings pS (EPS)","-"
"17","MRV","30 June 2016","EBITDA Margin","-"
"18","MRV","30 June 2016","Effective Tax Rate","-"
"19","MRV","30 June 2016","Foreign Sales","-"
"20","MRV","30 June 2016","Free Cash Flow pS","-"
"21","MRV","30 June 2016","Gross gearing","-"
"22","MRV","30 June 2016","Gross Profit Margin","-"
"23","MRV","30 June 2016","Interest Cover","-"
"24","MRV","30 June 2016","Latest Shares Outstanding","1,829.17"
"25","MRV","30 June 2016","Leverage Ratio (Assets/Equity)","1.03"
"26","MRV","30 June 2016","LT Debt/Total Capital","-"
"27","MRV","30 June 2016","Market Capitalisation","7.32"
"28","MRV","30 June 2016","MRV KEY FIGURES (at previous day's close)",NA
"29","MRV","30 June 2016","Net Debt","-"
"30","MRV","30 June 2016","PE Ratio","-"
"31","MRV","30 June 2016","Pre-Tax Profit Margin","-"
"32","MRV","30 June 2016","Research & Devlopment (R&D) as ...","-"
"33","MRV","30 June 2016","Return on Assets (ROA)","-0.13"
"34","MRV","30 June 2016","Return on Capital Invested (ROC...","-0.15"
"35","MRV","30 June 2016","Return on Equity (ROE)","-0.14"
"36","MRV","30 June 2016","Sales per Employee","-"
"37","MRV","30 June 2016","Selling, General & Adm/tive (SG...","-"
"38","MRV","30 June 2016","Spread","0.00"
"39","MRV","30 June 2016","Tangible Book-Value pS","-"
"40","MRV","30 June 2016","Total Debt/Equity (Gearing Rati...","-"
"41","MRV","30 June 2016","Working Capital pS","-"
"42","MRV","30 June 2016","Yesterday's Close","0.00"
"43","MRV","30 June 2016","1 Month","0.00"
"44","MRV","30 June 2016","1 Month","0.01"
"45","MRV","30 June 2016","1 Week","0.00"
"46","MRV","30 June 2016","1 Year","0.00"
"47","MRV","30 June 2016","1 Year","0.01"
"48","MRV","30 June 2016","3 Months","0.01"
"49","MRV","30 June 2016","3 Years","0.00"
"50","MRV","30 June 2016","3 Years","0.01"
"51","MRV","30 June 2016","5 Years","0.00"
"52","MRV","30 June 2016","5 Years","0.01"
"53","MRV","30 June 2016","6 Months","0.00"
"54","MRV","30 June 2016","6 Months","0.01"
"55","MRV","30 June 2016","Period †","High"
"56","MRV","30 June 2016","Period †","Open"
"57","MRV","30 June 2016","","1 year"
"58","MRV","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"59","MRV","30 June 2016","CFO growth","-"
"60","MRV","30 June 2016","Diluted continuous EPS growth","-"
"61","MRV","30 June 2016","Diluted EPS growth","-"
"62","MRV","30 June 2016","Dividend growth","-"
"63","MRV","30 June 2016","Equity per share growth","-0.13"
"64","MRV","30 June 2016","FCF growth","-"
"65","MRV","30 June 2016","MRV Growth Ratios (30 June 2016)",NA
"66","MRV","30 June 2016","Net income cont growth","-"
"67","MRV","30 June 2016","Net income growth","-"
"68","MRV","30 June 2016","Operating income growth","-"
"69","MRV","30 June 2016","Operating revenue growth","0.00"
"70","MRV","30 June 2016","Revenue growth","0.00"
"71","MRV","30 June 2016","Assets turnover","-"
"72","MRV","30 June 2016","Capital expenditure sales ratio","-"
"73","MRV","30 June 2016","Cash conversion cycle","-"
"74","MRV","30 June 2016","Days in inventory","-"
"75","MRV","30 June 2016","Days in payment","-"
"76","MRV","30 June 2016","Days in sales","-"
"77","MRV","30 June 2016","FCF net income ratio","-"
"78","MRV","30 June 2016","FCF sales ratio","-"
"79","MRV","30 June 2016","Fixed assets turnover","-"
"80","MRV","30 June 2016","Inventory turnover","-"
"81","MRV","30 June 2016","MRV Efficency Ratios (30 June 2016)",NA
"82","MRV","30 June 2016","Payable turnover","-"
"83","MRV","30 June 2016","Receivable turnover","-"
"84","MRV","30 June 2016","ROA","-0.13"
"85","MRV","30 June 2016","ROE","-0.14"
"86","MRV","30 June 2016","ROIC","-0.15"
"87","MRV","30 June 2016","Current ratio","19.61"
"88","MRV","30 June 2016","Debt equity ratio","-"
"89","MRV","30 June 2016","Debt total capital ratio","-"
"90","MRV","30 June 2016","Financial leverage","1.03"
"91","MRV","30 June 2016","MRV Financial Health Ratios (30 June 2016)",NA
"92","MRV","30 June 2016","Quick ratio","19.33"
"93","MRV","30 June 2016","Total debt to equity","-"
"94","MRV","30 June 2016","Avg gross margin","-"
"95","MRV","30 June 2016","Avg net profit","-"
"96","MRV","30 June 2016","Avg post tax margin","-"
"97","MRV","30 June 2016","Avg pre tax marginr","-"
"98","MRV","30 June 2016","Avg ret assets","-0.03"
"99","MRV","30 June 2016","Avg ret commonr","-0.08"
"100","MRV","30 June 2016","Avg ret invested capital","0.04"
"101","MRV","30 June 2016","Growth ann capital spending","-0.24"
"102","MRV","30 June 2016","Growth ann gross profit","-"
"103","MRV","30 June 2016","MRV Avearge Growth Ratios Over 5 Years (30 June 2016)",NA
"104","MRV","30 June 2016","EBIT margin","-"
"105","MRV","30 June 2016","EBITDA margin","-"
"106","MRV","30 June 2016","EBT margin","-"
"107","MRV","30 June 2016","Gross margin","-"
"108","MRV","30 June 2016","Inc per employee tot ops","-"
"109","MRV","30 June 2016","Interest coverage","-"
"110","MRV","30 June 2016","MRV Profitability Ratios (-)",NA
"111","MRV","30 June 2016","Net margin","-"
"112","MRV","30 June 2016","Normalized net profit margin","-"
"113","MRV","30 June 2016","Operating margin","-"
"114","MRV","30 June 2016","Sales per employee","-"
"115","MRV","30 June 2016","Tax rate","-"
"116","MRV","30 June 2016","Book value per share","0.01"
"117","MRV","30 June 2016","Cash return","-4.58"
"118","MRV","30 June 2016","CF per share","-0.00"
"119","MRV","30 June 2016","Div payout 5 year","-"
"120","MRV","30 June 2016","Div payout tot ops","-"
"121","MRV","30 June 2016","Div rate","-"
"122","MRV","30 June 2016","Dividend yield","-"
"123","MRV","30 June 2016","Growth ann sales per share 5 ye...","-"
"124","MRV","30 June 2016","MRV Valuation Ratios (30 June 2016)",NA
"125","MRV","30 June 2016","Payout ratio","0.00"
"126","MRV","30 June 2016","Price to book","0.44"
"127","MRV","30 June 2016","Price to cash flow","-3.13"
"128","MRV","30 June 2016","Price to EPS","1.12"
"129","MRV","30 June 2016","Price to free cash flow","-1.95"
"130","MRV","30 June 2016","Price to sales","-"
"131","MRV","30 June 2016","Ratio PE 5 year high","10.09"
"132","MRV","30 June 2016","Ratio PE 5 year low","0.75"
