"","ticker","date","variable","value"
"1","MTB","30 June 2015","Address","Unit 8, 800 Albany Highway  East Victoria Park, 6101"
"2","MTB","30 June 2015","City/Country:","Perth, Australia"
"3","MTB","30 June 2015","Company sector name:","Basic Materials"
"4","MTB","30 June 2015","End of fiscal year:","30 June 2015"
"5","MTB","30 June 2015","Industry group name","Metals & Mining"
"6","MTB","30 June 2015","Industry name:","Industrial Metals & Minerals"
"7","MTB","30 June 2015","Web address:","http://www.mountburgess.com"
"8","MTB","30 June 2015","Assets Turnover","-"
"9","MTB","30 June 2015","Book-Value pS","-"
"10","MTB","30 June 2015","Cash Flow pS","-"
"11","MTB","30 June 2015","Cash pS","-"
"12","MTB","30 June 2015","Current Ratio","0.01"
"13","MTB","30 June 2015","Dividend pS (DPS)","-"
"14","MTB","30 June 2015","Dividend Yield","-"
"15","MTB","30 June 2015","Domestic Sales","-"
"16","MTB","30 June 2015","Earnings pS (EPS)","-"
"17","MTB","30 June 2015","EBITDA Margin","-"
"18","MTB","30 June 2015","Effective Tax Rate","-"
"19","MTB","30 June 2015","Foreign Sales","-"
"20","MTB","30 June 2015","Free Cash Flow pS","-"
"21","MTB","30 June 2015","Gross gearing","-"
"22","MTB","30 June 2015","Gross Profit Margin","-"
"23","MTB","30 June 2015","Interest Cover","-"
"24","MTB","30 June 2015","Latest Shares Outstanding","210.47"
"25","MTB","30 June 2015","Leverage Ratio (Assets/Equity)","-"
"26","MTB","30 June 2015","LT Debt/Total Capital","-"
"27","MTB","30 June 2015","Market Capitalisation","3.37"
"28","MTB","30 June 2015","MTB KEY FIGURES (at previous day's close)",NA
"29","MTB","30 June 2015","Net Debt","-"
"30","MTB","30 June 2015","PE Ratio","-"
"31","MTB","30 June 2015","Pre-Tax Profit Margin","-"
"32","MTB","30 June 2015","Research & Devlopment (R&D) as ...","-"
"33","MTB","30 June 2015","Return on Assets (ROA)","-34.82"
"34","MTB","30 June 2015","Return on Capital Invested (ROC...","-"
"35","MTB","30 June 2015","Return on Equity (ROE)","-"
"36","MTB","30 June 2015","Sales per Employee","-"
"37","MTB","30 June 2015","Selling, General & Adm/tive (SG...","-"
"38","MTB","30 June 2015","Spread","0.00"
"39","MTB","30 June 2015","Tangible Book-Value pS","-"
"40","MTB","30 June 2015","Total Debt/Equity (Gearing Rati...","-"
"41","MTB","30 June 2015","Working Capital pS","-"
"42","MTB","30 June 2015","Yesterday's Close","0.02"
"43","MTB","30 June 2015","1 Month","0.02"
"44","MTB","30 June 2015","1 Week","0.01"
"45","MTB","30 June 2015","1 Week","0.02"
"46","MTB","30 June 2015","1 Year","0.00"
"47","MTB","30 June 2015","1 Year","0.02"
"48","MTB","30 June 2015","3 Months","0.01"
"49","MTB","30 June 2015","3 Months","0.02"
"50","MTB","30 June 2015","3 Years","0.00"
"51","MTB","30 June 2015","3 Years","0.02"
"52","MTB","30 June 2015","5 Years","0.01"
"53","MTB","30 June 2015","5 Years","0.02"
"54","MTB","30 June 2015","6 Months","0.01"
"55","MTB","30 June 2015","6 Months","0.02"
"56","MTB","30 June 2015","Period †","High"
"57","MTB","30 June 2015","Period †","Open"
"58","MTB","30 June 2015","","1 year"
"59","MTB","30 June 2015","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"60","MTB","30 June 2015","CFO growth","-"
"61","MTB","30 June 2015","Diluted continuous EPS growth","-"
"62","MTB","30 June 2015","Diluted EPS growth","-"
"63","MTB","30 June 2015","Dividend growth","-"
"64","MTB","30 June 2015","Equity per share growth","-"
"65","MTB","30 June 2015","FCF growth","-"
"66","MTB","30 June 2015","MTB Growth Ratios (30 June 2015)",NA
"67","MTB","30 June 2015","Net income cont growth","-"
"68","MTB","30 June 2015","Net income growth","-"
"69","MTB","30 June 2015","Operating income growth","-"
"70","MTB","30 June 2015","Operating revenue growth","0.00"
"71","MTB","30 June 2015","Revenue growth","0.00"
"72","MTB","30 June 2015","Assets turnover","-"
"73","MTB","30 June 2015","Capital expenditure sales ratio","-"
"74","MTB","30 June 2015","Cash conversion cycle","-"
"75","MTB","30 June 2015","Days in inventory","-"
"76","MTB","30 June 2015","Days in payment","-"
"77","MTB","30 June 2015","Days in sales","-"
"78","MTB","30 June 2015","FCF net income ratio","-"
"79","MTB","30 June 2015","FCF sales ratio","-"
"80","MTB","30 June 2015","Fixed assets turnover","-"
"81","MTB","30 June 2015","Inventory turnover","-"
"82","MTB","30 June 2015","MTB Efficency Ratios (30 June 2015)",NA
"83","MTB","30 June 2015","Payable turnover","-"
"84","MTB","30 June 2015","Receivable turnover","-"
"85","MTB","30 June 2015","ROA","-34.82"
"86","MTB","30 June 2015","ROE","-"
"87","MTB","30 June 2015","ROIC","-"
"88","MTB","30 June 2015","Current ratio","0.01"
"89","MTB","30 June 2015","Debt equity ratio","-"
"90","MTB","30 June 2015","Debt total capital ratio","-"
"91","MTB","30 June 2015","Financial leverage","-"
"92","MTB","30 June 2015","MTB Financial Health Ratios (30 June 2015)",NA
"93","MTB","30 June 2015","Quick ratio","0.01"
"94","MTB","30 June 2015","Total debt to equity","-"
"95","MTB","30 June 2015","Avg gross margin","-"
"96","MTB","30 June 2015","Avg net profit","-"
"97","MTB","30 June 2015","Avg post tax margin","-"
"98","MTB","30 June 2015","Avg pre tax marginr","-"
"99","MTB","30 June 2015","Avg ret assets","-8.34"
"100","MTB","30 June 2015","Avg ret commonr","-"
"101","MTB","30 June 2015","Avg ret invested capital","-"
"102","MTB","30 June 2015","Growth ann capital spending","-"
"103","MTB","30 June 2015","Growth ann gross profit","-"
"104","MTB","30 June 2015","MTB Avearge Growth Ratios Over 5 Years (30 June 2015)",NA
"105","MTB","30 June 2015","EBIT margin","-"
"106","MTB","30 June 2015","EBITDA margin","-"
"107","MTB","30 June 2015","EBT margin","-"
"108","MTB","30 June 2015","Gross margin","-"
"109","MTB","30 June 2015","Inc per employee tot ops","-"
"110","MTB","30 June 2015","Interest coverage","-6.43"
"111","MTB","30 June 2015","MTB Profitability Ratios (30 June 2015)",NA
"112","MTB","30 June 2015","Net margin","-"
"113","MTB","30 June 2015","Normalized net profit margin","-"
"114","MTB","30 June 2015","Operating margin","-"
"115","MTB","30 June 2015","Sales per employee","-"
"116","MTB","30 June 2015","Tax rate","-"
"117","MTB","30 June 2015","Book value per share","-0.01"
"118","MTB","30 June 2015","Cash return","-0.09"
"119","MTB","30 June 2015","CF per share","-0.00"
"120","MTB","30 June 2015","Div payout 5 year","-"
"121","MTB","30 June 2015","Div payout tot ops","-"
"122","MTB","30 June 2015","Div rate","-"
"123","MTB","30 June 2015","Dividend yield","-"
"124","MTB","30 June 2015","Growth ann sales per share 5 ye...","-"
"125","MTB","30 June 2015","MTB Valuation Ratios (30 June 2015)",NA
"126","MTB","30 June 2015","Payout ratio","0.00"
"127","MTB","30 June 2015","Price to book","-0.14"
"128","MTB","30 June 2015","Price to cash flow","-1.17"
"129","MTB","30 June 2015","Price to EPS","-0.22"
"130","MTB","30 June 2015","Price to free cash flow","-0.96"
"131","MTB","30 June 2015","Price to sales","-"
"132","MTB","30 June 2015","Ratio PE 5 year high","-24.35"
"133","MTB","30 June 2015","Ratio PE 5 year low","-0.11"
"134","MTB","30 June 2015","Sales per share","0.00"
"135","MTB","30 June 2015","Sustainable growth rate","-"
"136","MTB","30 June 2015","FTSE",NA
"137","MTB","30 June 2015","FTSE 100",NA
"138","MTB","30 June 2015","FX",NA
"139","MTB","30 June 2015","GBPUSD",NA
"140","MTB","30 June 2015","GKP",NA
"141","MTB","30 June 2015","Gulf Keyst..",NA
"142","MTB","30 June 2015","IOF",NA
"143","MTB","30 June 2015","Iofina",NA
"144","MTB","30 June 2015","LSE",NA
"145","MTB","30 June 2015","LSE",NA
"146","MTB","30 June 2015","LSE",NA
"147","MTB","30 June 2015","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"148","MTB","30 June 2015","QPP",NA
"149","MTB","30 June 2015","Quindell",NA
"150","MTB","30 June 2015","UK Sterlin..",NA
"151","MTB","30 June 2015","UKX",NA
