"","ticker","date","variable","value"
"1","MZN","30 June 2015","Address","49 Ord Street  Unit 3, 6005"
"2","MZN","30 June 2015","Auditor:","Stantons International"
"3","MZN","30 June 2015","City/Country:","West Perth, Australia"
"4","MZN","30 June 2015","Company sector name:","Basic Materials"
"5","MZN","30 June 2015","End of fiscal year:","30 June 2015"
"6","MZN","30 June 2015","Industry group name","Metals & Mining"
"7","MZN","30 June 2015","Industry name:","Industrial Metals & Minerals"
"8","MZN","30 June 2015","Web address:","http://www.brumbyresources.com.au"
"9","MZN","30 June 2015","Assets Turnover","-"
"10","MZN","30 June 2015","Book-Value pS","-"
"11","MZN","30 June 2015","Cash Flow pS","-"
"12","MZN","30 June 2015","Cash pS","-"
"13","MZN","30 June 2015","Current Ratio","6.38"
"14","MZN","30 June 2015","Dividend pS (DPS)","-"
"15","MZN","30 June 2015","Dividend Yield","-"
"16","MZN","30 June 2015","Domestic Sales","-"
"17","MZN","30 June 2015","Earnings pS (EPS)","-"
"18","MZN","30 June 2015","EBITDA Margin","-"
"19","MZN","30 June 2015","Effective Tax Rate","-"
"20","MZN","30 June 2015","Foreign Sales","-"
"21","MZN","30 June 2015","Free Cash Flow pS","-"
"22","MZN","30 June 2015","Gross gearing","-"
"23","MZN","30 June 2015","Gross Profit Margin","-"
"24","MZN","30 June 2015","Interest Cover","-"
"25","MZN","30 June 2015","Latest Shares Outstanding","1,165.07"
"26","MZN","30 June 2015","Leverage Ratio (Assets/Equity)","1.05"
"27","MZN","30 June 2015","LT Debt/Total Capital","-"
"28","MZN","30 June 2015","Market Capitalisation","18.64"
"29","MZN","30 June 2015","MZN KEY FIGURES (at previous day's close)",NA
"30","MZN","30 June 2015","Net Debt","-"
"31","MZN","30 June 2015","PE Ratio","-"
"32","MZN","30 June 2015","Pre-Tax Profit Margin","-"
"33","MZN","30 June 2015","Research & Devlopment (R&D) as ...","-"
"34","MZN","30 June 2015","Return on Assets (ROA)","-0.39"
"35","MZN","30 June 2015","Return on Capital Invested (ROC...","-0.41"
