"","ticker","date","variable","value"
"1","NAG","30 June 2015","Address","533 Zanelli Road, 3608"
"2","NAG","30 June 2015","City/Country:","Nagambie, Australia"
"3","NAG","30 June 2015","Company sector name:","Basic Materials"
"4","NAG","30 June 2015","End of fiscal year:","30 June 2015"
"5","NAG","30 June 2015","Industry group name","Metals & Mining"
"6","NAG","30 June 2015","Industry name:","Gold"
"7","NAG","30 June 2015","Web address:","http://www.nagambiemining.com.au"
"8","NAG","30 June 2015","Assets Turnover","-"
"9","NAG","30 June 2015","Book-Value pS","-"
"10","NAG","30 June 2015","Cash Flow pS","-"
"11","NAG","30 June 2015","Cash pS","-"
"12","NAG","30 June 2015","Current Ratio","0.97"
"13","NAG","30 June 2015","Dividend pS (DPS)","-"
"14","NAG","30 June 2015","Dividend Yield","-"
"15","NAG","30 June 2015","Domestic Sales","-"
"16","NAG","30 June 2015","Earnings pS (EPS)","-"
"17","NAG","30 June 2015","EBITDA Margin","-"
"18","NAG","30 June 2015","Effective Tax Rate","-"
"19","NAG","30 June 2015","Foreign Sales","-"
"20","NAG","30 June 2015","Free Cash Flow pS","-"
"21","NAG","30 June 2015","Gross gearing","-"
"22","NAG","30 June 2015","Gross Profit Margin","-"
"23","NAG","30 June 2015","Interest Cover","-"
"24","NAG","30 June 2015","Latest Shares Outstanding","367.88"
"25","NAG","30 June 2015","Leverage Ratio (Assets/Equity)","1.36"
"26","NAG","30 June 2015","LT Debt/Total Capital","0.24"
"27","NAG","30 June 2015","Market Capitalisation","49.66"
"28","NAG","30 June 2015","NAG KEY FIGURES (at previous day's close)",NA
"29","NAG","30 June 2015","Net Debt","-"
"30","NAG","30 June 2015","PE Ratio","-"
"31","NAG","30 June 2015","Pre-Tax Profit Margin","-"
"32","NAG","30 June 2015","Research & Devlopment (R&D) as ...","-"
"33","NAG","30 June 2015","Return on Assets (ROA)","-0.08"
"34","NAG","30 June 2015","Return on Capital Invested (ROC...","-0.07"
"35","NAG","30 June 2015","Return on Equity (ROE)","-0.12"
"36","NAG","30 June 2015","Sales per Employee","-"
"37","NAG","30 June 2015","Selling, General & Adm/tive (SG...","-"
"38","NAG","30 June 2015","Spread","0.06"
"39","NAG","30 June 2015","Tangible Book-Value pS","-"
"40","NAG","30 June 2015","Total Debt/Equity (Gearing Rati...","0.34"
"41","NAG","30 June 2015","Working Capital pS","-"
"42","NAG","30 June 2015","Yesterday's Close","0.14"
"43","NAG","30 June 2015","1 Month","0.16"
"44","NAG","30 June 2015","1 Month","0.12"
"45","NAG","30 June 2015","1 Week","0.15"
"46","NAG","30 June 2015","1 Week","0.13"
"47","NAG","30 June 2015","1 Year","0.24"
"48","NAG","30 June 2015","1 Year","0.03"
