"","ticker","date","variable","value"
"1","NBL","30 June 2016","Address","10 Garling Road  Kings Park, 2148"
"2","NBL","30 June 2016","Auditor:","BDO East Coast Partnership"
"3","NBL","30 June 2016","City/Country:","Perth, Australia"
"4","NBL","30 June 2016","Company sector name:","Consumer Cyclical"
"5","NBL","30 June 2016","End of fiscal year:","30 June 2016"
"6","NBL","30 June 2016","Industry group name","Retail - Apparel & Specialty"
"7","NBL","30 June 2016","Industry name:","Apparel Stores"
"8","NBL","30 June 2016","Web address:","http://www.nonib.com.au"
"9","NBL","30 June 2016","Assets Turnover","-"
"10","NBL","30 June 2016","Book-Value pS","-"
"11","NBL","30 June 2016","Cash Flow pS","-"
"12","NBL","30 June 2016","Cash pS","-"
"13","NBL","30 June 2016","Current Ratio","1.17"
"14","NBL","30 June 2016","Dividend pS (DPS)","-"
"15","NBL","30 June 2016","Dividend Yield","-"
"16","NBL","30 June 2016","Domestic Sales","-"
"17","NBL","30 June 2016","Earnings pS (EPS)","-"
"18","NBL","30 June 2016","EBITDA Margin","-"
"19","NBL","30 June 2016","Effective Tax Rate","-"
"20","NBL","30 June 2016","Foreign Sales","-"
"21","NBL","30 June 2016","Free Cash Flow pS","-"
"22","NBL","30 June 2016","Gross gearing","-"
"23","NBL","30 June 2016","Gross Profit Margin","-"
"24","NBL","30 June 2016","Interest Cover","-"
"25","NBL","30 June 2016","Latest Shares Outstanding","77.28"
"26","NBL","30 June 2016","Leverage Ratio (Assets/Equity)","3.09"
"27","NBL","30 June 2016","LT Debt/Total Capital","-"
"28","NBL","30 June 2016","Market Capitalisation","131.38"
"29","NBL","30 June 2016","NBL KEY FIGURES (at previous day's close)",NA
"30","NBL","30 June 2016","Net Debt","-"
"31","NBL","30 June 2016","PE Ratio","-"
"32","NBL","30 June 2016","Pre-Tax Profit Margin","-"
"33","NBL","30 June 2016","Research & Devlopment (R&D) as ...","-"
"34","NBL","30 June 2016","Return on Assets (ROA)","0.07"
"35","NBL","30 June 2016","Return on Capital Invested (ROC...","0.21"
"36","NBL","30 June 2016","Return on Equity (ROE)","0.22"
"37","NBL","30 June 2016","Sales per Employee","-"
"38","NBL","30 June 2016","Selling, General & Adm/tive (SG...","-"
"39","NBL","30 June 2016","Spread","0.12"
"40","NBL","30 June 2016","Tangible Book-Value pS","-"
"41","NBL","30 June 2016","Total Debt/Equity (Gearing Rati...","0.00"
"42","NBL","30 June 2016","Working Capital pS","-"
"43","NBL","30 June 2016","Yesterday's Close","1.70"
"44","NBL","30 June 2016","1 Month","1.70"
"45","NBL","30 June 2016","1 Month","1.32"
"46","NBL","30 June 2016","1 Week","1.70"
"47","NBL","30 June 2016","1 Week","1.65"
"48","NBL","30 June 2016","1 Year","1.70"
"49","NBL","30 June 2016","1 Year","0.90"
"50","NBL","30 June 2016","3 Months","1.70"
"51","NBL","30 June 2016","3 Months","0.99"
"52","NBL","30 June 2016","3 Years","1.70"
"53","NBL","30 June 2016","3 Years","0.74"
"54","NBL","30 June 2016","5 Years","1.70"
"55","NBL","30 June 2016","5 Years","0.48"
"56","NBL","30 June 2016","6 Months","1.70"
"57","NBL","30 June 2016","6 Months","1.10"
"58","NBL","30 June 2016","Period †","High"
"59","NBL","30 June 2016","Period †","Open"
"60","NBL","30 June 2016","","1 year"
"61","NBL","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"62","NBL","30 June 2016","CFO growth","0.49"
"63","NBL","30 June 2016","Diluted continuous EPS growth","-"
"64","NBL","30 June 2016","Diluted EPS growth","-"
"65","NBL","30 June 2016","Dividend growth","-"
"66","NBL","30 June 2016","Equity per share growth","0.17"
"67","NBL","30 June 2016","FCF growth","0.08"
"68","NBL","30 June 2016","NBL Growth Ratios (30 June 2016)",NA
"69","NBL","30 June 2016","Net income cont growth","-"
"70","NBL","30 June 2016","Net income growth","-"
"71","NBL","30 June 2016","Operating income growth","-"
"72","NBL","30 June 2016","Operating revenue growth","-0.00"
"73","NBL","30 June 2016","Revenue growth","-0.00"
"74","NBL","30 June 2016","Assets turnover","3.26"
"75","NBL","30 June 2016","Capital expenditure sales ratio","0.04"
"76","NBL","30 June 2016","Cash conversion cycle","-12.22"
"77","NBL","30 June 2016","Days in inventory","115.36"
"78","NBL","30 June 2016","Days in payment","130.96"
"79","NBL","30 June 2016","Days in sales","3.38"
"80","NBL","30 June 2016","FCF net income ratio","1.60"
"81","NBL","30 June 2016","FCF sales ratio","0.03"
"82","NBL","30 June 2016","Fixed assets turnover","18.73"
"83","NBL","30 June 2016","Inventory turnover","3.16"
"84","NBL","30 June 2016","NBL Efficency Ratios (30 June 2016)",NA
"85","NBL","30 June 2016","Payable turnover","2.79"
"86","NBL","30 June 2016","Receivable turnover","108.00"
"87","NBL","30 June 2016","ROA","0.07"
"88","NBL","30 June 2016","ROE","0.22"
"89","NBL","30 June 2016","ROIC","0.21"
"90","NBL","30 June 2016","Current ratio","1.17"
"91","NBL","30 June 2016","Debt equity ratio","-"
"92","NBL","30 June 2016","Debt total capital ratio","-"
"93","NBL","30 June 2016","Financial leverage","3.09"
"94","NBL","30 June 2016","NBL Financial Health Ratios (30 June 2016)",NA
"95","NBL","30 June 2016","Quick ratio","0.65"
"96","NBL","30 June 2016","Total debt to equity","0.00"
"97","NBL","30 June 2016","Avg gross margin","0.62"
"98","NBL","30 June 2016","Avg net profit","-0.02"
"99","NBL","30 June 2016","Avg post tax margin","-0.02"
"100","NBL","30 June 2016","Avg pre tax marginr","-0.02"
"101","NBL","30 June 2016","Avg ret assets","-0.07"
"102","NBL","30 June 2016","Avg ret commonr","-0.15"
"103","NBL","30 June 2016","Avg ret invested capital","-0.15"
"104","NBL","30 June 2016","Growth ann capital spending","0.09"
"105","NBL","30 June 2016","Growth ann gross profit","0.02"
"106","NBL","30 June 2016","NBL Avearge Growth Ratios Over 5 Years (30 June 2016)",NA
"107","NBL","30 June 2016","EBIT margin","0.03"
"108","NBL","30 June 2016","EBITDA margin","0.05"
"109","NBL","30 June 2016","EBT margin","0.03"
"110","NBL","30 June 2016","Gross margin","0.69"
"111","NBL","30 June 2016","Inc per employee tot ops","2,207.79"
"112","NBL","30 June 2016","Interest coverage","668.60"
"113","NBL","30 June 2016","NBL Profitability Ratios (30 June 2016)",NA
"114","NBL","30 June 2016","Net margin","0.02"
"115","NBL","30 June 2016","Normalized net profit margin","0.02"
"116","NBL","30 June 2016","Operating margin","0.00"
"117","NBL","30 June 2016","Sales per employee","107,355.64"
"118","NBL","30 June 2016","Tax rate","0.34"
"119","NBL","30 June 2016","Book value per share","0.21"
"120","NBL","30 June 2016","Cash return","0.11"
"121","NBL","30 June 2016","CF per share","0.16"
"122","NBL","30 June 2016","Div payout 5 year","-"
"123","NBL","30 June 2016","Div payout tot ops","-"
"124","NBL","30 June 2016","Div rate","-"
"125","NBL","30 June 2016","Dividend yield","-"
"126","NBL","30 June 2016","Growth ann sales per share 5 ye...","-0.02"
"127","NBL","30 June 2016","NBL Valuation Ratios (30 June 2016)",NA
"128","NBL","30 June 2016","Payout ratio","0.00"
"129","NBL","30 June 2016","Price to book","4.66"
"130","NBL","30 June 2016","Price to cash flow","6.25"
"131","NBL","30 June 2016","Price to EPS","-6.70"
"132","NBL","30 June 2016","Price to free cash flow","9.78"
"133","NBL","30 June 2016","Price to sales","0.30"
"134","NBL","30 June 2016","Ratio PE 5 year high","-7.50"
"135","NBL","30 June 2016","Ratio PE 5 year low","-2.04"
"136","NBL","30 June 2016","Sales per share","3.28"
"137","NBL","30 June 2016","Sustainable growth rate","-0.45"
"138","NBL","30 June 2016","FTSE",NA
"139","NBL","30 June 2016","FTSE 100",NA
"140","NBL","30 June 2016","FX",NA
"141","NBL","30 June 2016","GBPUSD",NA
"142","NBL","30 June 2016","GKP",NA
"143","NBL","30 June 2016","Gulf Keyst..",NA
"144","NBL","30 June 2016","IOF",NA
"145","NBL","30 June 2016","Iofina",NA
"146","NBL","30 June 2016","LSE",NA
"147","NBL","30 June 2016","LSE",NA
"148","NBL","30 June 2016","LSE",NA
"149","NBL","30 June 2016","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..","LSE
				
			
		
				
					QPP
				
			
		
				Quindell"
"150","NBL","30 June 2016","QPP",NA
"151","NBL","30 June 2016","Quindell",NA
"152","NBL","30 June 2016","UK Sterlin..",NA
"153","NBL","30 June 2016","UKX",NA
