"","ticker","date","variable","value"
"1","NCK","30 June 2016","Address","3-9 Birnie Avenue  Unit B1-B2, 2141"
"2","NCK","30 June 2016","City/Country:","Lidcombe, Australia"
"3","NCK","30 June 2016","Company sector name:","Consumer Cyclical"
"4","NCK","30 June 2016","End of fiscal year:","30 June 2016"
"5","NCK","30 June 2016","Industry group name","Retail - Apparel & Specialty"
"6","NCK","30 June 2016","Industry name:","Specialty Retail"
"7","NCK","30 June 2016","Web address:","http://www.nickscali.com.au"
"8","NCK","30 June 2016","Assets Turnover","0.60"
"9","NCK","30 June 2016","Book-Value pS","0.68"
"10","NCK","30 June 2016","Cash Flow pS","0.40"
"11","NCK","30 June 2016","Cash pS","0.46"
"12","NCK","30 June 2016","Current Ratio","1.57"
"13","NCK","30 June 2016","Dividend pS (DPS)","0.24"
"14","NCK","30 June 2016","Dividend Yield","4.19"
"15","NCK","30 June 2016","Domestic Sales","-"
"16","NCK","30 June 2016","Earnings pS (EPS)","0.32"
"17","NCK","30 June 2016","EBITDA Margin","20.18"
"18","NCK","30 June 2016","Effective Tax Rate","-"
"19","NCK","30 June 2016","Foreign Sales","-"
"20","NCK","30 June 2016","Free Cash Flow pS","0.10"
"21","NCK","30 June 2016","Gross gearing","52.42"
"22","NCK","30 June 2016","Gross Profit Margin","60.76"
"23","NCK","30 June 2016","Interest Cover","96.86"
"24","NCK","30 June 2016","Latest Shares Outstanding","81.00"
"25","NCK","30 June 2016","Leverage Ratio (Assets/Equity)","2.10"
"26","NCK","30 June 2016","LT Debt/Total Capital","0.27"
"27","NCK","30 June 2016","Market Capitalisation","469.80"
"28","NCK","30 June 2016","NCK KEY FIGURES (at previous day's close)",NA
"29","NCK","30 June 2016","Net Debt","26.64"
"30","NCK","30 June 2016","PE Ratio","17.96"
"31","NCK","30 June 2016","Pre-Tax Profit Margin","18.45"
"32","NCK","30 June 2016","Research & Devlopment (R&D) as ...","0.00"
"33","NCK","30 June 2016","Return on Assets (ROA)","0.24"
"34","NCK","30 June 2016","Return on Capital Invested (ROC...","0.38"
"35","NCK","30 June 2016","Return on Equity (ROE)","0.50"
"36","NCK","30 June 2016","Sales per Employee","0.68"
"37","NCK","30 June 2016","Selling, General & Adm/tive (SG...","27.10"
"38","NCK","30 June 2016","Spread","0.15"
"39","NCK","30 June 2016","Tangible Book-Value pS","0.69"
"40","NCK","30 June 2016","Total Debt/Equity (Gearing Rati...","0.37"
"41","NCK","30 June 2016","Working Capital pS","1.00"
"42","NCK","30 June 2016","Yesterday's Close","5.80"
"43","NCK","30 June 2016","1 Month","5.99"
"44","NCK","30 June 2016","1 Month","5.83"
"45","NCK","30 June 2016","1 Week","5.88"
"46","NCK","30 June 2016","1 Week","5.71"
