"","ticker","date","variable","value"
"1","NIO","30 June 2016","Address","182 Claisebrook Road, 6000"
"2","NIO","30 June 2016","City/Country:","Perth, Australia"
"3","NIO","30 June 2016","Company sector name:","Basic Materials"
"4","NIO","30 June 2016","End of fiscal year:","30 June 2016"
"5","NIO","30 June 2016","Industry group name","Metals & Mining"
"6","NIO","30 June 2016","Industry name:","Gold"
"7","NIO","30 June 2016","Web address:","http://www.nickelore.com.au"
"8","NIO","30 June 2016","Assets Turnover","-"
"9","NIO","30 June 2016","Book-Value pS","0.00"
"10","NIO","30 June 2016","Cash Flow pS","-0.00"
"11","NIO","30 June 2016","Cash pS","0.00"
"12","NIO","30 June 2016","Current Ratio","6.54"
"13","NIO","30 June 2016","Dividend pS (DPS)","-"
"14","NIO","30 June 2016","Dividend Yield","-"
"15","NIO","30 June 2016","Domestic Sales","-"
"16","NIO","30 June 2016","Earnings pS (EPS)","-0.00"
"17","NIO","30 June 2016","EBITDA Margin","-"
"18","NIO","30 June 2016","Effective Tax Rate","-"
"19","NIO","30 June 2016","Foreign Sales","-"
"20","NIO","30 June 2016","Free Cash Flow pS","-0.00"
"21","NIO","30 June 2016","Gross gearing","15.28"
"22","NIO","30 June 2016","Gross Profit Margin","-"
"23","NIO","30 June 2016","Interest Cover","-"
"24","NIO","30 June 2016","Latest Shares Outstanding","307.73"
"25","NIO","30 June 2016","Leverage Ratio (Assets/Equity)","1.18"
"26","NIO","30 June 2016","LT Debt/Total Capital","-"
"27","NIO","30 June 2016","Market Capitalisation","6.22"
"28","NIO","30 June 2016","Net Debt","-0.43"
"29","NIO","30 June 2016","NIO KEY FIGURES (at previous day's close)",NA
"30","NIO","30 June 2016","PE Ratio","-23.64"
"31","NIO","30 June 2016","Pre-Tax Profit Margin","-"
"32","NIO","30 June 2016","Research & Devlopment (R&D) as ...","-"
"33","NIO","30 June 2016","Return on Assets (ROA)","-0.66"
"34","NIO","30 June 2016","Return on Capital Invested (ROC...","-0.84"
"35","NIO","30 June 2016","Return on Equity (ROE)","-0.83"
"36","NIO","30 June 2016","Sales per Employee","-"
"37","NIO","30 June 2016","Selling, General & Adm/tive (SG...","-"
"38","NIO","30 June 2016","Spread","0.01"
"39","NIO","30 June 2016","Tangible Book-Value pS","-"
"40","NIO","30 June 2016","Total Debt/Equity (Gearing Rati...","-"
"41","NIO","30 June 2016","Working Capital pS","0.00"
"42","NIO","30 June 2016","Yesterday's Close","0.03"
"43","NIO","30 June 2016","1 Month","0.00"
"44","NIO","30 June 2016","1 Week","0.00"
"45","NIO","30 June 2016","1 Year","0.01"
"46","NIO","30 June 2016","1 Year","0.03"
"47","NIO","30 June 2016","3 Months","0.03"
"48","NIO","30 June 2016","3 Months","0.02"
"49","NIO","30 June 2016","3 Years","0.03"
"50","NIO","30 June 2016","3 Years","0.02"
"51","NIO","30 June 2016","5 Years","0.01"
"52","NIO","30 June 2016","5 Years","0.03"
"53","NIO","30 June 2016","6 Months","0.01"
"54","NIO","30 June 2016","6 Months","0.03"
"55","NIO","30 June 2016","Period †","High"
"56","NIO","30 June 2016","Period †","Open"
"57","NIO","30 June 2016","","1 year"
"58","NIO","30 June 2016","","LSE
				
			
		
				
					GKP
				
			
		
				Gulf Keyst..
			
		

	
				
					LSE
				
			
		
				
					QPP
				
			
		
				Quindell
			
		

	
				
					FTSE
				
			
		
				
					UKX
				
			
		
				FTSE 100
			
		

	
				
					LSE
				
			
		
				
					IOF
				
			
		
				Iofina
			
		

	
				
					FX
				
			
		
				
					GBPUSD
				
			
		
				UK Sterlin..
			
		
			

						
						Stocks you've viewed will appear in this box, letting you easily return to quotes you've seen previously.Register now to create your own custom streaming stock watchlist."
"59","NIO","30 June 2016","CFO growth","-"
"60","NIO","30 June 2016","Diluted continuous EPS growth","-"
"61","NIO","30 June 2016","Diluted EPS growth","-"
"62","NIO","30 June 2016","Dividend growth","-"
"63","NIO","30 June 2016","Equity per share growth","1.30"
"64","NIO","30 June 2016","FCF growth","-"
"65","NIO","30 June 2016","Net income cont growth","-"
