"","ticker","date","variable","value"
"1","NVT","30 June 2016","Address","15 Ogilvie Road  Level 2, Kirin Centre, 6153"
"2","NVT","30 June 2016","Auditor:","Deloitte LLP"
"3","NVT","30 June 2016","City/Country:","Mt Pleasant, Australia"
"4","NVT","30 June 2016","Company sector name:","Consumer Defensive"
"5","NVT","30 June 2016","End of fiscal year:","30 June 2016"
"6","NVT","30 June 2016","Industry group name","Education"
"7","NVT","30 June 2016","Industry name:","Education & Training Services"
"8","NVT","30 June 2016","Web address:","http://www.navitas.com"
"9","NVT","30 June 2016","Assets Turnover","-"
"10","NVT","30 June 2016","Book-Value pS","-"
"11","NVT","30 June 2016","Cash Flow pS","-"
"12","NVT","30 June 2016","Cash pS","-"
"13","NVT","30 June 2016","Current Ratio","0.52"
"14","NVT","30 June 2016","Dividend pS (DPS)","-"
"15","NVT","30 June 2016","Dividend Yield","-"
"16","NVT","30 June 2016","Domestic Sales","-"
"17","NVT","30 June 2016","Earnings pS (EPS)","-"
"18","NVT","30 June 2016","EBITDA Margin","-"
"19","NVT","30 June 2016","Effective Tax Rate","-"
"20","NVT","30 June 2016","Foreign Sales","-"
"21","NVT","30 June 2016","Free Cash Flow pS","-"
"22","NVT","30 June 2016","Gross gearing","-"
"23","NVT","30 June 2016","Gross Profit Margin","-"
"24","NVT","30 June 2016","Interest Cover","-"
"25","NVT","30 June 2016","Latest Shares Outstanding","369.71"
"26","NVT","30 June 2016","Leverage Ratio (Assets/Equity)","3.93"
"27","NVT","30 June 2016","LT Debt/Total Capital","0.39"
"28","NVT","30 June 2016","Market Capitalisation","1,948.38"
"29","NVT","30 June 2016","Net Debt","-"
"30","NVT","30 June 2016","NVT KEY FIGURES (at previous day's close)",NA
"31","NVT","30 June 2016","PE Ratio","-"
"32","NVT","30 June 2016","Pre-Tax Profit Margin","-"
"33","NVT","30 June 2016","Research & Devlopment (R&D) as ...","-"
"34","NVT","30 June 2016","Return on Assets (ROA)","0.11"
"35","NVT","30 June 2016","Return on Capital Invested (ROC...","0.27"
"36","NVT","30 June 2016","Return on Equity (ROE)","0.43"
"37","NVT","30 June 2016","Sales per Employee","-"
"38","NVT","30 June 2016","Selling, General & Adm/tive (SG...","-"
"39","NVT","30 June 2016","Spread","0.01"
"40","NVT","30 June 2016","Tangible Book-Value pS","-"
"41","NVT","30 June 2016","Total Debt/Equity (Gearing Rati...","0.65"
"42","NVT","30 June 2016","Working Capital pS","-"
"43","NVT","30 June 2016","Yesterday's Close","5.27"
"44","NVT","30 June 2016","1 Month","5.37"
"45","NVT","30 June 2016","1 Month","5.20"
